"SampleID","Tissue","Factor","Condition","Treatment","Replicate","bamReads","ControlID","bamControl","Peaks","PeakCaller","PeakSummits","Peaks_count"
"CLB-Ma-A_H3K27ac_R1","CLB-Ma","H3K27ac","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_H3K27ac_R1.target.markdup.sorted.bam","CLB-Ma-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_H3K27ac_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_H3K27ac_R1.macs2_summits.bed",7670
"CLB-Ma-A_H3K27ac_R2","CLB-Ma","H3K27ac","ADRN","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_H3K27ac_R2.target.markdup.sorted.bam","CLB-Ma-A_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_H3K27ac_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_H3K27ac_R2.macs2_summits.bed",17270
"CLB-Ma-A_H3K4me1_R1","CLB-Ma","H3K4me1","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_H3K4me1_R1.target.markdup.sorted.bam","CLB-Ma-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_H3K4me1_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_H3K4me1_R1.macs2_summits.bed",54146
"CLB-Ma-A_H3K4me1_R2","CLB-Ma","H3K4me1","ADRN","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_H3K4me1_R2.target.markdup.sorted.bam","CLB-Ma-A_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_H3K4me1_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_H3K4me1_R2.macs2_summits.bed",64251
"CLB-Ma-A_Jun_R1","CLB-Ma","Jun","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_Jun_R1.target.markdup.sorted.bam","CLB-Ma-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_Jun_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_Jun_R1.macs2_summits.bed",1391
"CLB-Ma-A_Jun_R2","CLB-Ma","Jun","ADRN","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_Jun_R2.target.markdup.sorted.bam","CLB-Ma-A_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_Jun_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_Jun_R2.macs2_summits.bed",585
"CLB-Ma-A_TAZ_R1","CLB-Ma","TAZ","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_TAZ_R1.target.markdup.sorted.bam","CLB-Ma-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_TAZ_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_TAZ_R1.macs2_summits.bed",701
"CLB-Ma-A_YAP_R1","CLB-Ma","YAP","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_YAP_R1.target.markdup.sorted.bam","CLB-Ma-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_YAP_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-A_YAP_R1.macs2_summits.bed",4
"CLB-Ma-ADR-H3K27ac_R1","CLB-Ma","H3K27ac","ADRN","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-ADR-H3K27ac_R1.target.markdup.sorted.bam","CLB-Ma-ADR-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-ADR-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-ADR-H3K27ac_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-ADR-H3K27ac_R1.macs2_summits.bed",12364
"CLB-Ma-ADR-H3K27ac_R2","CLB-Ma","H3K27ac","ADRN","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-ADR-H3K27ac_R2.target.markdup.sorted.bam","CLB-Ma-ADR-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-ADR-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-ADR-H3K27ac_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-ADR-H3K27ac_R2.macs2_summits.bed",21838
