Plate,Metadata_Well,Drug,Concentration,Metadata_row,Metadata_column,NumberOfCells,NumberOfCells_ADR,NumberOfCells_MES
2214036,A01,IPI-549,1.0,1,1,5181.0,3922.0,1259.0
2214036,A02,Perifosine,10.0,1,2,1904.0,1468.0,436.0
2214036,A03,Alvespimycin (17-DMAG),1.0,1,3,1433.0,727.0,706.0
2214036,A04,Apratastat (TMI-005),1.0,1,4,6042.0,4402.0,1640.0
2214036,A05,TAK-243 (MLN7243),10.0,1,5,69.0,49.0,20.0
2214036,A06,GSK481,10.0,1,6,5887.0,4241.0,1646.0
2214036,A07,Sitravatinib,0.01,1,7,6048.0,4248.0,1800.0
2214036,A08,GM6001 (Ilomastat ),0.1,1,8,6069.0,4480.0,1589.0
2214036,A09,MIM1,1.0,1,9,5880.0,4312.0,1568.0
2214036,A10,6-Aminonicotinamide,0.1,1,10,5841.0,4516.0,1325.0
2214036,A11,TAK-243 (MLN7243),0.01,1,11,6073.0,4404.0,1669.0
2214036,A12,GSK1070916,0.1,1,12,1568.0,1270.0,298.0
2214036,A13,DMSO,0.0,1,13,5706.0,4423.0,1283.0
2214036,A14,Pladienolide B,1.0,1,14,1671.0,1213.0,458.0
2214036,A15,Valemetostat,0.1,1,15,6130.0,4797.0,1333.0
2214036,A16,Salubrinal,0.01,1,16,6077.0,4942.0,1135.0
2214036,A17,CEP-37440,0.1,1,17,6192.0,4929.0,1263.0
2214036,A18,IPI-549,0.01,1,18,5538.0,4353.0,1185.0
2214036,A19,CPI-455,10.0,1,19,5551.0,4632.0,919.0
2214036,A20,GI254023X,0.1,1,20,6493.0,5187.0,1306.0
2214036,A21,Fluvastatin,1.0,1,21,6013.0,5166.0,847.0
2214036,A22,Spautin 1,10.0,1,22,6562.0,5819.0,743.0
2214036,A23,CPI-455,0.01,1,23,5726.0,4538.0,1188.0
2214036,A24,Salubrinal,10.0,1,24,4783.0,4265.0,518.0
2214036,B01,CEP-37440,0.1,2,1,5621.0,4164.0,1457.0
2214036,B02,Ezatiostat,1.0,2,2,5556.0,3685.0,1871.0
2214036,B03,MAK-683,0.1,2,3,5282.0,3702.0,1580.0
2214036,B04,Brequinar,0.01,2,4,5575.0,3955.0,1620.0
2214036,B05,BMS493,10.0,2,5,3919.0,2677.0,1242.0
2214036,B06,ML-210,0.01,2,6,5870.0,4190.0,1680.0
2214036,B07,MAK-683,1.0,2,7,6130.0,4497.0,1633.0
2214036,B08,"10,12-Tricosadiynoic acid",10.0,2,8,6099.0,4631.0,1468.0
2214036,B09,MAK-683,10.0,2,9,4908.0,3916.0,992.0
2214036,B10,6-Aminonicotinamide,10.0,2,10,6744.0,4887.0,1857.0
2214036,B11,GSK481,0.1,2,11,6289.0,4824.0,1465.0
2214036,B12,GSK1070916,10.0,2,12,633.0,598.0,35.0
2214036,B13,Salinomycin (sodium salt),0.01,2,13,5662.0,4412.0,1250.0
2214036,B14,DMSO,0.0,2,14,6216.0,4924.0,1292.0
2214036,B15,BMS 345541 (trifluoroacetate salt),0.1,2,15,6571.0,4844.0,1727.0
2214036,B16,SGI-7079,10.0,2,16,391.0,360.0,31.0
2214036,B17,Brequinar,10.0,2,17,3201.0,2564.0,637.0
2214036,B18,IPI-549,10.0,2,18,3580.0,3203.0,377.0
2214036,B19,GSK481,1.0,2,19,6069.0,4706.0,1363.0
2214036,B20,XAV939,0.1,2,20,5850.0,4605.0,1245.0
2214036,B21,R428,10.0,2,21,284.0,240.0,44.0
2214036,B22,Alvespimycin (17-DMAG),0.1,2,22,5139.0,4106.0,1033.0
2214036,B23,IPI-549,0.01,2,23,6543.0,5188.0,1355.0
2214036,B24,C188-9,0.01,2,24,5497.0,4513.0,984.0
2214036,C01,Salinomycin (sodium salt),10.0,3,1,600.0,461.0,139.0
2214036,C02,Valemetostat,0.01,3,2,6260.0,4635.0,1625.0
2214036,C03,GSK481,0.01,3,3,6567.0,4681.0,1886.0
2214036,C04,RD162,0.1,3,4,6336.0,4514.0,1822.0
2214036,C05,ML-210,10.0,3,5,2091.0,1582.0,509.0
2214036,C06,Brusatol,0.1,3,6,2263.0,1599.0,664.0
2214036,C07,Apratastat (TMI-005),0.1,3,7,6612.0,5036.0,1576.0
2214036,C08,Forskolin,10.0,3,8,7152.0,5474.0,1678.0
2214036,C09,GI254023X,10.0,3,9,6780.0,5131.0,1649.0
2214036,C10,HX531,0.1,3,10,5780.0,4443.0,1337.0
2214036,C11,DMSO,0.0,3,11,5999.0,4613.0,1386.0
2214036,C12,Salubrinal,0.1,3,12,6478.0,5003.0,1475.0
2214036,C13,BMS493,10.0,3,13,3760.0,2684.0,1076.0
2214036,C14,(-)-DHMEQ,10.0,3,14,5747.0,4460.0,1287.0
2214036,C15,DMSO,0.0,3,15,6518.0,5104.0,1414.0
2214036,C16,CPI-455,1.0,3,16,6835.0,5666.0,1169.0
2214036,C17,Fluvastatin,1.0,3,17,6145.0,4823.0,1322.0
2214036,C18,Crenigacestat,0.01,3,18,5980.0,4441.0,1539.0
2214036,C19,Sitravatinib,0.1,3,19,4119.0,3609.0,510.0
2214036,C20,MIM1,10.0,3,20,3227.0,2709.0,518.0
2214036,C21,HX531,1.0,3,21,4945.0,3573.0,1372.0
2214036,C22,R428,0.01,3,22,6116.0,4776.0,1340.0
2214036,C23,10058-F4,10.0,3,23,5468.0,4458.0,1010.0
2214036,C24,R428,0.01,3,24,5816.0,4906.0,910.0
2214036,D01,ML-210,1.0,4,1,4213.0,2917.0,1296.0
2214036,D02,Salubrinal,1.0,4,2,6134.0,4310.0,1824.0
2214036,D03,Perifosine,0.1,4,3,5878.0,3973.0,1905.0
2214036,D04,CPI-455,0.1,4,4,5912.0,4017.0,1895.0
2214036,D05,XAV939,1.0,4,5,5993.0,4336.0,1657.0
2214036,D06,LY2109761,0.005,4,6,6402.0,4769.0,1633.0
2214036,D07,XAV939,10.0,4,7,5544.0,4340.0,1204.0
2214036,D08,HX531,10.0,4,8,3295.0,2100.0,1195.0
2214036,D09,CEP-37440,1.0,4,9,2969.0,2628.0,341.0
2214036,D10,XAV939,0.1,4,10,6126.0,4614.0,1512.0
2214036,D11,BIBR 1532,0.01,4,11,5947.0,4355.0,1592.0
2214036,D12,DMSO,0.0,4,12,5943.0,4536.0,1407.0
2214036,D13,Forskolin,1.0,4,13,6803.0,4905.0,1898.0
2214036,D14,Spautin 1,0.01,4,14,6471.0,4903.0,1568.0
2214036,D15,Apratastat (TMI-005),10.0,4,15,6770.0,5143.0,1627.0
2214036,D16,DMSO,0.0,4,16,6800.0,5304.0,1496.0
2214036,D17,Valemetostat,10.0,4,17,6910.0,5501.0,1409.0
2214036,D18,Sitravatinib,0.1,4,18,4280.0,3767.0,513.0
2214036,D19,C188-9,10.0,4,19,4187.0,3230.0,957.0
2214036,D20,SGI-7079,10.0,4,20,276.0,257.0,19.0
2214036,D21,IPI-549,0.1,4,21,6088.0,4864.0,1224.0
2214036,D22,Pladienolide B,0.1,4,22,1764.0,1277.0,487.0
2214036,D23,HX531,0.1,4,23,6108.0,4587.0,1521.0
2214036,D24,RD162,0.01,4,24,6537.0,5332.0,1205.0
2214036,E01,Forskolin,1.0,5,1,6781.0,4781.0,2000.0
2214036,E02,DMSO,0.0,5,2,6076.0,4093.0,1983.0
2214036,E03,Crenigacestat,0.01,5,3,6044.0,3992.0,2052.0
2214036,E04,BMS 345541 (trifluoroacetate salt),1.0,5,4,5609.0,3967.0,1642.0
2214036,E05,LGK974,0.1,5,5,5735.0,4241.0,1494.0
2214036,E06,MIM1,0.01,5,6,6024.0,4367.0,1657.0
2214036,E07,MAK-683,0.01,5,7,6499.0,4547.0,1952.0
2214036,E08,GI254023X,0.1,5,8,5776.0,3782.0,1994.0
2214036,E09,DMSO,0.0,5,9,6197.0,4478.0,1719.0
2214036,E10,Forskolin,10.0,5,10,7172.0,5158.0,2014.0
2214036,E11,Alvespimycin (17-DMAG),10.0,5,11,764.0,658.0,106.0
2214036,E12,GM6001 (Ilomastat ),0.01,5,12,6447.0,4890.0,1557.0
