Plate,Metadata_Well,Drug,Concentration,Metadata_row,Metadata_column,NumberOfCells,NumberOfCells_ADR,NumberOfCells_MES
2214056,A01,IPI-549,1.0,1,1,1850.0,1557.0,293.0
2214056,A02,Perifosine,10.0,1,2,329.0,206.0,123.0
2214056,A03,Alvespimycin (17-DMAG),1.0,1,3,1200.0,1108.0,92.0
2214056,A04,Apratastat (TMI-005),1.0,1,4,2321.0,2001.0,320.0
2214056,A05,TAK-243 (MLN7243),10.0,1,5,142.0,121.0,21.0
2214056,A06,GSK481,10.0,1,6,2471.0,2119.0,352.0
2214056,A07,Sitravatinib,0.01,1,7,2319.0,2065.0,254.0
2214056,A08,GM6001 (Ilomastat ),0.1,1,8,2468.0,2222.0,246.0
2214056,A09,MIM1,1.0,1,9,2664.0,2464.0,200.0
2214056,A10,6-Aminonicotinamide,0.1,1,10,2772.0,2468.0,304.0
2214056,A11,TAK-243 (MLN7243),0.01,1,11,3073.0,2732.0,341.0
2214056,A12,GSK1070916,0.1,1,12,2634.0,2341.0,293.0
2214056,A13,DMSO,0.0,1,13,2589.0,2319.0,270.0
2214056,A14,Pladienolide B,1.0,1,14,522.0,489.0,33.0
2214056,A15,Valemetostat,0.1,1,15,2748.0,2478.0,270.0
2214056,A16,Salubrinal,0.01,1,16,2327.0,2046.0,281.0
2214056,A17,CEP-37440,0.1,1,17,2260.0,2010.0,250.0
2214056,A18,IPI-549,0.01,1,18,2800.0,2525.0,275.0
2214056,A19,CPI-455,10.0,1,19,2541.0,2261.0,280.0
2214056,A20,GI254023X,0.1,1,20,2724.0,2486.0,238.0
2214056,A21,Fluvastatin,1.0,1,21,2134.0,1924.0,210.0
2214056,A22,Spautin 1,10.0,1,22,2295.0,1964.0,331.0
2214056,A23,CPI-455,0.01,1,23,2478.0,2179.0,299.0
2214056,A24,Salubrinal,10.0,1,24,1568.0,1388.0,180.0
2214056,B01,CEP-37440,0.1,2,1,2375.0,1958.0,417.0
2214056,B02,Ezatiostat,1.0,2,2,3063.0,2755.0,308.0
2214056,B03,MAK-683,0.1,2,3,3135.0,2770.0,365.0
2214056,B04,Brequinar,0.01,2,4,2743.0,2430.0,313.0
2214056,B05,BMS493,10.0,2,5,1688.0,1525.0,163.0
2214056,B06,ML-210,0.01,2,6,2980.0,2655.0,325.0
2214056,B07,MAK-683,1.0,2,7,3413.0,3026.0,387.0
2214056,B08,"10,12-Tricosadiynoic acid",10.0,2,8,2416.0,2058.0,358.0
2214056,B09,MAK-683,10.0,2,9,2790.0,2436.0,354.0
2214056,B10,6-Aminonicotinamide,10.0,2,10,1988.0,1782.0,206.0
2214056,B11,GSK481,0.1,2,11,2940.0,2653.0,287.0
2214056,B12,GSK1070916,10.0,2,12,108.0,102.0,6.0
2214056,B13,Salinomycin (sodium salt),0.01,2,13,2655.0,2387.0,268.0
2214056,B14,DMSO,0.0,2,14,3279.0,3017.0,262.0
2214056,B15,BMS 345541 (trifluoroacetate salt),0.1,2,15,2826.0,2590.0,236.0
2214056,B16,SGI-7079,10.0,2,16,93.0,77.0,16.0
2214056,B17,Brequinar,10.0,2,17,2085.0,1812.0,273.0
2214056,B18,IPI-549,10.0,2,18,1543.0,1316.0,227.0
2214056,B19,GSK481,1.0,2,19,2915.0,2642.0,273.0
2214056,B20,XAV939,0.1,2,20,2754.0,2476.0,278.0
2214056,B21,R428,10.0,2,21,122.0,99.0,23.0
2214056,B22,Alvespimycin (17-DMAG),0.1,2,22,2862.0,2764.0,98.0
2214056,B23,IPI-549,0.01,2,23,2501.0,2310.0,191.0
2214056,B24,C188-9,0.01,2,24,2639.0,2369.0,270.0
2214056,C02,Valemetostat,0.01,3,2,3290.0,2900.0,390.0
2214056,C03,GSK481,0.01,3,3,2492.0,2206.0,286.0
2214056,C04,RD162,0.1,3,4,2604.0,2321.0,283.0
2214056,C05,ML-210,10.0,3,5,2038.0,1875.0,163.0
2214056,C06,Brusatol,0.1,3,6,989.0,835.0,154.0
2214056,C07,Apratastat (TMI-005),0.1,3,7,3097.0,2824.0,273.0
2214056,C08,Forskolin,10.0,3,8,3275.0,3063.0,212.0
2214056,C09,GI254023X,10.0,3,9,2244.0,2005.0,239.0
2214056,C10,HX531,0.1,3,10,2583.0,2366.0,217.0
2214056,C11,DMSO,0.0,3,11,3047.0,2803.0,244.0
2214056,C12,Salubrinal,0.1,3,12,3228.0,2939.0,289.0
2214056,C13,BMS493,10.0,3,13,1459.0,1222.0,237.0
2214056,C14,(-)-DHMEQ,10.0,3,14,2418.0,2184.0,234.0
2214056,C15,DMSO,0.0,3,15,2751.0,2481.0,270.0
2214056,C16,CPI-455,1.0,3,16,2809.0,2531.0,278.0
