Plate,Metadata_Well,Drug,Concentration,Metadata_row,Metadata_column,NumberOfCells,NumberOfCells_ADR,NumberOfCells_MES
2214048,A01,Alisertib,1.0,1,1,222.0,82.0,140.0
2214048,A02,Vismodegib,20.0,1,2,723.0,301.0,422.0
2214048,A03,Thioguanine,1.0,1,3,829.0,486.0,343.0
2214048,A04,Seclidemstat,1.0,1,4,329.0,95.0,234.0
2214048,A05,Vincristine,20.0,1,5,452.0,240.0,212.0
2214048,A06,JQ1-(+),9.0,1,6,107.0,33.0,74.0
2214048,A08,Cediranib,0.1,1,8,710.0,357.0,353.0
2214048,A09,MLN0128,1.0,1,9,269.0,76.0,193.0
2214048,A10,Telaglenastat,0.1,1,10,793.0,439.0,354.0
2214048,A11,Vincristine,0.02,1,11,703.0,362.0,341.0
2214048,A12,Semaxanib,0.1,1,12,839.0,436.0,403.0
2214048,A13,DMSO,0.0,1,13,885.0,402.0,483.0
2214048,A14,Cisplatin,2.0,1,14,745.0,317.0,428.0
2214048,A15,Vemurafenib,0.2,1,15,830.0,378.0,452.0
2214048,A16,ORY1001,0.01,1,16,775.0,399.0,376.0
2214048,A17,Veliparib,0.1,1,17,840.0,386.0,454.0
2214048,A18,Alisertib,0.01,1,18,623.0,313.0,310.0
2214048,A19,Ceritinib,10.0,1,19,433.0,330.0,103.0
2214048,A20,Temsirolimus,0.2,1,20,511.0,257.0,254.0
2214048,A21,Erlotinib,2.0,1,21,579.0,246.0,333.0
2214048,A22,EPZ-5676,10.0,1,22,803.0,422.0,381.0
2214048,A23,Ceritinib,0.01,1,23,635.0,312.0,323.0
2214048,A24,ORY1001,10.0,1,24,1078.0,827.0,251.0
2214048,B01,Veliparib,0.1,2,1,503.0,263.0,240.0
2214048,B02,Masitinib,1.0,2,2,1113.0,580.0,533.0
2214048,B03,Pacritinib,0.1,2,3,884.0,486.0,398.0
2214048,B04,Carfilzomib,0.0,2,4,797.0,433.0,364.0
2214048,B05,trametinib,10.0,2,5,641.0,459.0,182.0
2214048,B06,Vandetanib,0.02,2,6,845.0,397.0,448.0
2214048,B07,Pacritinib,1.0,2,7,901.0,396.0,505.0
2214048,B08,6-Mercaptopurine,20.0,2,8,758.0,395.0,363.0
2214048,B09,Pacritinib,10.0,2,9,557.0,437.0,120.0
2214048,B10,Telaglenastat,10.0,2,10,690.0,416.0,274.0
2214048,B11,JQ1-(+),0.09,2,11,705.0,334.0,371.0
