group,replicate,fastq_1,fastq_2,control
SK-N-SH-M_H3K4me1,1,./fastqs/MZ-SS-CR-484-SK-N-SH-M-H3K4me1-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-484-SK-N-SH-M-H3K4me1-rep1_R2_001.fastq.gz,SK-N-SH-M_IgG
CLB-Ma-A_IgG,1,./fastqs/MZ-SS-CR-477-CLB-Ma-A-IgG-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-477-CLB-Ma-A-IgG-rep1_R2_001.fastq.gz,
SK-N-SH-A_Jun,1,./fastqs/MZ-SS-CR-515-SK-N-SH-A-Jun-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-515-SK-N-SH-A-Jun-rep1_R2_001.fastq.gz,SK-N-SH-A_IgG
CLB-Ma-A_H3K4me1,1,./fastqs/MZ-SS-CR-479-CLB-Ma-A-H3K4me1-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-479-CLB-Ma-A-H3K4me1-rep1_R2_001.fastq.gz,CLB-Ma-A_IgG
SK-N-SH-A_FRA1,1,./fastqs/MZ-SS-CR-516-SK-N-SH-A-FRA1-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-516-SK-N-SH-A-FRA1-rep1_R2_001.fastq.gz,SK-N-SH-A_IgG
CLB-Ma-A_H3K27ac,1,./fastqs/MZ-SS-CR-478-CLB-Ma-A-H3K27ac-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-478-CLB-Ma-A-H3K27ac-rep1_R2_001.fastq.gz,CLB-Ma-A_IgG
SK-N-SH-M_IgG,1,./fastqs/MZ-SS-CR-482-SK-N-SH-M-IgG-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-482-SK-N-SH-M-IgG-rep1_R2_001.fastq.gz,
SK-N-SH-M_TAZ,1,./fastqs/MZ-SS-CR-507-SK-N-SH-M-TAZ-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-507-SK-N-SH-M-TAZ-rep1_R2_001.fastq.gz,SK-N-SH-M_IgG
SK-N-SH-A_IgG,1,./fastqs/MZ-SS-CR-487-SK-N-SH-A-IgG-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-487-SK-N-SH-A-IgG-rep1_R2_001.fastq.gz,
SK-N-SH-M_FRA1,1,./fastqs/MZ-SS-CR-509-SK-N-SH-M-FRA1-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-509-SK-N-SH-M-FRA1-rep1_R2_001.fastq.gz,SK-N-SH-M_IgG
CLB-Ma-M_FRA1,1,./fastqs/MZ-SS-CR-495-CLB-Ma-M-FRA1-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-495-CLB-Ma-M-FRA1-rep1_R2_001.fastq.gz,CLB-Ma-M_IgG
CLB-Ma-M_Jun,1,./fastqs/MZ-SS-CR-494-CLB-Ma-M-Jun-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-494-CLB-Ma-M-Jun-rep1_R2_001.fastq.gz,CLB-Ma-M_IgG
SK-N-SH-M_Jun,1,./fastqs/MZ-SS-CR-508-SK-N-SH-M-Jun-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-508-SK-N-SH-M-Jun-rep1_R2_001.fastq.gz,SK-N-SH-M_IgG
SK-N-SH-A_H3K4me1,1,./fastqs/MZ-SS-CR-489-SK-N-SH-A-H3K4me1-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-489-SK-N-SH-A-H3K4me1-rep1_R2_001.fastq.gz,SK-N-SH-A_IgG
CLB-Ma-A_Jun,1,./fastqs/MZ-SS-CR-501-CLB-Ma-A-Jun-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-501-CLB-Ma-A-Jun-rep1_R2_001.fastq.gz,CLB-Ma-A_IgG
SK-N-SH-A_TAZ,1,./fastqs/MZ-SS-CR-514-SK-N-SH-A-TAZ-rep1_R1_001.fastq.gz,./fastqs/MZ-SS-CR-514-SK-N-SH-A-TAZ-rep1_R2_001.fastq.gz,SK-N-SH-A_IgG
