gs_id	gene_id
JunDN_up	57185
JunDN_up	56603
JunDN_up	221981
JunDN_down	5577
JunDN_down	5646
JunDN_up	9497
JunDN_down	4254
JunDN_down	11174
JunDN_up	1301
JunDN_up	22998
JunDN_down	4804
JunDN_up	4638
JunDN_down	1496
JunDN_up	9891
JunDN_up	6717
JunDN_up	10512
JunDN_down	5362
JunDN_down	10529
JunDN_up	22837
JunDN_up	2683
JunDN_up	9509
JunDN_down	6790
JunDN_down	8544
JunDN_down	1114
JunDN_up	23231
JunDN_up	23428
JunDN_up	54566
JunDN_down	5742
JunDN_up	3162
JunDN_up	6789
JunDN_up	5157
JunDN_down	11075
JunDN_down	7138
JunDN_down	9545
JunDN_down	5764
JunDN_down	2051
JunDN_up	6505
JunDN_up	6387
JunDN_down	64115
JunDN_up	22943
JunDN_up	114815
JunDN_up	6347
JunDN_up	23531
JunDN_down	5376
JunDN_up	3910
JunDN_up	3702
JunDN_up	5924
JunDN_up	5067
JunDN_down	5947
JunDN_down	9540
JunDN_down	3676
JunDN_up	3488
JunDN_down	84812
JunDN_up	3554
JunDN_down	7475
JunDN_up	2274
JunDN_up	4953
JunDN_down	6382
JunDN_up	56944
JunDN_down	991
JunDN_down	1266
JunDN_down	6195
JunDN_down	5629
JunDN_up	64747
JunDN_down	5493
JunDN_up	22936
JunDN_up	5507
JunDN_down	29126
JunDN_up	8702
JunDN_up	387496
JunDN_up	5737
JunDN_up	4852
JunDN_up	3624
JunDN_down	1271
JunDN_down	5328
JunDN_down	5354
JunDN_up	6406
JunDN_up	55026
JunDN_up	24141
JunDN_up	435
JunDN_up	4248
JunDN_down	7425
JunDN_up	5420
JunDN_down	10234
JunDN_up	6860
JunDN_down	4922
JunDN_up	83857
JunDN_up	272
JunDN_up	9645
JunDN_down	23508
JunDN_up	10451
JunDN_up	7482
JunDN_up	10468
JunDN_down	23416
JunDN_up	183
JunDN_up	3775
JunDN_down	10457
JunDN_down	7280
JunDN_down	347733
JunDN_down	3159
JunDN_down	57569
JunDN_up	7057
JunDN_down	80031
JunDN_up	80144
JunDN_up	57619
JunDN_down	8549
JunDN_up	2252
JunDN_up	4916
JunDN_up	79631
JunDN_up	147381
JunDN_down	1382
JunDN_up	1893
JunDN_up	129804
JunDN_up	5793
JunDN_up	64332
JunDN_down	22989
JunDN_down	10699
JunDN_down	287
JunDN_down	10184
JunDN_up	9547
JunDN_down	57451
JunDN_down	7162
JunDN_down	94122
JunDN_down	256158
JunDN_up	3363
JunDN_up	8038
JunDN_down	26011
JunDN_down	219670
JunDN_down	288
JunDN_down	7402
JunDN_down	6328
JunDN_up	223117
JunDN_up	147463
JunDN_up	11096
JunDN_down	3084
JunDN_down	11189
JunDN_up	5739
JunDN_down	222235
JunDN_down	113026
JunDN_up	1996
JunDN_down	9249
JunDN_up	249
JunDN_up	347730
JunDN_up	10602
JunDN_up	1293
JunDN_up	7123
JunDN_up	11341
JunDN_down	348980
JunDN_up	360
JunDN_down	144455
JunDN_down	170689
JunDN_up	1381
JunDN_up	4239
JunDN_up	4837
JunDN_up	162394
JunDN_down	5347
JunDN_down	26585
JunDN_down	3489
JunDN_down	84684
JunDN_up	624
JunDN_down	27065
JunDN_up	5480
JunDN_up	7881
JunDN_down	190
JunDN_up	9839
JunDN_up	8460
JunDN_up	4071
JunDN_up	25924
JunDN_up	6444
JunDN_down	85315
JunDN_up	80310
JunDN_up	55144
JunDN_down	6241
JunDN_down	257194
JunDN_down	27254
JunDN_up	79834
JunDN_up	27284
JunDN_down	11065
JunDN_up	64770
JunDN_down	8061
JunDN_down	627
JunDN_down	24147
JunDN_down	9495
JunDN_up	2619
JunDN_up	5021
JunDN_up	65265
JunDN_up	5069
JunDN_up	221178
JunDN_up	54855
JunDN_up	401145
JunDN_up	201501
JunDN_down	5600
JunDN_down	113146
JunDN_up	338645
JunDN_up	79875
JunDN_up	7373
JunDN_down	5649
JunDN_down	1364
JunDN_up	837
JunDN_up	23507
JunDN_up	4217
JunDN_down	1288
JunDN_up	8076
JunDN_down	6277
JunDN_up	5350
JunDN_up	7052
JunDN_down	284751
JunDN_up	5673
JunDN_up	2878
JunDN_up	3672
JunDN_up	1052
JunDN_up	84561
JunDN_down	440823
JunDN_up	107985194
JunDN_down	101928098
JunDN_down	729970
JunDN_down	56135
JunDN_down	9865
JunDN_down	3690
JunDN_down	107985879
JunDN_up	388630
JunDN_down	100133941
JunDN_up	441058
