gs_id	gene_id
ADRN	55732
MES	3075
MES	57185
MES	22875
MES	4267
ADRN	9957
MES	3927
MES	4074
ADRN	90293
ADRN	3382
ADRN	79007
MES	8837
MES	7035
ADRN	9108
MES	23129
ADRN	952
ADRN	23028
ADRN	115703
ADRN	51364
MES	3052
ADRN	221981
ADRN	3980
ADRN	81691
MES	80256
MES	51226
ADRN	9256
MES	54677
ADRN	7748
MES	3675
MES	3920
ADRN	3674
MES	9244
ADRN	51087
ADRN	6833
MES	64847
ADRN	8913
MES	51330
ADRN	1750
ADRN	4293
MES	55971
ADRN	80853
MES	221
ADRN	10926
MES	85477
MES	8522
ADRN	4145
MES	64285
ADRN	9254
MES	7005
MES	29116
ADRN	1870
ADRN	6853
ADRN	3720
ADRN	7021
MES	9265
ADRN	53616
MES	6856
ADRN	1534
ADRN	1951
MES	10157
MES	4784
MES	6482
MES	9235
ADRN	23542
ADRN	10178
MES	51513
ADRN	2696
ADRN	80199
MES	9902
ADRN	654364
MES	10867
MES	51099
MES	3730
ADRN	54799
ADRN	8193
ADRN	9066
MES	5329
MES	1634
ADRN	23177
MES	57146
ADRN	672
MES	7869
MES	30845
MES	23324
ADRN	57709
MES	5010
MES	9961
MES	5238
MES	9604
ADRN	1663
MES	50865
MES	9052
MES	10046
ADRN	10460
MES	23376
ADRN	23649
MES	10903
ADRN	440193
MES	64132
ADRN	81551
ADRN	3670
ADRN	55349
ADRN	53832
ADRN	22902
ADRN	1272
MES	25937
MES	477
MES	55622
MES	23187
MES	6591
MES	972
MES	25960
MES	58473
MES	9369
MES	1373
MES	6050
MES	330
MES	1244
MES	2730
MES	30846
ADRN	55635
ADRN	3298
ADRN	29781
MES	10953
MES	7431
MES	355
MES	8635
ADRN	3755
ADRN	3645
ADRN	5452
MES	56938
ADRN	286
ADRN	3149
MES	578
MES	22807
MES	2896
MES	54480
MES	2530
MES	55236
ADRN	9846
ADRN	321
MES	5606
MES	8504
MES	7414
ADRN	55789
MES	7077
ADRN	6570
MES	3224
MES	175
MES	7092
MES	7204
MES	1462
MES	1767
MES	26064
MES	54908
ADRN	65078
MES	1008
MES	10039
MES	3371
MES	84883
MES	54884
MES	822
MES	7038
MES	23338
MES	1495
MES	3309
MES	1829
ADRN	2824
MES	116984
MES	23247
ADRN	27146
MES	57545
MES	50484
ADRN	55885
ADRN	1298
MES	4254
MES	11174
MES	9563
MES	9341
MES	3604
MES	55040
MES	4052
MES	5954
ADRN	5982
MES	3074
ADRN	340533
MES	27122
MES	9603
MES	51474
MES	9564
MES	9709
MES	9454
ADRN	5888
MES	5291
MES	1535
ADRN	23105
ADRN	4826
MES	3909
ADRN	23095
ADRN	23224
ADRN	140689
MES	25884
ADRN	3757
MES	116254
MES	114800
ADRN	112885
MES	7185
ADRN	55540
MES	131566
ADRN	57458
MES	23200
MES	3918
MES	5218
MES	29927
MES	4659
MES	5923
ADRN	816
MES	493
ADRN	55706
MES	84256
MES	64761
MES	6515
ADRN	5662
MES	8531
ADRN	23504
ADRN	11178
MES	93166
ADRN	6676
ADRN	84649
ADRN	5424
ADRN	124925
ADRN	770
MES	57491
MES	2817
MES	841
ADRN	22998
ADRN	10402
ADRN	9170
MES	5476
MES	28966
ADRN	2139
MES	1265
ADRN	9627
MES	10203
MES	9697
ADRN	55388
MES	1606
ADRN	91526
MES	10954
ADRN	23013
ADRN	9892
ADRN	7089
MES	51665
MES	84679
MES	5141
ADRN	1496
MES	7075
MES	25791
ADRN	259266
MES	64834
ADRN	744
MES	2263
ADRN	26153
ADRN	10734
MES	6672
MES	1316
MES	8611
MES	23471
MES	7813
MES	5315
MES	89795
ADRN	57595
ADRN	492
MES	2261
MES	3430
MES	4205
MES	7030
MES	2182
ADRN	55771
ADRN	65055
MES	9741
MES	286749
ADRN	10235
MES	27248
MES	5526
MES	54549
MES	602
ADRN	8514
ADRN	51083
MES	7049
MES	4734
MES	10681
MES	5873
MES	4925
MES	5774
ADRN	6710
ADRN	2255
MES	23446
MES	8218
MES	10272
MES	55062
ADRN	22844
ADRN	1258
MES	26031
ADRN	2046
ADRN	11320
MES	9948
MES	79658
MES	6196
MES	29995
MES	6400
ADRN	28951
MES	79901
ADRN	55117
ADRN	22859
MES	87
MES	55679
ADRN	55515
MES	10290
MES	84708
MES	64398
ADRN	8243
ADRN	3161
MES	8974
MES	37
MES	6793
ADRN	1400
MES	2121
MES	51009
ADRN	79041
MES	5817
ADRN	4171
MES	54456
MES	80216
ADRN	1183
ADRN	4185
MES	5523
MES	10979
MES	5743
MES	8301
MES	4854
ADRN	5522
MES	8463
ADRN	6620
MES	771
MES	11343
MES	59277
MES	9891
MES	9187
MES	56005
ADRN	3785
ADRN	51512
MES	10512
ADRN	23151
MES	9620
ADRN	119
MES	9605
MES	64778
MES	2355
ADRN	27091
ADRN	27092
MES	60
MES	55034
MES	5337
ADRN	284403
MES	55973
ADRN	4175
MES	25996
MES	5939
ADRN	10615
MES	88455
ADRN	124188259
ADRN	7163
MES	3385
MES	4162
ADRN	55796
ADRN	57662
ADRN	5909
ADRN	51412
ADRN	7155
MES	4791
ADRN	29089
MES	54431
MES	3566
ADRN	5063
ADRN	1641
ADRN	6626
ADRN	56915
ADRN	143684
MES	7107
MES	203427
MES	2260
ADRN	2192
ADRN	4133
MES	273
MES	27074
MES	2191
ADRN	10529
ADRN	55728
MES	57103
MES	8871
MES	108
ADRN	54715
MES	1906
ADRN	117
MES	9452
ADRN	57690
ADRN	9139
MES	51150
ADRN	7161
MES	8569
MES	7145
ADRN	5050
ADRN	3835
ADRN	10590
MES	55604
ADRN	1653
MES	2037
ADRN	285220
ADRN	5991
MES	11043
MES	50509
ADRN	1136
MES	5891
ADRN	22997
ADRN	114819
ADRN	10403
ADRN	260425
MES	28962
ADRN	384
MES	9262
ADRN	22869
MES	5205
MES	6604
MES	58538
MES	55437
MES	22837
ADRN	1741
MES	3776
ADRN	7188
MES	4779
ADRN	54437
MES	3693
MES	5351
ADRN	5026
MES	1540
MES	2195
MES	25978
MES	5978
MES	54434
MES	334
ADRN	79570
MES	966
MES	3732
MES	57590
ADRN	57549
MES	2017
ADRN	4998
MES	4258
MES	2683
MES	54749
MES	3294
ADRN	5475
MES	7462
MES	23645
MES	51171
MES	7205
MES	2512
MES	54947
ADRN	2775
ADRN	57544
MES	22795
MES	5744
ADRN	116154
MES	51290
MES	55741
MES	111089941
ADRN	1789
ADRN	22974
MES	23348
MES	1795
MES	54498
