gs_id	gene_id
K975_24h_48h_up	90293
K975_24h_48h_up	5577
K975_24h_48h_up	9256
K975_24h_48h_up	6376
K975_24h_48h_up	8522
K975_24h_48h_up	57172
K975_24h_48h_up	928
K975_24h_48h_up	2696
K975_24h_48h_up	11119
K975_24h_48h_up	56204
K975_24h_48h_up	1112
K975_24h_48h_up	55733
K975_24h_48h_up	1608
K975_24h_48h_up	119391
K975_24h_48h_up	7216
K975_24h_48h_up	6857
K975_24h_48h_up	58476
K975_24h_48h_up	1136
K975_24h_48h_up	10325
K975_24h_48h_up	23368
K975_24h_48h_up	5027
K975_24h_48h_up	51291
K975_24h_48h_up	7597
K975_24h_48h_up	83719
K975_24h_48h_up	57556
K975_24h_48h_up	825
K975_24h_48h_up	9127
K975_24h_48h_up	23331
K975_24h_48h_up	11144
K975_24h_48h_up	9252
K975_24h_48h_up	8848
K975_24h_48h_up	23090
K975_24h_48h_up	51760
K975_24h_48h_up	90427
K975_24h_48h_up	83988
K975_24h_48h_up	10156
K975_24h_48h_up	26959
K975_24h_48h_up	1955
K975_24h_48h_up	2625
K975_24h_48h_up	219699
K975_24h_48h_up	10014
K975_24h_48h_up	57620
K975_24h_48h_up	3083
K975_24h_48h_up	4013
K975_24h_48h_up	7450
K975_24h_48h_up	441631
K975_24h_48h_up	51147
K975_24h_48h_up	10384
K975_24h_48h_up	51696
K975_24h_48h_up	9421
K975_24h_48h_up	57561
K975_24h_48h_up	54800
K975_24h_48h_up	90
K975_24h_48h_up	84812
K975_24h_48h_up	8643
K975_24h_48h_up	3664
K975_24h_48h_up	5629
K975_24h_48h_up	1143
K975_24h_48h_up	4488
K975_24h_48h_up	56124
K975_24h_48h_up	4093
K975_24h_48h_up	1846
K975_24h_48h_up	6909
K975_24h_48h_up	8805
K975_24h_48h_up	6615
K975_24h_48h_up	10396
K975_24h_48h_up	6659
K975_24h_48h_up	4987
K975_24h_48h_up	2892
K975_24h_48h_up	80818
K975_24h_48h_up	59353
K975_24h_48h_up	65997
K975_24h_48h_up	3671
K975_24h_48h_up	1028
K975_24h_48h_up	9754
K975_24h_48h_up	140685
K975_24h_48h_up	3911
K975_24h_48h_up	23135
K975_24h_48h_up	51761
K975_24h_48h_up	23281
K975_24h_48h_up	201266
K975_24h_48h_up	80017
K975_24h_48h_up	4038
K975_24h_48h_up	6926
K975_24h_48h_up	112609
K975_24h_48h_up	51317
K975_24h_48h_up	5630
K975_24h_48h_up	116986
K975_24h_48h_up	3357
K975_24h_48h_up	80210
K975_24h_48h_up	10154
K975_24h_48h_up	29988
K975_24h_48h_up	90865
K975_24h_48h_up	11309
K975_24h_48h_up	64220
