gs_id	gene_id
K975_48h_down	55732
K975_48h_down	3927
K975_48h_up	90293
K975_48h_down	3052
K975_48h_up	221981
K975_48h_up	5577
K975_48h_up	9256
K975_48h_up	114881
K975_48h_down	9020
K975_48h_up	6376
K975_48h_up	8913
K975_48h_down	51330
K975_48h_up	1750
K975_48h_up	9569
K975_48h_down	85477
K975_48h_up	8522
K975_48h_up	79090
K975_48h_up	29116
K975_48h_up	6792
K975_48h_up	57172
K975_48h_up	53616
K975_48h_up	1534
K975_48h_up	1951
K975_48h_up	928
K975_48h_up	2696
K975_48h_down	51096
K975_48h_down	5329
K975_48h_down	54443
K975_48h_up	23177
K975_48h_up	57658
K975_48h_down	9052
K975_48h_down	10046
K975_48h_down	10460
K975_48h_up	22902
K975_48h_up	1272
K975_48h_down	55622
K975_48h_up	147948
K975_48h_down	4331
K975_48h_down	23034
K975_48h_down	9369
K975_48h_down	51022
K975_48h_down	6617
K975_48h_up	11119
K975_48h_down	5606
K975_48h_down	51121
K975_48h_down	54888
K975_48h_down	7092
K975_48h_down	1767
K975_48h_down	54908
K975_48h_up	140876
K975_48h_up	56204
K975_48h_down	51491
K975_48h_up	1298
K975_48h_down	2006
K975_48h_down	5982
K975_48h_down	81037
K975_48h_down	51474
K975_48h_down	9564
K975_48h_down	5888
K975_48h_down	10721
K975_48h_down	10198
K975_48h_up	1112
K975_48h_down	51154
K975_48h_up	4826
K975_48h_down	3909
K975_48h_up	5798
K975_48h_up	55733
K975_48h_up	23224
K975_48h_up	10079
K975_48h_down	51602
K975_48h_down	55781
K975_48h_up	1608
K975_48h_down	9410
K975_48h_up	23504
K975_48h_up	770
K975_48h_down	55726
K975_48h_up	1747
K975_48h_up	10402
K975_48h_up	4804
K975_48h_down	3843
K975_48h_down	9697
K975_48h_down	55388
K975_48h_up	91526
K975_48h_up	119391
K975_48h_down	10797
K975_48h_down	1994
K975_48h_up	26153
K975_48h_down	5214
K975_48h_up	8611
K975_48h_down	30836
K975_48h_up	7216
K975_48h_down	51018
K975_48h_up	6857
K975_48h_down	89795
