Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	161.0	27132416	0.413	-8.198
miRNA	1.0	109554	1.034	-0.951
ncRNA	104.0	7132742	1.710	-54.121
TTS	219.0	32468647	0.598	-19.207
pseudo	12.0	2094123	0.362	-1.467
Exon	561.0	37461929	1.748	-295.416
Intron	6326.0	1260832437	0.171	-78.508
Intergenic	4970.0	1623206414	-0.542	770.496
Promoter	1001.0	36173306	2.634	-1019.094
5UTR	148.0	2669935	3.636	-240.966
snoRNA	0.0	357	-0.002	0.002
scRNA	0.0	97	-0.001	0.000
rRNA	0.0	25562	-0.156	0.114
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	161.0	27132416	0.414	-8.222
Retroposon	2.0	4043950	-3.171	12.825
RC?	1.0	59641	1.912	-1.455
RNA	0.0	107756	-0.566	0.480
miRNA	1.0	109554	1.035	-0.951
ncRNA	104.0	7132742	1.711	-54.162
TTS	219.0	32468647	0.598	-19.250
LINE	640.0	626518711	-2.125	1415.334
srpRNA	0.0	261424	-1.114	1.165
SINE	337.0	376897074	-2.317	877.938
RC	0.0	358685	-1.377	1.598
tRNA	1.0	90990	1.303	-1.099
DNA?	6.0	422156	1.674	-4.372
pseudo	12.0	2094123	0.363	-1.470
DNA	166.0	98908730	-1.408	118.461
Exon	561.0	37461929	1.749	-295.637
Intron	4894.0	657832052	0.740	-745.275
Intergenic	3626.0	738130028	0.141	-25.197
Promoter	1001.0	36173306	2.635	-1019.563
5UTR	148.0	2669935	3.637	-241.041
snoRNA	0.0	357	-0.002	0.002
LTR?	4.0	1136894	-0.341	0.846
scRNA	0.0	121238	-0.623	0.540
CpG-Island	758.0	8784954	4.276	-1551.255
Low_complexity	21.0	5391300	-0.194	1.163
LTR	681.0	257518063	-0.752	123.061
Simple_repeat	139.0	33792674	-0.115	1.697
snRNA	1.0	311487	-0.473	0.517
Unknown	11.0	713558	1.791	-7.663
SINE?	0.0	2674	-0.017	0.012
Satellite	7.0	74131976	-5.560	302.097
rRNA	1.0	199070	0.173	-0.531
