Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	203.0	27132416	0.426	-10.370
miRNA	4.0	109554	2.713	-5.637
ncRNA	94.0	7132742	1.242	-29.422
TTS	253.0	32468647	0.484	-15.406
pseudo	5.0	2094123	-1.222	3.688
Exon	190.0	37461929	-0.135	2.288
Intron	9015.0	1260832437	0.360	-479.631
Intergenic	6650.0	1623206414	-0.443	685.649
Promoter	428.0	36173306	1.087	-100.794
5UTR	32.0	2669935	1.105	-9.473
snoRNA	0.0	357	-0.003	0.002
scRNA	0.0	97	-0.001	0.001
rRNA	0.0	25562	-0.192	0.142
Annotation	Number of peaks	Total size (bp)	Log2 Ratio (obs/exp)	LogP enrichment (+values depleted)
3UTR	203.0	27132416	0.426	-10.401
Retroposon	0.0	4043950	-4.557	22.528
RC?	0.0	59641	-0.414	0.332
RNA	2.0	107756	1.737	-2.105
miRNA	4.0	109554	2.713	-5.639
ncRNA	94.0	7132742	1.243	-29.453
TTS	253.0	32468647	0.485	-15.448
LINE	1257.0	626518711	-1.472	1128.509
srpRNA	0.0	261424	-1.296	1.455
SINE	724.0	376897074	-1.535	669.692
RC	3.0	358685	0.587	-1.132
tRNA	3.0	90990	2.566	-4.207
DNA?	2.0	422156	-0.233	0.540
pseudo	5.0	2094123	-1.221	3.684
DNA	554.0	98908730	0.009	-0.803
Exon	190.0	37461929	-0.134	2.274
Intron	6864.0	657832052	0.906	-1538.592
Intergenic	4715.0	738130028	0.198	-60.417
Promoter	428.0	36173306	1.088	-100.921
5UTR	32.0	2669935	1.106	-9.483
snoRNA	0.0	357	-0.003	0.002
LTR?	19.0	1136894	1.586	-10.244
scRNA	0.0	121238	-0.744	0.675
CpG-Island	47.0	8784954	-0.057	0.846
Low_complexity	13.0	5391300	-1.207	7.823
LTR	1377.0	257518063	-0.058	2.815
Simple_repeat	83.0	33792674	-1.181	40.099
snRNA	0.0	311487	-1.451	1.734
Unknown	1.0	713558	-1.990	2.369
SINE?	0.0	2674	-0.021	0.015
Satellite	0.0	74131976	-8.728	417.837
rRNA	1.0	199070	-0.148	0.362
