"experiment","region_set","sample_set","cell_line","total_ses","decreased_24h","increased_24h","decreased_48h","increased_48h","median_fc_24h","median_fc_48h","mean_control_accessibility"
"new_regions_all18_samples","new","all18","CLB_Ma",337,3,2,1,2,-0.0473907006387052,0.0750170862596298,0.187464520490986
"new_regions_all18_samples","new","all18","SK_N_SH",337,4,0,3,0,-0.18779039041927,-0.0101300190898395,0.163788327921043
"old_regions_all18_samples","old","all18","CLB_Ma",192,3,0,0,0,-0.0538304444886164,0.0632393050038388,0.230428340672958
"old_regions_all18_samples","old","all18","SK_N_SH",192,5,1,3,1,-0.237019496356778,-0.0451890460786521,0.204458046181319
"new_regions_legacy_samples","new","legacy","CLB_Ma",337,3,16,24,1,0.182766640444659,-0.238187130319632,0.181848189018939
"new_regions_legacy_samples","new","legacy","SK_N_SH",337,4,4,7,0,-0.0126347467258704,-0.0789070295197192,0.173215547617127
"old_regions_legacy_samples","old","legacy","CLB_Ma",192,3,7,12,0,0.180139305535827,-0.239075565551417,0.22925462975601
"old_regions_legacy_samples","old","legacy","SK_N_SH",192,7,3,4,0,-0.0945268328140394,-0.105429959681457,0.217037602945826
"new_regions_new_batch_samples","new","new_batch","CLB_Ma",337,10,2,0,6,-0.182850602183904,0.199342378250373,0.19027268622701
"new_regions_new_batch_samples","new","new_batch","SK_N_SH",337,13,0,2,2,-0.28069549710853,0.0196313795144661,0.159074718073001
"old_regions_new_batch_samples","old","new_batch","CLB_Ma",192,5,0,0,3,-0.176280580641668,0.188819789822861,0.231015196131431
"old_regions_new_batch_samples","old","new_batch","SK_N_SH",192,11,1,3,1,-0.294505790649105,-0.00417117781976344,0.198168267799066
