"sample","cell_line","time","batch","libsize","top1pct_frac","frac_zero_peaks"
"CM_control_ATAC_S165169_REP1","CLBMa","control","legacy",10484316,0.23869234769345,0.165152863651635
"CM_24h_ATAC_S165170_REP1","CLBMa","24h","legacy",9120395,0.247730608158967,0.195674511722395
"CM_48h_ATAC_S165167_REP1","CLBMa","48h","legacy",12621609,0.230755365659006,0.109312098832378
"CM_DMSO_ctrl_rep1_REP1","CLBMa","control","new",12850799,0.230947896702765,0.243177080570471
"CM_DMSO_ctrl_rep2_REP1","CLBMa","control","new",15887826,0.215171603717211,0.114231713043461
"CM_24h_rep2_REP1","CLBMa","24h","new",17901285,0.220982627783424,0.144138409337836
"CM_24h_rep1_REP1","CLBMa","24h","new",17997146,0.229776098943688,0.154370578192199
"CM_48h_rep1_REP1","CLBMa","48h","new",9267249,0.232062611029444,0.320877121632746
"CM_48h_rep2_REP1","CLBMa","48h","new",21754023,0.216678174882871,0.121520758060682
"SH_control_ATAC_S165166_REP1","SK_N_SH","control","legacy",11685817,0.238953938778949,0.106795315364167
"SH_24h_ATAC_S165164_REP1","SK_N_SH","24h","legacy",7998589,0.242929096619416,0.143611869158695
"SH_48h_ATAC_S165165_REP1","SK_N_SH","48h","legacy",14489133,0.247872457240885,0.123841071312794
"SH_DMSO_ctrl_rep1_REP1","SK_N_SH","control","new",16591846,0.24592857238429,0.140926121304641
"SH_DMSO_ctrl_rep2_REP1","SK_N_SH","control","new",18072614,0.252694878560456,0.130418894147742
"SH_24h_rep1_REP1","SK_N_SH","24h","new",11981365,0.237428873922128,0.113469408605003
"SH_24h_rep2_REP1","SK_N_SH","24h","new",17077787,0.255027129686065,0.0974747683124977
"SH_48h_rep2_REP1","SK_N_SH","48h","new",11787021,0.251335430725032,0.223547741280161
"SH_48h_rep1_REP1","SK_N_SH","48h","new",13645160,0.242804261730899,0.116359485483798
