"PeakId","col","accessibility","gene","sample","cell_line","time","batch"
"Interval_22355","CM_48h_rep1_REP1",5.09677422738885,"NOTCH2","CM_48h_rep1_REP1","CLBMa","48h","new_1"
"Interval_22355","CM_24h_ATAC_S165170_REP1",5.41743952360585,"NOTCH2","CM_24h_ATAC_S165170_REP1","CLBMa","24h","legacy"
"Interval_22355","CM_DMSO_ctrl_rep1_REP1",5.20417180396463,"NOTCH2","CM_DMSO_ctrl_rep1_REP1","CLBMa","control","new_1"
"Interval_22355","CM_control_ATAC_S165169_REP1",5.53226814848926,"NOTCH2","CM_control_ATAC_S165169_REP1","CLBMa","control","legacy"
"Interval_22355","CM_24h_rep2_REP1",4.88809179474215,"NOTCH2","CM_24h_rep2_REP1","CLBMa","24h","new_2"
"Interval_22355","CM_DMSO_ctrl_rep2_REP1",5.02490911586931,"NOTCH2","CM_DMSO_ctrl_rep2_REP1","CLBMa","control","new_2"
"Interval_22355","CM_48h_ATAC_S165167_REP1",4.775182347367,"NOTCH2","CM_48h_ATAC_S165167_REP1","CLBMa","48h","legacy"
"Interval_22355","SH_24h_ATAC_S165164_REP1",3.96542701036001,"NOTCH2","SH_24h_ATAC_S165164_REP1","SK_N_SH","24h","legacy"
"Interval_22355","CM_24h_rep1_REP1",5.26042480163039,"NOTCH2","CM_24h_rep1_REP1","CLBMa","24h","new_1"
"Interval_22355","SH_48h_rep2_REP1",3.17514914384083,"NOTCH2","SH_48h_rep2_REP1","SK_N_SH","48h","new_2"
"Interval_22355","SH_24h_rep1_REP1",3.97880143653101,"NOTCH2","SH_24h_rep1_REP1","SK_N_SH","24h","new_1"
"Interval_22355","SH_48h_rep1_REP1",4.15910963995541,"NOTCH2","SH_48h_rep1_REP1","SK_N_SH","48h","new_1"
"Interval_22355","CM_48h_rep2_REP1",4.65170890027993,"NOTCH2","CM_48h_rep2_REP1","CLBMa","48h","new_2"
"Interval_22355","SH_DMSO_ctrl_rep1_REP1",3.87962995751088,"NOTCH2","SH_DMSO_ctrl_rep1_REP1","SK_N_SH","control","new_1"
"Interval_22355","SH_24h_rep2_REP1",3.86279565812462,"NOTCH2","SH_24h_rep2_REP1","SK_N_SH","24h","new_2"
"Interval_22355","SH_control_ATAC_S165166_REP1",4.18497350193241,"NOTCH2","SH_control_ATAC_S165166_REP1","SK_N_SH","control","legacy"
"Interval_22355","SH_48h_ATAC_S165165_REP1",4.11895243393294,"NOTCH2","SH_48h_ATAC_S165165_REP1","SK_N_SH","48h","legacy"
"Interval_22355","SH_DMSO_ctrl_rep2_REP1",3.56726856631025,"NOTCH2","SH_DMSO_ctrl_rep2_REP1","SK_N_SH","control","new_2"
