"gene","sample","cell_line","time","batch","mean_access","n_peaks"
"MAML2","CM_24h_ATAC_S165170_REP1","CLBMa","24h","legacy",5.55734432936024,80
"MAML2","CM_24h_rep1_REP1","CLBMa","24h","new_1",5.64262738778959,80
"MAML2","CM_24h_rep2_REP1","CLBMa","24h","new_2",5.7386096579468,80
"MAML2","CM_48h_ATAC_S165167_REP1","CLBMa","48h","legacy",5.66301715560078,80
"MAML2","CM_48h_rep1_REP1","CLBMa","48h","new_1",5.71182769041959,80
"MAML2","CM_48h_rep2_REP1","CLBMa","48h","new_2",5.70664142755542,80
"MAML2","CM_DMSO_ctrl_rep1_REP1","CLBMa","control","new_1",5.718297034462,80
"MAML2","CM_DMSO_ctrl_rep2_REP1","CLBMa","control","new_2",5.69041015515631,80
"MAML2","CM_control_ATAC_S165169_REP1","CLBMa","control","legacy",5.6777502178833,80
"MAML2","SH_24h_ATAC_S165164_REP1","SK_N_SH","24h","legacy",5.82175852740079,80
"MAML2","SH_24h_rep1_REP1","SK_N_SH","24h","new_1",5.99277591950191,80
"MAML2","SH_24h_rep2_REP1","SK_N_SH","24h","new_2",5.81872218952577,80
"MAML2","SH_48h_ATAC_S165165_REP1","SK_N_SH","48h","legacy",5.78097333816328,80
"MAML2","SH_48h_rep1_REP1","SK_N_SH","48h","new_1",5.88534832289597,80
"MAML2","SH_48h_rep2_REP1","SK_N_SH","48h","new_2",5.84191877127127,80
"MAML2","SH_DMSO_ctrl_rep1_REP1","SK_N_SH","control","new_1",6.15975127390306,80
"MAML2","SH_DMSO_ctrl_rep2_REP1","SK_N_SH","control","new_2",5.99261335006908,80
"MAML2","SH_control_ATAC_S165166_REP1","SK_N_SH","control","legacy",5.77305315259714,80
"NOTCH1","CM_24h_ATAC_S165170_REP1","CLBMa","24h","legacy",5.29624900423906,8
"NOTCH1","CM_24h_rep1_REP1","CLBMa","24h","new_1",5.097054074611,8
"NOTCH1","CM_24h_rep2_REP1","CLBMa","24h","new_2",5.2162560272718,8
"NOTCH1","CM_48h_ATAC_S165167_REP1","CLBMa","48h","legacy",5.25571717258204,8
"NOTCH1","CM_48h_rep1_REP1","CLBMa","48h","new_1",5.10689935412883,8
"NOTCH1","CM_48h_rep2_REP1","CLBMa","48h","new_2",5.11034633330499,8
"NOTCH1","CM_DMSO_ctrl_rep1_REP1","CLBMa","control","new_1",5.24594220729341,8
"NOTCH1","CM_DMSO_ctrl_rep2_REP1","CLBMa","control","new_2",5.14221449269371,8
"NOTCH1","CM_control_ATAC_S165169_REP1","CLBMa","control","legacy",5.19005803816335,8
"NOTCH1","SH_24h_ATAC_S165164_REP1","SK_N_SH","24h","legacy",5.0562037660664,8
"NOTCH1","SH_24h_rep1_REP1","SK_N_SH","24h","new_1",5.58577060303781,8
"NOTCH1","SH_24h_rep2_REP1","SK_N_SH","24h","new_2",5.58589937664453,8
"NOTCH1","SH_48h_ATAC_S165165_REP1","SK_N_SH","48h","legacy",5.30688625912424,8
"NOTCH1","SH_48h_rep1_REP1","SK_N_SH","48h","new_1",5.62332360862,8
"NOTCH1","SH_48h_rep2_REP1","SK_N_SH","48h","new_2",5.5384836267965,8
"NOTCH1","SH_DMSO_ctrl_rep1_REP1","SK_N_SH","control","new_1",5.5807671287629,8
"NOTCH1","SH_DMSO_ctrl_rep2_REP1","SK_N_SH","control","new_2",5.42913851841793,8
"NOTCH1","SH_control_ATAC_S165166_REP1","SK_N_SH","control","legacy",5.39269338202197,8
"NOTCH2","CM_24h_ATAC_S165170_REP1","CLBMa","24h","legacy",5.09987381350044,15
"NOTCH2","CM_24h_rep1_REP1","CLBMa","24h","new_1",5.42179769945673,15
"NOTCH2","CM_24h_rep2_REP1","CLBMa","24h","new_2",5.49601853722497,15
"NOTCH2","CM_48h_ATAC_S165167_REP1","CLBMa","48h","legacy",5.17903387712021,15
"NOTCH2","CM_48h_rep1_REP1","CLBMa","48h","new_1",5.28742522521328,15
"NOTCH2","CM_48h_rep2_REP1","CLBMa","48h","new_2",5.42934730045456,15
"NOTCH2","CM_DMSO_ctrl_rep1_REP1","CLBMa","control","new_1",5.30899445753552,15
"NOTCH2","CM_DMSO_ctrl_rep2_REP1","CLBMa","control","new_2",5.45618338525136,15
"NOTCH2","CM_control_ATAC_S165169_REP1","CLBMa","control","legacy",5.30935404026753,15
"NOTCH2","SH_24h_ATAC_S165164_REP1","SK_N_SH","24h","legacy",4.98308478688234,15
"NOTCH2","SH_24h_rep1_REP1","SK_N_SH","24h","new_1",4.90515516936683,15
"NOTCH2","SH_24h_rep2_REP1","SK_N_SH","24h","new_2",4.98581519290664,15
"NOTCH2","SH_48h_ATAC_S165165_REP1","SK_N_SH","48h","legacy",5.01807748726157,15
"NOTCH2","SH_48h_rep1_REP1","SK_N_SH","48h","new_1",5.03057212969562,15
"NOTCH2","SH_48h_rep2_REP1","SK_N_SH","48h","new_2",4.82449576314335,15
"NOTCH2","SH_DMSO_ctrl_rep1_REP1","SK_N_SH","control","new_1",5.16867943962053,15
"NOTCH2","SH_DMSO_ctrl_rep2_REP1","SK_N_SH","control","new_2",5.08512946463332,15
"NOTCH2","SH_control_ATAC_S165166_REP1","SK_N_SH","control","legacy",4.954579656654,15
