"gene","cell_line","contrast","estimate","se","t","df","p_value","p_adj"
"MAML2","CLBMa","control_vs_24h",-0.0492920108016621,0.0379632985714144,-1.2984122206593,4,0.263945468670981,0.833631522873083
"MAML2","CLBMa","control_vs_48h",-0.00165704464194417,0.0379632985714144,-0.0436485949403746,4,0.967276540939737,0.997415618293401
"MAML2","CLBMa","24h_vs_48h",0.0476349661597179,0.0379632985714144,1.25476362571892,4,0.277877174291028,0.833631522873083
"NOTCH1","CLBMa","control_vs_24h",0.010448122657136,0.0606918130049317,0.17215044566698,4,0.871678171316212,0.980637942730739
"NOTCH1","CLBMa","control_vs_48h",-0.0350839593782002,0.0606918130049317,-0.578067413727604,4,0.594201955294222,0.837926995781726
"NOTCH1","CLBMa","24h_vs_48h",-0.0455320820353362,0.0606918130049317,-0.750217859394584,4,0.494841851165995,0.837926995781726
"NOTCH2","CLBMa","control_vs_24h",-0.0189472776240904,0.0701003201813562,-0.270288032566356,4,0.800311265548802,0.980637942730739
"NOTCH2","CLBMa","control_vs_48h",-0.0595751600887843,0.0701003201813562,-0.849855748656464,4,0.443280976455143,0.837926995781726
"NOTCH2","CLBMa","24h_vs_48h",-0.0406278824646939,0.0701003201813562,-0.579567716090107,4,0.593281696869931,0.837926995781726
"MAML2","SK_N_SH","control_vs_24h",-0.0973870467136017,0.0669274807361031,-1.45511299159162,4,0.219333048714385,0.833631522873083
"MAML2","SK_N_SH","control_vs_48h",-0.139059114746254,0.0669274807361031,-2.07775809304055,4,0.106292279384159,0.833631522873083
"MAML2","SK_N_SH","24h_vs_48h",-0.0416720680326521,0.0669274807361031,-0.622645101448929,4,0.567256303482891,0.837926995781726
"NOTCH1","SK_N_SH","control_vs_24h",-0.0582417611513537,0.103947335631025,-0.560300663771609,4,0.605169496953469,0.837926995781726
"NOTCH1","SK_N_SH","control_vs_48h",0.0220314884459792,0.103947335631025,0.211948563301159,4,0.8425089298148,0.980637942730739
"NOTCH1","SK_N_SH","24h_vs_48h",0.0802732495973329,0.103947335631025,0.772249227072767,4,0.483060041137415,0.837926995781726
"NOTCH2","SK_N_SH","control_vs_24h",-0.111444470584016,0.0880062339888711,-1.26632473101973,4,0.274119812808531,0.833631522873083
"NOTCH2","SK_N_SH","control_vs_48h",-0.111747726935771,0.0880062339888711,-1.26977058181926,4,0.273009363937105,0.833631522873083
"NOTCH2","SK_N_SH","24h_vs_48h",-0.000303256351754308,0.0880062339888711,-0.0034458507995315,4,0.997415618293401,0.997415618293401
