"gene","PeakId","Annotation","Distance.to.TSS","log2FoldChange","padj","contrast"
"MAML2","Interval_88786","intron (ENSG00000184384, intron 1 of 4)",-16284,-0.939944373714561,0.000215107880270894,"48h_vs_control"
"MAML2","Interval_88730","intron (ENSG00000184384, intron 1 of 4)",-33858,0.70049976095335,0.0724301561858342,"48h_vs_control"
"MAML2","Interval_88686","intron (ENSG00000184384, intron 2 of 3)",28284,-0.631319323939883,0.103633152376503,"48h_vs_control"
"MAML2","Interval_88769","intron (ENSG00000184384, intron 1 of 4)",-76741,-0.367533728161309,0.109996983827054,"48h_vs_control"
"MAML2","Interval_88739","intron (ENSG00000184384, intron 1 of 4)",-56794,-0.334289813789577,0.13025481301104,"48h_vs_control"
"MAML2","Interval_88713","intron (ENSG00000184384, intron 1 of 3)",-9880,0.470794995693082,0.149532596173773,"48h_vs_control"
"MAML2","Interval_88789","intron (ENSG00000184384, intron 1 of 4)",-3266,0.402591206839376,0.152845606971251,"48h_vs_control"
"MAML2","Interval_88709","intron (ENSG00000184384, intron 1 of 3)",-26620,-0.299502334350241,0.247424673202814,"48h_vs_control"
"NOTCH2","Interval_22381","intron (ENSG00000134250, intron 3 of 3)",14371,-0.287129614139145,0.247625437896689,"48h_vs_control"
"NOTCH2","Interval_22375","promoter-TSS (ENSG00000134250)",81960,-0.253415015259075,0.27950817959874,"48h_vs_control"
"MAML2","Interval_88751","intron (ENSG00000184384, intron 1 of 4)",-106672,-0.242540371368768,0.308071467459016,"48h_vs_control"
"MAML2","Interval_88748","intron (ENSG00000184384, intron 1 of 4)",-94920,-0.231715414104853,0.311954008470018,"48h_vs_control"
"MAML2","Interval_88722","intron (ENSG00000184384, intron 1 of 4)",-9467,-0.230609663928941,0.329525560656145,"48h_vs_control"
"MAML2","Interval_88782","intron (ENSG00000184384, intron 1 of 4)",-26875,-0.203178455340202,0.353395014595342,"48h_vs_control"
"MAML2","Interval_88785","intron (ENSG00000184384, intron 1 of 4)",-20632,0.122121779001127,0.364406223429993,"48h_vs_control"
"MAML2","Interval_88694","intron (ENSG00000184384, intron 1 of 3)",50995,-0.110907515689844,0.384807977701539,"48h_vs_control"
"MAML2","Interval_88696","intron (ENSG00000184384, intron 1 of 3)",54764,-0.141732312809376,0.44183375007521,"48h_vs_control"
"MAML2","Interval_88741","intron (ENSG00000184384, intron 1 of 4)",-62988,-0.171261342147624,0.442423113344758,"48h_vs_control"
"MAML2","Interval_88761","intron (ENSG00000184384, intron 1 of 4)",-112462,-0.12808301827654,0.570754035306561,"48h_vs_control"
"MAML2","Interval_88740","intron (ENSG00000184384, intron 1 of 4)",-61378,-0.119726072877471,0.600883365336964,"48h_vs_control"
"MAML2","Interval_88771","intron (ENSG00000184384, intron 1 of 4)",-68433,0.0745655010860432,0.606003244689008,"48h_vs_control"
"MAML2","Interval_88754","intron (ENSG00000184384, intron 1 of 4)",-114266,0.12014770835713,0.609651496497472,"48h_vs_control"
"MAML2","Interval_88705","intron (ENSG00000184384, intron 1 of 3)",-41735,0.109795849436009,0.639363661549263,"48h_vs_control"
"NOTCH1","Interval_491605","promoter-TSS (ENSG00000148400)",6475,-0.0848126368937098,0.641738326858934,"48h_vs_control"
"NOTCH2","Interval_22369","intron (ENSG00000134250, intron 7 of 11)",-68640,0.0786187936253172,0.666579211016052,"48h_vs_control"
"MAML2","Interval_88763","intron (ENSG00000184384, intron 1 of 4)",-104426,0.0613994305230874,0.716674668199069,"48h_vs_control"
"MAML2","Interval_88707","intron (ENSG00000184384, intron 1 of 3)",-36816,-0.0905956364571252,0.718305389282447,"48h_vs_control"
"MAML2","Interval_88712","intron (ENSG00000184384, intron 1 of 3)",-11605,-0.0506441297631649,0.73329283099265,"48h_vs_control"
"MAML2","Interval_88755","intron (ENSG00000184384, intron 1 of 4)",-119091,-0.0674237189181704,0.734789136219487,"48h_vs_control"
"NOTCH2","Interval_22355","exon (ENSG00000134250, exon 34 of 34)",-17639,-0.0532332326270893,0.740175407663472,"48h_vs_control"
"MAML2","Interval_88780","intron (ENSG00000184384, intron 1 of 4)",-34035,0.0817230089894438,0.752571648848633,"48h_vs_control"
"MAML2","Interval_88684","TTS (ENSG00000184384)",14590,-0.0316920779017129,0.755347438813477,"48h_vs_control"
"NOTCH2","Interval_22380","intron (ENSG00000134250, intron 3 of 3)",11587,-0.0367506136610844,0.758890154212766,"48h_vs_control"
"MAML2","Interval_88743","intron (ENSG00000184384, intron 1 of 4)",-68222,-0.0585180262737158,0.774020781407568,"48h_vs_control"
"MAML2","Interval_88726","intron (ENSG00000184384, intron 1 of 4)",-19560,0.0753343298298605,0.77431230479615,"48h_vs_control"
"MAML2","Interval_88721","intron (ENSG00000184384, intron 1 of 4)",-5147,-0.0755521724374675,0.779129528437193,"48h_vs_control"
"MAML2","Interval_88737","intron (ENSG00000184384, intron 1 of 4)",-51354,-0.0668903554954854,0.791222697489339,"48h_vs_control"
"MAML2","Interval_88724","intron (ENSG00000184384, intron 1 of 4)",-11994,-0.0525554125394602,0.820031663303477,"48h_vs_control"
"MAML2","Interval_88781","intron (ENSG00000184384, intron 1 of 4)",-30064,-0.0615913671573054,0.820476101376471,"48h_vs_control"
"MAML2","Interval_88744","intron (ENSG00000184384, intron 1 of 4)",-69623,-0.0634548563119065,0.829292113777439,"48h_vs_control"
"MAML2","Interval_88768","intron (ENSG00000184384, intron 1 of 4)",-82005,-0.0564483580489224,0.843876293763994,"48h_vs_control"
"MAML2","Interval_88760","intron (ENSG00000184384, intron 1 of 4)",-119611,-0.043499773603473,0.848343593740227,"48h_vs_control"
"MAML2","Interval_88727","intron (ENSG00000184384, intron 1 of 4)",-21236,-0.0403249612953006,0.850119506505134,"48h_vs_control"
