gene,sample,norm_count,cell_line,time
ANKRD1,CM_DMSO_ctrl_rep1_1,16639.875438119023,CLBMa,DMSO
ANKRD1,CM_DMSO_ctrl_rep2_1,14424.658239314806,CLBMa,DMSO
ANKRD1,CM_DMSO_ctrl_rep3,16008.228547951057,CLBMa,DMSO
ANKRD1,CM_control_batch1,22937.17317684207,CLBMa,DMSO
ANKRD1,CM_24h_batch1,6399.019174023695,CLBMa,h24
ANKRD1,CM_24h_rep1_1,2874.803235085078,CLBMa,h24
ANKRD1,CM_24h_rep2_1,2372.1495305371213,CLBMa,h24
ANKRD1,CM_24h_rep3,2924.2847144874745,CLBMa,h24
ANKRD1,CM_48h_batch1,5463.148659098472,CLBMa,h48
ANKRD1,CM_48h_rep1_1,1826.4660237035953,CLBMa,h48
ANKRD1,CM_48h_rep3,2238.303035999332,CLBMa,h48
ANKRD1,SH_DMSO_ctrl_rep1_1,10975.234065231345,SK_N_SH,DMSO
ANKRD1,SH_DMSO_ctrl_rep2_1,10358.56276090468,SK_N_SH,DMSO
ANKRD1,SH_control_batch1,7361.9015404719885,SK_N_SH,DMSO
ANKRD1,SH_24h_batch1,758.2998480930999,SK_N_SH,h24
ANKRD1,SH_24h_rep1_1,492.64217587848185,SK_N_SH,h24
ANKRD1,SH_24h_rep2_1,442.0368692526775,SK_N_SH,h24
ANKRD1,SH_48h_batch1,511.5111171489186,SK_N_SH,h48
ANKRD1,SH_48h_rep1_1,64.54964470316676,SK_N_SH,h48
ANKRD1,SH_48h_rep2_1,76.73158433630357,SK_N_SH,h48
CCN2,CM_DMSO_ctrl_rep1_1,3481.6132503214767,CLBMa,DMSO
CCN2,CM_DMSO_ctrl_rep2_1,3449.617400651061,CLBMa,DMSO
CCN2,CM_DMSO_ctrl_rep3,3311.3487456824687,CLBMa,DMSO
CCN2,CM_control_batch1,5610.770503105361,CLBMa,DMSO
CCN2,CM_24h_batch1,1050.1075231516634,CLBMa,h24
CCN2,CM_24h_rep1_1,591.128257477951,CLBMa,h24
CCN2,CM_24h_rep2_1,571.3030282968983,CLBMa,h24
CCN2,CM_24h_rep3,613.7051680939279,CLBMa,h24
CCN2,CM_48h_batch1,984.2299215529822,CLBMa,h48
CCN2,CM_48h_rep1_1,503.2511086619017,CLBMa,h48
CCN2,CM_48h_rep3,642.262211360633,CLBMa,h48
CCN2,SH_DMSO_ctrl_rep1_1,516.8184080689664,SK_N_SH,DMSO
CCN2,SH_DMSO_ctrl_rep2_1,541.951309550369,SK_N_SH,DMSO
CCN2,SH_control_batch1,705.39575677572725,SK_N_SH,DMSO
CCN2,SH_24h_batch1,72.12864637681551,SK_N_SH,h24
CCN2,SH_24h_rep1_1,16.252113018671565,SK_N_SH,h24
CCN2,SH_24h_rep2_1,13.77452000504094,SK_N_SH,h24
CCN2,SH_48h_batch1,52.64094992017997,SK_N_SH,h48
CCN2,SH_48h_rep1_1,5.613012582884067,SK_N_SH,h48
CCN2,SH_48h_rep2_1,10.531786085375,SK_N_SH,h48
FOSL1,CM_DMSO_ctrl_rep1_1,4607.547810631862,CLBMa,DMSO
FOSL1,CM_DMSO_ctrl_rep2_1,4212.203562189667,CLBMa,DMSO
FOSL1,CM_DMSO_ctrl_rep3,5221.802186720918,CLBMa,DMSO
