sample,gene,expr,cell_line,time,series
CM_DMSO_ctrl_rep1_1,YAP1,12.726919598203146,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,YAP1,12.34840901925914,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,YAP1,12.529998151092917,CLBMa,DMSO,CM_rep3
CM_control_batch1,YAP1,12.48643412885294,CLBMa,DMSO,CM_batch1
CM_24h_batch1,YAP1,12.587267957363437,CLBMa,24h,CM_batch1
CM_24h_rep1_1,YAP1,12.89480024737307,CLBMa,24h,CM_rep1
CM_24h_rep2_1,YAP1,12.496435631713325,CLBMa,24h,CM_rep2
CM_24h_rep3,YAP1,12.63503774258654,CLBMa,24h,CM_rep3
CM_48h_batch1,YAP1,12.451338039660271,CLBMa,48h,CM_batch1
CM_48h_rep1_1,YAP1,12.667632358239596,CLBMa,48h,CM_rep1
CM_48h_rep3,YAP1,12.495902038743848,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,YAP1,10.870893257886994,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,YAP1,10.626550511684318,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,YAP1,11.040857353538202,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,YAP1,11.115303216190465,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,YAP1,10.951645000075949,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,YAP1,10.764060384863136,SK_N_SH,24h,SH_rep2
SH_48h_batch1,YAP1,11.18246817025348,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,YAP1,10.751778404080042,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,YAP1,10.588498341201843,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,WWTR1,10.320218455334684,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,WWTR1,10.322958729574765,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,WWTR1,10.56311886101121,CLBMa,DMSO,CM_rep3
CM_control_batch1,WWTR1,10.36780254573574,CLBMa,DMSO,CM_batch1
CM_24h_batch1,WWTR1,10.605287528685388,CLBMa,24h,CM_batch1
CM_24h_rep1_1,WWTR1,10.329305482255856,CLBMa,24h,CM_rep1
CM_24h_rep2_1,WWTR1,10.525025319821841,CLBMa,24h,CM_rep2
CM_24h_rep3,WWTR1,10.520891575772156,CLBMa,24h,CM_rep3
CM_48h_batch1,WWTR1,10.555199570326009,CLBMa,48h,CM_batch1
CM_48h_rep1_1,WWTR1,10.818317018446178,CLBMa,48h,CM_rep1
CM_48h_rep3,WWTR1,10.696428596196359,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,WWTR1,11.00883085132417,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,WWTR1,10.855759980217567,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,WWTR1,10.74419830473345,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,WWTR1,10.733774678448428,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,WWTR1,10.666597574844019,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,WWTR1,10.50655273323854,SK_N_SH,24h,SH_rep2
SH_48h_batch1,WWTR1,10.452630538717486,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,WWTR1,10.3156237844416,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,WWTR1,10.621121759696242,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,JUN,12.052123661956665,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,JUN,11.744062305149884,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,JUN,12.208362286746404,CLBMa,DMSO,CM_rep3
CM_control_batch1,JUN,11.775225377644528,CLBMa,DMSO,CM_batch1
CM_24h_batch1,JUN,11.529612500499963,CLBMa,24h,CM_batch1
CM_24h_rep1_1,JUN,11.496639593557848,CLBMa,24h,CM_rep1
CM_24h_rep2_1,JUN,11.370022042349067,CLBMa,24h,CM_rep2
CM_24h_rep3,JUN,11.756038569726794,CLBMa,24h,CM_rep3
CM_48h_batch1,JUN,11.435274827828986,CLBMa,48h,CM_batch1
CM_48h_rep1_1,JUN,11.430848184575218,CLBMa,48h,CM_rep1
CM_48h_rep3,JUN,11.750784736002018,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,JUN,11.685333460643209,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,JUN,11.572077921128832,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,JUN,12.209556470634755,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,JUN,11.56029471894585,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,JUN,11.551893692180293,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,JUN,11.3847861957105,SK_N_SH,24h,SH_rep2
SH_48h_batch1,JUN,11.505710258281606,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,JUN,11.798835560922447,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,JUN,11.568098148300743,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,FOSL1,12.362047177449565,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,FOSL1,11.802054752941213,CLBMa,DMSO,CM_rep2
CM_DMSO_ctrl_rep3,FOSL1,12.099294123619291,CLBMa,DMSO,CM_rep3
CM_control_batch1,FOSL1,11.23169880298361,CLBMa,DMSO,CM_batch1
CM_24h_batch1,FOSL1,10.786564084591541,CLBMa,24h,CM_batch1
CM_24h_rep1_1,FOSL1,11.68473247712892,CLBMa,24h,CM_rep1
CM_24h_rep2_1,FOSL1,11.025058967935276,CLBMa,24h,CM_rep2
CM_24h_rep3,FOSL1,11.440619383558682,CLBMa,24h,CM_rep3
CM_48h_batch1,FOSL1,10.580075846063288,CLBMa,48h,CM_batch1
CM_48h_rep1_1,FOSL1,11.6825729482823,CLBMa,48h,CM_rep1
CM_48h_rep3,FOSL1,11.465125137192654,CLBMa,48h,CM_rep3
SH_DMSO_ctrl_rep1_1,FOSL1,9.95592199529609,SK_N_SH,DMSO,SH_rep1
SH_DMSO_ctrl_rep2_1,FOSL1,9.710130800895113,SK_N_SH,DMSO,SH_rep2
SH_control_batch1,FOSL1,10.89443990644433,SK_N_SH,DMSO,SH_batch1
SH_24h_batch1,FOSL1,9.856835586003111,SK_N_SH,24h,SH_batch1
SH_24h_rep1_1,FOSL1,8.762465318935073,SK_N_SH,24h,SH_rep1
SH_24h_rep2_1,FOSL1,8.094200468782642,SK_N_SH,24h,SH_rep2
SH_48h_batch1,FOSL1,9.474386636907507,SK_N_SH,48h,SH_batch1
SH_48h_rep1_1,FOSL1,8.376260945901437,SK_N_SH,48h,SH_rep1
SH_48h_rep2_1,FOSL1,8.128850849066312,SK_N_SH,48h,SH_rep2
CM_DMSO_ctrl_rep1_1,FOSL2,11.982672998770104,CLBMa,DMSO,CM_rep1
CM_DMSO_ctrl_rep2_1,FOSL2,11.838260643399282,CLBMa,DMSO,CM_rep2
