cell_line,gene,group1,group2,padj
CLBMa,YAP1,DMSO,24h,0.6851718964582033
CLBMa,WWTR1,DMSO,24h,0.7180871061088568
CLBMa,JUN,DMSO,24h,0.09999643708280496
CLBMa,FOSL1,DMSO,24h,0.5905113330582377
CLBMa,FOSL2,DMSO,24h,7.516739090887686e-5
CLBMa,CCN2,DMSO,24h,4.624955658814507e-14
CLBMa,ANKRD1,DMSO,24h,1.998240745983967e-8
CLBMa,NOTCH1,DMSO,24h,0.8118648031950856
CLBMa,NOTCH2,DMSO,24h,0.7930837846555233
CLBMa,MAML2,DMSO,24h,0.5241953289827882
CLBMa,YAP1,DMSO,48h,0.9647987597497046
CLBMa,WWTR1,DMSO,48h,0.06362984902666245
CLBMa,JUN,DMSO,48h,0.11747942326517563
CLBMa,FOSL1,DMSO,48h,0.5643349376455243
CLBMa,FOSL2,DMSO,48h,6.278442564100217e-6
CLBMa,CCN2,DMSO,48h,6.999481869898703e-13
CLBMa,ANKRD1,DMSO,48h,1.4815800854851338e-9
CLBMa,NOTCH1,DMSO,48h,0.8045330158828583
CLBMa,NOTCH2,DMSO,48h,0.3521010266033299
CLBMa,MAML2,DMSO,48h,0.18047441465421837
CLBMa,YAP1,24h,48h,1
CLBMa,WWTR1,24h,48h,1
CLBMa,JUN,24h,48h,1
CLBMa,FOSL1,24h,48h,1
CLBMa,FOSL2,24h,48h,1
CLBMa,CCN2,24h,48h,1
CLBMa,ANKRD1,24h,48h,1
CLBMa,NOTCH1,24h,48h,1
CLBMa,NOTCH2,24h,48h,1
CLBMa,MAML2,24h,48h,1
SK_N_SH,YAP1,DMSO,24h,0.7305332876855507
SK_N_SH,WWTR1,DMSO,24h,0.20591280572113665
SK_N_SH,JUN,DMSO,24h,0.20583929161336306
SK_N_SH,FOSL1,DMSO,24h,0.06270207374318815
SK_N_SH,FOSL2,DMSO,24h,5.070098454334084e-7
SK_N_SH,CCN2,DMSO,24h,1.430844193405519e-27
SK_N_SH,ANKRD1,DMSO,24h,3.3187342169683895e-21
SK_N_SH,NOTCH1,DMSO,24h,0.5543943130425641
SK_N_SH,NOTCH2,DMSO,24h,0.5316540832007471
SK_N_SH,MAML2,DMSO,24h,0.528328138916094
SK_N_SH,YAP1,DMSO,48h,0.9856763087066545
SK_N_SH,WWTR1,DMSO,48h,0.0040128452273265796
SK_N_SH,JUN,DMSO,48h,0.4048148628994894
SK_N_SH,FOSL1,DMSO,48h,0.006107830836680668
SK_N_SH,FOSL2,DMSO,48h,3.517689793639837e-9
SK_N_SH,CCN2,DMSO,48h,7.962711379212114e-32
SK_N_SH,ANKRD1,DMSO,48h,3.2395267377828913e-42
SK_N_SH,NOTCH1,DMSO,48h,0.1810435567964281
SK_N_SH,NOTCH2,DMSO,48h,0.19138078746303813
SK_N_SH,MAML2,DMSO,48h,0.002574795279656432
SK_N_SH,YAP1,24h,48h,1
SK_N_SH,WWTR1,24h,48h,0.879555539692859
SK_N_SH,JUN,24h,48h,1
SK_N_SH,FOSL1,24h,48h,1
SK_N_SH,FOSL2,24h,48h,1
SK_N_SH,CCN2,24h,48h,0.9704597205448546
SK_N_SH,ANKRD1,24h,48h,0.009587354920813312
SK_N_SH,NOTCH1,24h,48h,1
SK_N_SH,NOTCH2,24h,48h,1
SK_N_SH,MAML2,24h,48h,0.41097249822192666
