cell_line,gene,group1,group2,n_pairs,p
CLBMa,YAP1,DMSO,24h,4,0.0041549644751780485
CLBMa,YAP1,DMSO,48h,3,0.03504609700485674
CLBMa,YAP1,24h,48h,3,0.030435086990059704
CLBMa,WWTR1,DMSO,24h,4,0.23942247969422753
CLBMa,WWTR1,DMSO,48h,3,0.13832587439176178
CLBMa,WWTR1,24h,48h,3,0.3203480715268866
CLBMa,JUN,DMSO,24h,4,0.008351408613777716
CLBMa,JUN,DMSO,48h,3,0.0284856911472899
CLBMa,JUN,24h,48h,3,0.17066777786717754
CLBMa,FOSL1,DMSO,24h,4,0.002749863670132416
CLBMa,FOSL1,DMSO,48h,3,4.0533078917820816e-4
CLBMa,FOSL1,24h,48h,3,0.48874635068561034
CLBMa,FOSL2,DMSO,24h,4,4.2924568223544004e-4
CLBMa,FOSL2,DMSO,48h,3,0.0069790362729765755
CLBMa,FOSL2,24h,48h,3,0.0308362683024622
CLBMa,CCN2,DMSO,24h,4,5.286257930394634e-6
CLBMa,CCN2,DMSO,48h,3,0.0019141740448238179
CLBMa,CCN2,24h,48h,3,0.4102244559509577
CLBMa,ANKRD1,DMSO,24h,4,7.596416153781289e-4
CLBMa,ANKRD1,DMSO,48h,3,0.013224723100604996
CLBMa,ANKRD1,24h,48h,3,0.07188112363957375
CLBMa,NOTCH1,DMSO,24h,4,0.0404192241859769
CLBMa,NOTCH1,DMSO,48h,3,0.34275619176274974
CLBMa,NOTCH1,24h,48h,3,0.8345471018242191
CLBMa,NOTCH2,DMSO,24h,4,0.04840366203458821
CLBMa,NOTCH2,DMSO,48h,3,0.03245714926119883
CLBMa,NOTCH2,24h,48h,3,0.16010040598915143
CLBMa,MAML2,DMSO,24h,4,0.016494590291473793
CLBMa,MAML2,DMSO,48h,3,0.0031721017587192407
CLBMa,MAML2,24h,48h,3,0.05441290732636763
SK_N_SH,YAP1,DMSO,24h,3,0.0397405355159355
SK_N_SH,YAP1,DMSO,48h,3,0.9524587937944136
SK_N_SH,YAP1,24h,48h,3,0.3513320241820822
SK_N_SH,WWTR1,DMSO,24h,3,0.1714249614223822
SK_N_SH,WWTR1,DMSO,48h,3,0.10631737592452205
SK_N_SH,WWTR1,24h,48h,3,0.35610117719032586
SK_N_SH,JUN,DMSO,24h,3,0.18693696796982534
SK_N_SH,JUN,DMSO,48h,3,0.5187138851034682
SK_N_SH,JUN,24h,48h,3,0.30561148884974665
SK_N_SH,FOSL1,DMSO,24h,3,0.01767095603917417
SK_N_SH,FOSL1,DMSO,48h,3,0.0012241022745404743
SK_N_SH,FOSL1,24h,48h,3,0.22189942040724508
SK_N_SH,FOSL2,DMSO,24h,3,0.009583416865773292
SK_N_SH,FOSL2,DMSO,48h,3,0.012697769981665242
SK_N_SH,FOSL2,24h,48h,3,0.06209976222608627
SK_N_SH,CCN2,DMSO,24h,3,0.0024218284781210536
SK_N_SH,CCN2,DMSO,48h,3,0.0018660059507303
SK_N_SH,CCN2,24h,48h,3,0.08710020090102776
SK_N_SH,ANKRD1,DMSO,24h,3,0.009025917155516075
SK_N_SH,ANKRD1,DMSO,48h,3,0.02090244720422873
SK_N_SH,ANKRD1,24h,48h,3,0.08590609401868136
SK_N_SH,NOTCH1,DMSO,24h,3,0.21863158172859004
SK_N_SH,NOTCH1,DMSO,48h,3,0.04598195652939364
SK_N_SH,NOTCH1,24h,48h,3,0.14600373603252928
SK_N_SH,NOTCH2,DMSO,24h,3,0.006873737796071762
SK_N_SH,NOTCH2,DMSO,48h,3,0.030352789687440727
SK_N_SH,NOTCH2,24h,48h,3,0.25756065210294526
SK_N_SH,MAML2,DMSO,24h,3,0.10575046291338445
SK_N_SH,MAML2,DMSO,48h,3,0.11131353413242025
SK_N_SH,MAML2,24h,48h,3,0.11423400970425122
