"sample","cell_line","timepoint","replicate","total_coverage","size_factor"
"CM_24h_ATAC_S165170_REP1","CLB_Ma","24h","REP1",8877255.54391626,0.910820970922712
"CM_24h_ATAC_S165170_REP2","CLB_Ma","24h","REP2",8745765.15459782,0.897329841431898
"CM_48h_ATAC_S165167_REP1","CLB_Ma","48h","REP1",7833015.44120258,0.803680224604789
"CM_48h_ATAC_S165167_REP2","CLB_Ma","48h","REP2",7730199.79767931,0.79313117103788
"CM_control_ATAC_S165169_REP1","CLB_Ma","control","REP1",7398584.41992737,0.759106889677194
"CM_control_ATAC_S165169_REP2","CLB_Ma","control","REP2",7321946.87078366,0.751243751506293
"SH_24h_ATAC_S165164_REP1","SK_N_SH","24h","REP1",11090649.2489572,1.13791879338443
"SH_24h_ATAC_S165164_REP2","SK_N_SH","24h","REP2",10964471.1657327,1.1249727152071
"SH_48h_ATAC_S165165_REP1","SK_N_SH","48h","REP1",10742622.4262701,1.1022106708708
"SH_48h_ATAC_S165165_REP2","SK_N_SH","48h","REP2",10615610.4029956,1.08917902907729
"SH_control_ATAC_S165166_REP1","SK_N_SH","control","REP1",11236218.2698465,1.15285441355293
"SH_control_ATAC_S165166_REP2","SK_N_SH","control","REP2",11150959.0258146,1.14410667535332
