"sample","library_size","cell_line","timepoint","replicate"
"CM_24h_ATAC_S165170_REP1",88.9074045821124,"CLB_Ma","24h","REP1"
"CM_24h_ATAC_S165170_REP2",89.4825228890134,"CLB_Ma","24h","REP2"
"CM_48h_ATAC_S165167_REP1",65.713527453308,"CLB_Ma","48h","REP1"
"CM_48h_ATAC_S165167_REP2",64.5343339372017,"CLB_Ma","48h","REP2"
"CM_control_ATAC_S165169_REP1",78.9972731484362,"CLB_Ma","control","REP1"
"CM_control_ATAC_S165169_REP2",78.7567313360871,"CLB_Ma","control","REP2"
"SH_24h_ATAC_S165164_REP1",68.6486185216855,"SK_N_SH","24h","REP1"
"SH_24h_ATAC_S165164_REP2",68.258349686654,"SK_N_SH","24h","REP2"
"SH_48h_ATAC_S165165_REP1",67.5232860671046,"SK_N_SH","48h","REP1"
"SH_48h_ATAC_S165165_REP2",68.1750705467262,"SK_N_SH","48h","REP2"
"SH_control_ATAC_S165166_REP1",72.743047973207,"SK_N_SH","control","REP1"
"SH_control_ATAC_S165166_REP2",71.5288993978008,"SK_N_SH","control","REP2"
