"se_id","chr","start","end","cell_line","log2fc_24h","log2fc_48h","max_abs_change","primary_effect","peak_id","annotation","gene_name","distance_to_tss","gene_description"
"SE_130",10,90913547,90937551,"CLB_Ma",-0.665164593596931,-1.11894388245329,1.11894388245329,"48h",NA,NA,NA,NA,NA
"SE_27",2,62710647,62744101,"CLB_Ma",1.06818657494672,-0.803306208613712,1.06818657494672,"24h",NA,NA,NA,NA,NA
"SE_113",9,35510497,35534101,"CLB_Ma",-0.604776462569415,-0.998956224608843,0.998956224608843,"48h",NA,NA,NA,NA,NA
"SE_65",4,48345947,48381151,"SK_N_SH",0.993026910481794,0.347959273078944,0.993026910481794,"24h",NA,NA,NA,NA,NA
"SE_150",12,67651729,67681601,"SK_N_SH",-0.855841283196422,-0.419675191671355,0.855841283196422,"24h",NA,NA,NA,NA,NA
"SE_65",4,48345947,48381151,"CLB_Ma",-0.772147790322481,0.0228034835410122,0.772147790322481,"24h",NA,NA,NA,NA,NA
"SE_57",3,160394897,160434051,"SK_N_SH",0.770349714891276,0.135812175789627,0.770349714891276,"24h",NA,NA,NA,NA,NA
"SE_181",20,35304047,35339601,"SK_N_SH",-0.76255684082977,-0.28020708776969,0.76255684082977,"24h",NA,NA,NA,NA,NA
"SE_40",3,8442247,8465001,"CLB_Ma",-0.40202695544255,-0.746581230685418,0.746581230685418,"48h",NA,NA,NA,NA,NA
"SE_125",10,52516047,52542901,"CLB_Ma",0.737240987383675,-0.116697028795045,0.737240987383675,"24h",NA,NA,NA,NA,NA
"SE_119",9,129480397,129503501,"SK_N_SH",-0.695822298491357,-0.173101312698473,0.695822298491357,"24h",NA,NA,NA,NA,NA
"SE_52",3,128758647,128806351,"CLB_Ma",0.695225834165786,0.0335043639968558,0.695225834165786,"24h",NA,NA,NA,NA,NA
"SE_117",9,112031947,112082301,"CLB_Ma",-0.0935408692092066,-0.692749731771752,0.692749731771752,"48h",NA,NA,NA,NA,NA
"SE_20",1,218449847,218501301,"CLB_Ma",-0.206890369228338,-0.669086722543364,0.669086722543364,"48h",NA,NA,NA,NA,NA
"SE_112",9,33820797,33878851,"SK_N_SH",-0.512504006691619,-0.665415323667386,0.665415323667386,"48h",NA,NA,NA,NA,NA
"SE_5",1,51619871,51673751,"CLB_Ma",0.131089330095509,-0.664837031466255,0.664837031466255,"48h",NA,NA,NA,NA,NA
"SE_53",3,134308647,134335151,"SK_N_SH",-0.557517066791247,-0.656677678319494,0.656677678319494,"48h",NA,NA,NA,NA,NA
"SE_141",11,86717847,86763301,"CLB_Ma",-0.296477539772316,-0.626505722327339,0.626505722327339,"48h",NA,NA,NA,NA,NA
"SE_181",20,35304047,35339601,"CLB_Ma",0.0991865650430939,-0.624725569627749,0.624725569627749,"48h",NA,NA,NA,NA,NA
"SE_91",6,37126147,37146201,"SK_N_SH",-0.620147571542913,-0.260309251378634,0.620147571542913,"24h",NA,NA,NA,NA,NA
"SE_33",2,177215997,177261130,"CLB_Ma",0.134365744685818,-0.617104934067395,0.617104934067395,"48h",NA,NA,NA,NA,NA
"SE_106",8,117927647,117958551,"SK_N_SH",0.612989486231691,0.129466809417133,0.612989486231691,"24h",NA,NA,NA,NA,NA
"SE_112",9,33820797,33878851,"CLB_Ma",0.610878264624308,0.286747007002987,0.610878264624308,"24h",NA,NA,NA,NA,NA
"SE_126",10,62224097,62264501,"CLB_Ma",0.169244783959937,-0.608313462577616,0.608313462577616,"48h",NA,NA,NA,NA,NA
"SE_147",12,12816343,12845951,"SK_N_SH",-0.337529558099907,-0.60299024700174,0.60299024700174,"48h",NA,NA,NA,NA,NA
"SE_138",11,65471697,65503201,"SK_N_SH",-0.602688590652014,-0.0596152254421952,0.602688590652014,"24h",NA,NA,NA,NA,NA
"SE_150",12,67651729,67681601,"CLB_Ma",0.60116861339186,-0.186561746578794,0.60116861339186,"24h",NA,NA,NA,NA,NA
"SE_15",1,183026457,183071551,"SK_N_SH",0.0365111905109066,-0.600114246914363,0.600114246914363,"48h",NA,NA,NA,NA,NA
"SE_188",22,36307297,36398351,"SK_N_SH",-0.600108014630623,-0.339434921679361,0.600108014630623,"24h",NA,NA,NA,NA,NA
"SE_186",22,24283397,24334101,"CLB_Ma",0.592968735043167,-0.0355414684206284,0.592968735043167,"24h",NA,NA,NA,NA,NA
"SE_101",7,130880747,130926401,"SK_N_SH",-0.590835562169305,-0.233320800603107,0.590835562169305,"24h",NA,NA,NA,NA,NA
"SE_53",3,134308647,134335151,"CLB_Ma",-0.187267411842292,-0.589714775360033,0.589714775360033,"48h",NA,NA,NA,NA,NA
"SE_37",2,207219797,207260201,"CLB_Ma",0.589449636235157,-0.154080957880205,0.589449636235157,"24h",NA,NA,NA,NA,NA
"SE_13",1,163033097,163057701,"CLB_Ma",0.578236460638622,0.065489451373394,0.578236460638622,"24h",NA,NA,NA,NA,NA
"SE_152",12,121923247,121950951,"CLB_Ma",0.0182429073806796,-0.578022859418179,0.578022859418179,"48h",NA,NA,NA,NA,NA
"SE_130",10,90913547,90937551,"SK_N_SH",-0.501808474841975,-0.569070387975702,0.569070387975702,"48h",NA,NA,NA,NA,NA
"SE_46",3,98954747,98983151,"CLB_Ma",0.564205374482487,0.161752865404218,0.564205374482487,"24h",NA,NA,NA,NA,NA
"SE_166",15,67068854,67159051,"SK_N_SH",-0.56413612860886,-0.387536455985849,0.56413612860886,"24h",NA,NA,NA,NA,NA
"SE_109",9,12778010,12823051,"SK_N_SH",0.20569435463477,0.562151443832903,0.562151443832903,"48h",NA,NA,NA,NA,NA
"SE_178",19,13839657,13866051,"CLB_Ma",0.344877963409568,-0.558542055939935,0.558542055939935,"48h",NA,NA,NA,NA,NA
"SE_71",4,79996597,80039451,"CLB_Ma",0.558508284411597,-0.00238675082149139,0.558508284411597,"24h",NA,NA,NA,NA,NA
"SE_100",7,130355747,130375151,"SK_N_SH",-0.404569909625633,-0.555771731660175,0.555771731660175,"48h",NA,NA,NA,NA,NA
"SE_92",6,44655047,44669401,"SK_N_SH",-0.500487112576869,-0.55495053923187,0.55495053923187,"48h",NA,NA,NA,NA,NA
"SE_129",10,77494247,77535201,"SK_N_SH",-0.554168185673819,-0.277199073125888,0.554168185673819,"24h",NA,NA,NA,NA,NA
"SE_177",17,59745197,59860001,"CLB_Ma",0.548070275743931,-0.199609212609174,0.548070275743931,"24h",NA,NA,NA,NA,NA
"SE_105",8,66505747,66560201,"CLB_Ma",-0.233954257815399,-0.544791583016698,0.544791583016698,"48h",NA,NA,NA,NA,NA
"SE_111",9,33305747,33338851,"CLB_Ma",-0.241765139185545,-0.540123304244673,0.540123304244673,"48h",NA,NA,NA,NA,NA
"SE_88",5,169586631,169604651,"CLB_Ma",0.0292167451837885,-0.535470231351325,0.535470231351325,"48h",NA,NA,NA,NA,NA
"SE_70",4,76952711,77066251,"CLB_Ma",0.534575178066967,-0.274572886122123,0.534575178066967,"24h",NA,NA,NA,NA,NA
"SE_79",5,9426847,9485051,"CLB_Ma",0.533010962957378,0.191728632120463,0.533010962957378,"24h",NA,NA,NA,NA,NA
