"","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.peaks1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.seqnames","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.start","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.end","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.width","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.strand","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.PeakId","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Gene.Name","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Gene.Type","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Annotation","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Detailed.Annotation","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Distance.to.TSS","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Nearest.PromoterID","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Entrez.ID","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Nearest.Unigene","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.baseMean","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.MeanExpr_control","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.MeanExpr_48h","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.log2FoldChange","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.lfcSE","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.FoldChange","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.pvalue","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.padj","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_DMSO_ctrl_rep1_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_control_ATAC_S165169_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_DMSO_ctrl_rep2_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_DMSO_ctrl_rep1_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_control_ATAC_S165166_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_DMSO_ctrl_rep2_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.48h.CM_48h_rep1_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.mcols.48h.CM_48h_ATAC_S165167_REP1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.peaks2","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.seqnames.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.start.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.end.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.width.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.strand.1","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.overlapFeature","ATAC_dds_results_48h_grange...CLB_SKN_M_SEs_annot_grange.shortestDistance"
"X003_027","003","chr7",28041218,28042116,899,"*","Interval_416713","RNU6-979P","snRNA","intron (ENSG00000153814, intron 1 of 3)","protein_coding-intron (ENSG00000153814, intron 1 of 4)",76552,"ENSG00000206623","ENSG00000206623","ENST00000383896",153.43319830028,227.912832493043,108.571543789777,-1.08093757638173,0.170269236223237,-2.11541039408254,1.04809147949617e-11,3.55258991707063e-07,293.126957697929,167.644301778183,240.289993111524,293.656800428671,136.429762017965,236.329179923984,145.460507402325,85.1992432633003,"027","chr7",27994498,28080151,85654,"*","inside",38035
"X012_118","012","chr10",90920757,90921770,1014,"*","Interval_62365","ANKRD1","protein_coding","promoter-TSS (ENSG00000148677)","protein_coding-promoter-TSS (ENSG00000148677)",-176,"ENSG00000148677","ENSG00000148677","ENST00000371697",138.289014120003,215.087325865646,97.2203582187971,-1.17852807105551,0.205030645738977,-2.26345726952747,3.87419404401742e-10,4.37729688257353e-06,270.013004044329,240.919294608383,223.291987167944,245.324259709737,89.4168034847476,221.558606178735,152.590924431851,88.7126141195189,"118","chr10",90910748,90944298,33551,"*","inside",10009
"X045_374","045","chr9",112041468,112042538,1071,"*","Interval_485481","AL138756.1","lncRNA","intron (ENSG00000106868, intron 14 of 15)","protein_coding-intron (ENSG00000106868, intron 14 of 15)",-2860,"ENSG00000259953","ENSG00000259953","ENST00000563249",380.634022728643,536.289930943418,296.647745551046,-1.29878034017335,0.268556510565429,-2.46020807809299,3.29150298789981e-08,8.28644323096904e-05,1176.71036781964,455.193137278511,699.236153588198,424.008198125188,170.537202522457,292.054526326514,765.806788971064,223.977392083934,"374","chr9",112010898,112082301,71404,"*","inside",30570
"X046_430","046","chr18",57813116,57813903,788,"*","Interval_205269","ATP8B1","protein_coding","Intergenic","Intergenic",-10194,"ENSG00000081923","ENSG00000081923","ENST00000585322",55.3301848737836,87.7915400214695,36.9634889543191,-1.27203588985634,0.260600907603817,-2.41502126059546,3.73920273705597e-08,8.80161584268762e-05,119.772305295928,74.3852199942933,76.4910267461122,114.240550790206,37.7947313698417,104.065405932436,68.4520034834471,28.1069668497486,"430","chr18",57727848,57849851,122004,"*","inside",35948
"X068_252","068","chr1",218487745,218489685,1941,"*","Interval_38813","LINC02869","lncRNA","intron (ENSG00000228208, intron 1 of 2)","lncRNA-intron (ENSG00000228208, intron 1 of 2)",-6107,"ENSG00000228208","ENSG00000228208","ENST00000491260",60.5576350730616,84.6002719499198,42.6357768425408,-1.04169854386453,0.228399226523995,-2.05864995986956,2.41164518625311e-07,0.000302969161055424,150.240698748401,119.904533722144,96.5795792248892,71.7664998553859,29.4983269228033,39.611993225895,91.2693379779295,54.4572482713879,"252","chr1",218449848,218501551,51704,"*","inside",11866
"X084_244","084","chr1",223718583,223719122,540,"*","Interval_40068","RNU6-1248P","snRNA","intron (ENSG00000162909, intron 2 of 4)","protein_coding-intron (ENSG00000162909, intron 2 of 20)",28801,"ENSG00000212398","ENSG00000212398","ENST00000391096",24.5217411221846,40.8281514296861,13.785446561214,-1.39223282675109,0.314125299799186,-2.62484608108033,3.94439174596178e-07,0.000407616810191376,35.721564737382,37.7477235791936,18.5432792111787,66.6403212942869,28.5765042064657,57.7395155496096,9.98258384133603,9.66176985460107,"244","chr1",223698248,223795801,97554,"*","inside",20335
"X090_281","090","chr7",6282587,6284197,1611,"*","Interval_411696","AC009412.1","protein_coding","Intergenic","Intergenic",65366,"ENSG00000286075","ENSG00000286075","ENST00000578372",153.683203539432,215.293561900659,119.192859529705,-1.03174653204824,0.236578986511973,-2.04449783062142,4.35528182454352e-07,0.00042666405106463,334.10169372022,166.534074614089,258.833272322703,222.622611796299,121.680598556564,187.989120394078,263.825430092452,71.1457598384261,"281","chr7",6226048,6284751,58704,"*","inside",554
"X105_145","105","chr3",170745216,170746620,1405,"*","Interval_322130","AC026316.2","lncRNA","intron (ENSG00000285051, intron 5 of 5)","lncRNA-intron (ENSG00000285051, intron 5 of 5)",-4553,"ENSG00000239739","ENSG00000239739","ENST00000473110",46.6655376535046,75.112878369966,34.4730426255016,-1.0255482251276,0.237366053662763,-2.03573281714214,6.27611955392775e-07,0.00052684846635278,129.228013608764,35.5272692510058,71.8552069433176,98.1297038838949,31.3419723554785,84.5951041773351,68.4520034834471,17.5668542810929,"145","chr3",170688548,170768951,80404,"*","inside",22331
"X123_420","123","chr8",25195027,25196302,1276,"*","Interval_452096","AC041005.1","lncRNA","intron (ENSG00000147459, intron 1 of 10)","protein_coding-intron (ENSG00000147459, intron 1 of 51)",-12925,"ENSG00000287185","ENSG00000287185","ENST00000653519",70.5568470626116,104.635678982254,49.4868634581791,-1.02431401847531,0.24578410689918,-2.03399201918509,1.3215281403083e-06,0.000892493044757653,150.240698748401,76.6056743224812,106.623855464278,139.871443595701,79.2767536050339,75.1956481576312,69.8780868893522,32.4986804200218,"420","chr8",25178148,25216001,37854,"*","inside",16879
"X129_274","129","chr2",62825471,62826782,1312,"*","Interval_237159","AC092567.2","lncRNA","TTS (ENSG00000115504)","protein_coding-TTS (ENSG00000115504)",-6420,"ENSG00000286524","ENSG00000286524","ENST00000657432",16.3121491384674,23.7194381526873,9.70541379502669,-1.1600865888964,0.278431157547957,-2.23470839674625,1.47632310688231e-06,0.000948366910352977,24.1645879105819,25.5352247741604,23.9517356477725,22.7016479134384,18.4364543267521,27.5269783434186,8.55650043543089,14.0534834248743,"274","chr2",62709895,62829051,119157,"*","inside",2269
