"se_id","chr","start","end","cell_line","log2fc_24h","log2fc_48h","max_abs_change","primary_effect","peak_id","annotation","gene_name","distance_to_tss","gene_description"
"SE_27",2,62710647,62744101,"SK_N_SH",0.839510394903504,1.21364852174261,1.21364852174261,"48h",NA,NA,NA,NA,NA
"SE_53",3,134308647,134335151,"SK_N_SH",-0.870804499149788,-0.774477778389892,0.870804499149788,"24h",NA,NA,NA,NA,NA
"SE_65",4,48345947,48381151,"CLB_Ma",-0.813834563510259,0.013172941099418,0.813834563510259,"24h",NA,NA,NA,NA,NA
"SE_130",10,90913547,90937551,"SK_N_SH",-0.725608651757578,-0.640660771068422,0.725608651757578,"24h",NA,NA,NA,NA,NA
"SE_130",10,90913547,90937551,"CLB_Ma",-0.714672598474717,-0.488697729587757,0.714672598474717,"24h",NA,NA,NA,NA,NA
"SE_92",6,44655047,44669401,"SK_N_SH",-0.711428244095176,-0.665891946319188,0.711428244095176,"24h",NA,NA,NA,NA,NA
"SE_113",9,35510497,35534101,"CLB_Ma",-0.685727559949149,-0.266115881425599,0.685727559949149,"24h",NA,NA,NA,NA,NA
"SE_113",9,35510497,35534101,"SK_N_SH",-0.666206503703961,-0.0562661574592387,0.666206503703961,"24h",NA,NA,NA,NA,NA
"SE_147",12,12816343,12845951,"SK_N_SH",-0.637406582211269,-0.461611767660418,0.637406582211269,"24h",NA,NA,NA,NA,NA
"SE_188",22,36307297,36398351,"SK_N_SH",-0.584704852101922,-0.2259841241797,0.584704852101922,"24h",NA,NA,NA,NA,NA
"SE_91",6,37126147,37146201,"SK_N_SH",-0.548502349408185,-0.166740508261489,0.548502349408185,"24h",NA,NA,NA,NA,NA
"SE_115",9,37929397,37979101,"SK_N_SH",-0.537282852009552,-0.407574024966389,0.537282852009552,"24h",NA,NA,NA,NA,NA
"SE_117",9,112031947,112082301,"SK_N_SH",-0.527495447404597,-0.214625694423305,0.527495447404597,"24h",NA,NA,NA,NA,NA
"SE_105",8,66505747,66560201,"SK_N_SH",-0.519766551613607,-0.418558374227885,0.519766551613607,"24h",NA,NA,NA,NA,NA
"SE_174",16,75242947,75261051,"SK_N_SH",-0.51599910752462,-0.366908204152271,0.51599910752462,"24h",NA,NA,NA,NA,NA
"SE_6",1,85313097,85385301,"SK_N_SH",-0.460257122574486,-0.491118839283279,0.491118839283279,"48h",NA,NA,NA,NA,NA
"SE_136",11,12156847,12238251,"SK_N_SH",-0.486777240585505,-0.270067378637014,0.486777240585505,"24h",NA,NA,NA,NA,NA
"SE_101",7,130880747,130926401,"SK_N_SH",-0.485388540386861,-0.259883614688665,0.485388540386861,"24h",NA,NA,NA,NA,NA
"SE_125",10,52516047,52542901,"SK_N_SH",-0.478985092886946,-0.142838363981496,0.478985092886946,"24h",NA,NA,NA,NA,NA
"SE_182",20,35864297,35902101,"SK_N_SH",-0.474132023549275,0.0213356610943665,0.474132023549275,"24h",NA,NA,NA,NA,NA
"SE_140",11,74121747,74163301,"SK_N_SH",-0.47294750895359,-0.0546163677447543,0.47294750895359,"24h",NA,NA,NA,NA,NA
"SE_17",1,203506147,203560001,"SK_N_SH",-0.469845902415983,-0.255054896905935,0.469845902415983,"24h",NA,NA,NA,NA,NA
"SE_116",9,38008247,38049251,"SK_N_SH",-0.46272881658037,-0.206659371362741,0.46272881658037,"24h",NA,NA,NA,NA,NA
"SE_166",15,67068854,67159051,"SK_N_SH",-0.454507243826903,-0.22794588884858,0.454507243826903,"24h",NA,NA,NA,NA,NA
"SE_129",10,77494247,77535201,"SK_N_SH",-0.441322318187054,-0.198524461085504,0.441322318187054,"24h",NA,NA,NA,NA,NA
"SE_108",8,127798959,127929451,"SK_N_SH",-0.435221134254228,-0.219040046495526,0.435221134254228,"24h",NA,NA,NA,NA,NA
"SE_119",9,129480397,129503501,"SK_N_SH",-0.431095663363096,-0.139914640814298,0.431095663363096,"24h",NA,NA,NA,NA,NA
"SE_114",9,36089347,36114801,"SK_N_SH",-0.418330685580694,-0.155001281824279,0.418330685580694,"24h",NA,NA,NA,NA,NA
"SE_65",4,48345947,48381151,"SK_N_SH",0.414139988720515,0.157830846410117,0.414139988720515,"24h",NA,NA,NA,NA,NA
"SE_138",11,65471697,65503201,"SK_N_SH",-0.413055230367691,-0.025592216037294,0.413055230367691,"24h",NA,NA,NA,NA,NA
"SE_53",3,134308647,134335151,"CLB_Ma",-0.412651759989783,-0.324790862586953,0.412651759989783,"24h",NA,NA,NA,NA,NA
"SE_112",9,33820797,33878851,"SK_N_SH",-0.409792080427517,-0.0415721176752024,0.409792080427517,"24h",NA,NA,NA,NA,NA
"SE_141",11,86717847,86763301,"SK_N_SH",-0.408631168838972,-0.249110102043722,0.408631168838972,"24h",NA,NA,NA,NA,NA
