PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_A_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-304	chr6	51548698	51582001	+	0	NA	Intergenic	MER20|DNA|hAT-Charlie	-56521	NR_125840	101927082		NR_125840		LOC101927082	-	uncharacterized LOC101927082	ncRNA
*-152	chr10	1241298	1298651	+	0	NA	intron (NM_018702, intron 4 of 9)	intron (NM_018702, intron 4 of 9)	110206	NR_015376	399706		NM_001010910	ENSG00000229205	LINC00200	C10orf139|NCRNA00200	long intergenic non-protein coding RNA 200	ncRNA
*-195	chr12	6058048	6117051	+	0	NA	intron (NM_000552, intron 6 of 51)	AluY|SINE|Alu	37121	NM_000552	7450		NM_000552	ENSG00000110799	VWF	F8VWF|VWD	von Willebrand factor	protein-coding
*-35	chr17	47978798	48018451	+	0	NA	Intergenic	AluSx1|SINE|Alu	27511	NM_176096	80279		NM_025197	ENSG00000108465	CDK5RAP3	C53|HSF-27|IC53|LZAP|MST016|OK/SW-cl.114|PP1553	CDK5 regulatory subunit associated protein 3	protein-coding
*-164	chr10	76543548	76556801	+	0	NA	intron (NM_032024, intron 5 of 5)	intron (NM_032024, intron 5 of 5)	-337870	NR_120655	101929328		NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
*-235	chr20	64144548	64233951	+	0	NA	intron (NM_004535, intron 1 of 22)	intron (NM_004535, intron 1 of 22)	24797	NM_004535	4661		NM_004535	ENSG00000196132	MYT1	C20orf36|MTF1|MYTI|NZF2|PLPB1|ZC2H2C1|ZC2HC4A	myelin transcription factor 1	protein-coding
*-279	chr1	168687098	168732501	+	0	NA	intron (NM_001937, intron 2 of 3)	intron (NM_001937, intron 2 of 3)	19407	NM_001937	1805		NM_001937	ENSG00000143196	DPT	TRAMP	dermatopontin	protein-coding
*-187	chr9	117205698	117412038	+	0	NA	intron (NM_014010, intron 1 of 21)	intron (NM_014010, intron 1 of 21)	106189	NM_014010	23245		NM_014010	ENSG00000148219	ASTN2	bA67K19.1	astrotactin 2	protein-coding
*-11	chr11	8033398	8111951	+	0	NA	intron (NM_003320, intron 2 of 12)	MIRc|SINE|MIR	-8537	NM_177972	7275		NM_003320	ENSG00000166402	TUB	RDOB|rd5	TUB bipartite transcription factor	protein-coding
*-243	chr14	89383098	89431101	+	0	NA	intron (NM_001085471, intron 2 of 6)	L1MC5a|LINE|L1	10134	NM_005197	1112		NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
*-68	chr5	81834648	81861251	+	0	NA	Intergenic	Intergenic	-96696	NM_001256733	23635		NM_012446	ENSG00000145687	SSBP2	HSPC116|SOSS-B2	single stranded DNA binding protein 2	protein-coding
*-312	chr6	136484748	136523212	+	0	NA	intron (NM_003980, intron 1 of 17)	L1ME3Cz|LINE|L1	22233	NM_001198609	9053		NM_003980	ENSG00000135525	MAP7	E-MAP-115|EMAP115	microtubule associated protein 7	protein-coding
*-116	chr2	239061648	239157601	+	0	NA	intron (NM_006037, intron 14 of 26)	intron (NM_006037, intron 14 of 26)	-23698	NR_039643	100616493		NR_039643	ENSG00000264810	MIR4441	-	microRNA 4441	ncRNA
*-95	chr2	44743698	44779051	+	0	NA	intron (NM_024766, intron 9 of 10)	L2c|LINE|L2	177514	NR_147194	107985879		NR_147194	ENSG00000259439	LINC01833	K21.1|RP11-89	long intergenic non-protein coding RNA 1833	ncRNA
*-78	chr5	149382274	149457351	+	0	NA	intron (NR_105060, intron 1 of 4)	intron (NR_105060, intron 1 of 4)	-9106	NR_029684	406935		NR_029684	ENSG00000284182	MIR143	MIRN143|mir-143	microRNA 143	ncRNA
*-9	chr4	173744898	173767901	+	0	NA	Intergenic	AluJb|SINE|Alu	-140874	NR_146487	101928478		NR_146487	ENSG00000250708	LINC02269	-	long intergenic non-protein coding RNA 2269	ncRNA
*-93	chr2	29514698	29663551	+	0	NA	intron (NM_004304, intron 3 of 28)	Chap1_Mam|DNA|hAT-Charlie	-113747	NR_136317	105374389		NR_136317		LOC105374389	-	uncharacterized LOC105374389	ncRNA
*-84	chr5	173691998	173731551	+	0	NA	intron (NR_108027, intron 2 of 2)	(GATG)n|Simple_repeat|Simple_repeat	22315	NR_146727	105377736		NR_146727	ENSG00000253428	LINC01942	-	long intergenic non-protein coding RNA 1942	ncRNA
*-218	chr7	82208398	82301151	+	0	NA	intron (NM_001302890, intron 3 of 10)	intron (NM_001302890, intron 3 of 10)	189003	NM_000722	781		NM_000722	ENSG00000153956	CACNA2D1	CACNA2|CACNL2A|CCHL2A|DEE110|LINC01112|lncRNA-N3	calcium voltage-gated channel auxiliary subunit alpha2delta 1	protein-coding
*-59	chr5	16020498	16183501	+	0	NA	intron (NM_001102562, intron 2 of 3)	intron (NM_001102562, intron 2 of 3)	77792	NM_001102562	441061		NM_001102562	ENSG00000183654	MARCHF11	MARCH-XI|MARCH11|RNF226	membrane associated ring-CH-type finger 11	protein-coding
*-46	chr8	24991648	25034851	+	0	NA	Intergenic	L1PA4|LINE|L1	-56637	NM_006158	4747		NM_006158	ENSG00000277586	NEFL	CMT1F|CMT2E|CMTDIG|NF-L|NF68|NFL|PPP1R110	neurofilament light chain	protein-coding
*-207	chr7	2098898	2177301	+	0	NA	intron (NM_001304524, intron 9 of 16)	intron (NM_001304524, intron 9 of 16)	-49047	NR_145797	109623488		NR_145797		SNORA114	-	small nucleolar RNA, H/ACA box 114	snoRNA
*-255	chr22	28091898	28126701	+	0	NA	intron (NM_001145418, intron 6 of 22)	L1ME4c|LINE|L1	-188687	NR_036169	100423034		NR_036169	ENSG00000264073	MIR3199-1	mir-3199-1	microRNA 3199-1	ncRNA
*-292	chr18	46401798	46439301	+	0	NA	intron (NM_001256758, intron 1 of 5)	intron (NM_001256758, intron 1 of 5)	86325	NM_001256758	494470		NM_152470	ENSG00000141622	ARK2C	ARKL2|RNF111L2|RNF165|lncAMPC	arkadia (RNF111) C-terminal like ring finger ubiquitin ligase 2C	protein-coding
*-336	chrX	118178148	118239851	+	0	NA	Intergenic	Intergenic	-91659	NM_001168301	90293		NM_033495	ENSG00000003096	KLHL13	BKLHD2	kelch like family member 13	protein-coding
*-210	chr7	8117298	8259051	+	0	NA	intron (NR_146926, intron 6 of 13)	intron (NR_146926, intron 6 of 13)	73993	NM_001350821	3382		NM_004968	ENSG00000003147	ICA1	ICA69|ICAp69	islet cell autoantigen 1	protein-coding
*-241	chr14	88975148	89014551	+	0	NA	Intergenic	Intergenic	170198	NM_001366536	123016		NM_144596	ENSG00000165533	TTC8	BBS8|RP51	tetratricopeptide repeat domain 8	protein-coding
*-132	chr3	50368332	50451051	+	0	NA	intron (NM_006030, intron 3 of 37)	MIRb|SINE|MIR	44328	NR_111914	101928965		NR_111913	ENSG00000271858	LOC101928965	-	uncharacterized LOC101928965	ncRNA
*-33	chr17	13384548	13443401	+	0	NA	Intergenic	AluSq2|SINE|Alu	-107214	NR_146885	105371541		NR_146885	ENSG00000234634	LINC02093	-	long intergenic non-protein coding RNA 2093	ncRNA
*-3	chr4	38903148	38952601	+	0	NA	3' UTR (NM_001350635, exon 9 of 9)	3' UTR (NM_001350635, exon 9 of 9)	59842	NR_030300	693159		NR_030300	ENSG00000207944	MIR574	MIR574-3p|MIRN574|hsa-mir-574|mir-574	microRNA 574	ncRNA
*-104	chr2	136056198	136086851	+	0	NA	Intergenic	Intergenic	44711	NM_001008540	7852		NM_003467	ENSG00000121966	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS|WHIMS1	C-X-C motif chemokine receptor 4	protein-coding
*-15	chr11	19686048	19792651	+	0	NA	intron (NM_145117, intron 1 of 37)	MIRb|SINE|MIR	20734	NR_039843	100616426		NR_039843	ENSG00000264309	MIR4694	-	microRNA 4694	ncRNA
*-229	chr20	33998798	34109051	+	0	NA	intron (NM_016732, intron 2 of 9)	intron (NM_016732, intron 2 of 9)	4805	NR_039911	100616434		NR_039911	ENSG00000264616	MIR4755	mir-4755	microRNA 4755	ncRNA
*-198	chr12	40722048	40770651	+	0	NA	intron (NM_001256063, intron 1 of 15)	intron (NM_001256063, intron 1 of 15)	53907	NM_001256063	1272		NM_001843	ENSG00000018236	CNTN1	CMYP12|F3|GP135|MYPCN	contactin 1	protein-coding
*-91	chr2	21255998	21289901	+	0	NA	Intergenic	Intergenic	148981	NM_001306137	100129278		NM_001306137	ENSG00000218819	TDRD15	-	tudor domain containing 15	protein-coding
*-156	chr10	21626648	21673851	+	0	NA	intron (NR_136736, intron 9 of 25)	AluJr|SINE|Alu	116017	NM_001195626	8028		NM_004641	ENSG00000078403	MLLT10	AF10	MLLT10 histone lysine methyltransferase DOT1L cofactor	protein-coding
*-238	chr14	61460398	61487201	+	0	NA	intron (NM_006255, intron 9 of 13)	AluSx|SINE|Alu	96395	NR_110417	101927780		NR_110416	ENSG00000250548	LINC01303	-	long intergenic non-protein coding RNA 1303	ncRNA
*-190	chr9	127621448	127669201	+	0	NA	intron (NM_001374312, intron 2 of 19)	intron (NM_001374312, intron 2 of 19)	33047	NM_001374308	6812		NM_003165	ENSG00000136854	STXBP1	DEE4|MUNC18-1|N-Sec1|NSEC1|P67|RBSEC1|UNC18|unc-18A|unc18-1	syntaxin binding protein 1	protein-coding
*-31	chr11	126100848	126117951	+	0	NA	Intergenic	MIRb|SINE|MIR	-46107	NM_001243597	50937		NM_016952	ENSG00000064309	CDON	CDO|CDON1|HPE11|Ihog|ORCAM	cell adhesion associated, oncogene regulated	protein-coding
*-112	chr2	205659898	205781751	+	0	NA	intron (NM_201264, intron 3 of 8)	intron (NM_201264, intron 3 of 8)	38323	NM_003872	8828		NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
*-316	chr21	28231666	28285801	+	0	NA	Intergenic	Intergenic	-30066	NR_126012	101927973		NR_126012	ENSG00000236532	LINC01695	-	long intergenic non-protein coding RNA 1695	ncRNA
*-230	chr20	37200898	37252501	+	0	NA	intron (NM_001324299, intron 11 of 16)	intron (NM_001324299, intron 11 of 16)	35115	NM_021081	2691		NM_021081	ENSG00000118702	GHRH	GHRF|GRF|INN	growth hormone releasing hormone	protein-coding
*-250	chr14	104265898	104306051	+	0	NA	intron (NR_146612, intron 1 of 2)	intron (NR_146612, intron 1 of 2)	62390	NR_146613	145195		NR_146611	ENSG00000258913	LINC02691	C14orf144	long intergenic non-protein coding RNA 2691	ncRNA
*-284	chr1	234699448	234748151	+	0	NA	promoter-TSS (NR_038856)	promoter-TSS (NR_038856)	-243	NR_038856	100506810		NR_038856	ENSG00000227630	LINC01132	-	long intergenic non-protein coding RNA 1132	ncRNA
*-215	chr7	36838448	36930901	+	0	NA	intron (NR_038120, intron 2 of 5)	intron (NR_038120, intron 2 of 5)	34758	NR_031604	100302113		NR_031604	ENSG00000221325	MIR1200	MIRN1200|hsa-mir-1200	microRNA 1200	ncRNA
*-267	chr1	53255998	53324851	+	0	NA	intron (NM_017522, intron 2 of 15)	MIRb|SINE|MIR	37646	NM_017522	7804		NM_004631	ENSG00000157193	LRP8	APOER2|HSZ75190|LRP-8|MCI1	LDL receptor related protein 8	protein-coding
*-40	chr17	61131198	61180201	+	0	NA	intron (NM_001353144, intron 24 of 25)	intron (NM_001353144, intron 24 of 25)	212005	NR_136397	101927855		NR_136397	ENSG00000267131	LOC101927855	-	uncharacterized LOC101927855	ncRNA
*-258	chr1	2258948	2328551	+	0	NA	intron (NM_003036, intron 1 of 6)	intron (NM_003036, intron 1 of 6)	58912	NR_024489	100129534		NM_001127577	ENSG00000292993	LOC100129534	-	small nuclear ribonucleoprotein polypeptide N pseudogene	pseudo
*-136	chr3	94093498	94142451	+	0	NA	intron (NM_022072, intron 5 of 5)	L1MA4|LINE|L1	54913	NM_022072	63899		NM_022072	ENSG00000178694	NSUN3	COXPD48|MST077|MSTP077	NOP2/Sun RNA methyltransferase 3	protein-coding
*-29	chr11	115241548	115306651	+	0	NA	intron (NM_001301043, intron 1 of 11)	intron (NM_001301043, intron 1 of 11)	-59478	NR_135108	105369509		NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
*-332	chr15	101120048	101274519	+	0	NA	intron (NM_014918, intron 2 of 2)	intron (NM_014918, intron 2 of 2)	54765	NM_014918	22856		NM_014918	ENSG00000131873	CHSY1	CHSY|CSS1|ChSy-1|TPBS	chondroitin sulfate synthase 1	protein-coding
*-296	chr18	59476548	59522351	+	0	NA	intron (NM_133459, intron 2 of 10)	THE1B|LTR|ERVL-MaLR	-140184	NM_005570	3998		NM_005570	ENSG00000074695	LMAN1	ERGIC-53|ERGIC53|F5F8D|FMFD1|MCFD1|MR60|gp58	lectin, mannose binding 1	protein-coding
*-13	chr11	10017148	10093351	+	0	NA	intron (NM_030962, intron 2 of 39)	L1PB3|LINE|L1	216107	NR_120539	101928008		NR_120539	ENSG00000255476	LOC101928008	-	uncharacterized LOC101928008	ncRNA
*-21	chr11	68361948	68406201	+	0	NA	intron (NM_002335, intron 5 of 22)	intron (NM_002335, intron 5 of 22)	71483	NM_001291902	4041		NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
*-143	chr3	128315898	128437901	+	0	NA	intron (NM_021937, intron 6 of 6)	intron (NM_021937, intron 6 of 6)	-86695	NR_037890	285224		NR_037890	ENSG00000242049	DNAJB8-AS1	-	DNAJB8 antisense RNA 1	ncRNA
*-55	chr8	79144648	79202501	+	0	NA	Intergenic	L1P1|LINE|L1	-158614	NR_162137	113219456		NR_162137		MIR12123	-	microRNA 12123	ncRNA
*-216	chr7	50457448	50578701	+	0	NA	intron (NM_001242889, intron 4 of 12)	AluY|SINE|Alu	-13685	NR_033845	100129427		NR_033845	ENSG00000226122	DDC-AS1	-	DDC antisense RNA 1	ncRNA
*-330	chr15	74212704	74313551	+	0	NA	intron (NM_025055, intron 3 of 18)	intron (NM_025055, intron 3 of 18)	26801	NM_025055	80125		NM_025055	ENSG00000140481	CCDC33	CC2D3|CT61|HP11097	coiled-coil domain containing 33	protein-coding
*-252	chr22	23499498	23535100	+	0	NA	Intergenic	AluY|SINE|Alu	-20803	NR_109832	101978785		NR_109832		PCAT14	-	prostate cancer associated transcript 14	ncRNA
*-295	chr18	55386248	55442201	+	0	NA	intron (NM_001369569, intron 5 of 19)	intron (NM_001369569, intron 5 of 19)	8073	NM_001348212	6925		NM_003199	ENSG00000196628	TCF4	CDG2T|E2-2|FCD2|FECD3|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19	transcription factor 4	protein-coding
*-329	chr15	58222848	58269801	+	0	NA	Intergenic	Intergenic	107943	NM_001320635	366		NM_020980	ENSG00000103569	AQP9	AQP-9|HsT17287|SSC1|T17287	aquaporin 9	protein-coding
*-264	chr1	22315448	22379801	+	0	NA	Intergenic	L1MC4|LINE|L1	81385	NR_039613	100616433		NR_039613	ENSG00000266564	MIR4418	-	microRNA 4418	ncRNA
*-135	chr3	84961980	85009201	+	0	NA	intron (NM_001381964, intron 2 of 10)	intron (NM_001381964, intron 2 of 10)	26601	NM_001375968	253559		NM_153184	ENSG00000175161	CADM2	IGSF4D|NECL3|Necl-3|SynCAM 2|SynCAM-2|synCAM2	cell adhesion molecule 2	protein-coding
*-287	chr1	245157983	245227451	+	0	NA	intron (NM_018012, intron 2 of 14)	intron (NM_018012, intron 2 of 14)	37732	NM_018012	55083		NM_018012	ENSG00000162849	KIF26B	-	kinesin family member 26B	protein-coding
*-179	chr9	2466298	2526751	+	0	NA	Intergenic	L2a|LINE|L2	-125263	NM_003383	7436		NM_003383	ENSG00000147852	VLDLR	CAMRQ1|CARMQ1|CHRMQ1|VLDL-R|VLDLRCH	very low density lipoprotein receptor	protein-coding
*-338	chr19	5921848	5970401	+	0	NA	intron (NM_007320, intron 2 of 15)	intron (NM_007320, intron 2 of 15)	31870	NM_080590	828		NM_004058	ENSG00000105519	CAPS	CAPS1	calcyphosine	protein-coding
*-155	chr10	20858698	20998551	+	0	NA	intron (NM_001377324, intron 4 of 6)	L2|LINE|L2	-31313	NM_006393	10529		NM_006393	ENSG00000078114	NEBL	C10orf113|LASP2|LNEBL|bA165O3.1	nebulette	protein-coding
*-192	chr9	129382248	129434451	+	0	NA	Intergenic	L2a|LINE|L2	71426	NR_120685	100506119		NR_120685	ENSG00000233901	LINC01503	-	long intergenic non-protein coding RNA 1503	ncRNA
*-60	chr5	36155041	36178401	+	0	NA	intron (NM_001243120, intron 3 of 7)	intron (NM_001243120, intron 3 of 7)	14610	NM_005983	6502		NM_005983	ENSG00000145604	SKP2	FBL1|FBXL1|FLB1|p45	S-phase kinase associated protein 2	protein-coding
*-141	chr3	119289998	119408851	+	0	NA	intron (NM_020754, intron 1 of 11)	intron (NM_020754, intron 1 of 11)	-26664	NR_046748	100874246		NR_046748	ENSG00000241155	ARHGAP31-AS1	-	ARHGAP31 antisense RNA 1	ncRNA
*-110	chr2	188566998	188598751	+	0	NA	intron (NM_001375933, intron 10 of 13)	L2|LINE|L2	207249	NR_161166	116093		NM_052952		DIRC1	-	disrupted in renal carcinoma 1	ncRNA
*-39	chr17	57739098	57764951	+	0	NA	Intergenic	Intergenic	-6725	NM_001282544	101927581		NM_001282544	ENSG00000166329	CCDC182	-	coiled-coil domain containing 182	protein-coding
*-70	chr5	107492498	107573901	+	0	NA	intron (NM_001962, intron 1 of 4)	intron (NM_001962, intron 1 of 4)	137738	NM_001962	1946		NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
*-232	chr20	38808691	38915851	+	0	NA	intron (NM_001172735, intron 2 of 9)	intron (NM_001172735, intron 2 of 9)	56574	NM_015568	26051		NM_015568	ENSG00000101445	PPP1R16B	ANKRD4|TIMAP	protein phosphatase 1 regulatory subunit 16B	protein-coding
*-118	chr16	4367298	4412001	+	0	NA	intron (NM_001351729, intron 7 of 27)	intron (NM_001351729, intron 7 of 27)	17801	NM_138440	114990		NM_138440	ENSG00000168140	VASN	SLITL2	vasorin	protein-coding
*-315	chr21	26009548	26167819	+	0	NA	intron (NM_001385253, intron 3 of 16)	intron (NM_001385253, intron 3 of 16)	51707	NM_001136016	351		NM_000484	ENSG00000142192	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4	amyloid beta precursor protein	protein-coding
*-99	chr2	65296648	65439201	+	0	NA	intron (NM_181784, intron 1 of 5)	intron (NM_181784, intron 1 of 5)	-1146	NM_001128210	200734		NM_181784	ENSG00000198369	SPRED2	NS14|Spred-2	sprouty related EVH1 domain containing 2	protein-coding
*-107	chr2	174659648	174679898	+	0	NA	intron (NM_001077269, intron 1 of 7)	AluJr|SINE|Alu	13126	NM_001077269	7456		NM_003387	ENSG00000115935	WIPF1	PRPL-2|WAS2|WASPIP|WIP	WAS/WASL interacting protein family member 1	protein-coding
*-5	chr4	87016998	87111501	+	0	NA	intron (NM_001313959, intron 3 of 19)	intron (NM_001313959, intron 3 of 19)	57248	NM_005935	4299		NM_005935	ENSG00000172493	AFF1	AF4|FEL|MLLT2|PBM1	ALF transcription elongation factor 1	protein-coding
*-53	chr8	70152748	70199051	+	0	NA	intron (NM_001321707, intron 4 of 22)	intron (NM_001321707, intron 4 of 22)	-104647	NM_024504	63978		NM_024504	ENSG00000147596	PRDM14	PFM11	PR/SET domain 14	protein-coding
*-290	chr18	36680348	36757051	+	0	NA	exon (NM_001281740, exon 19 of 29)	exon (NM_001281740, exon 19 of 29)	-55281	NR_132982	105372071		NR_132982		LOC105372071	-	uncharacterized LOC105372071	ncRNA
