"se_id","chr","start","end","cell_line","log2fc_24h","log2fc_48h","max_abs_change","primary_effect","peak_id","annotation","gene_name","distance_to_tss","gene_description"
"SE_118","14",77562347,77613766,"CLB_Ma",0.783642584342216,1.07820644314303,1.07820644314303,"48h",NA,NA,NA,NA,NA
"SE_142","17",16002690,16048251,"CLB_Ma",0.267582919839289,0.794609166093793,0.794609166093793,"48h",NA,NA,NA,NA,NA
"SE_51","10",90910747,90944298,"CLB_Ma",-0.742288880409,-0.510198382821241,0.742288880409,"24h",NA,NA,NA,NA,NA
"SE_51","10",90910747,90944298,"SK_N_SH",-0.728043146479528,-0.576935695347681,0.728043146479528,"24h",NA,NA,NA,NA,NA
"SE_281","6",44654997,44669401,"SK_N_SH",-0.710701328603371,-0.665726188622781,0.710701328603371,"24h",NA,NA,NA,NA,NA
"SE_134","16",9094677,9130401,"CLB_Ma",-0.172000693274226,-0.702521104625913,0.702521104625913,"48h",NA,NA,NA,NA,NA
"SE_298","7",130352297,130375251,"SK_N_SH",-0.69580843046969,-0.339701268604077,0.69580843046969,"24h",NA,NA,NA,NA,NA
"SE_322","9",35507297,35534101,"SK_N_SH",-0.681492156997175,-0.111142044801194,0.681492156997175,"24h",NA,NA,NA,NA,NA
"SE_317","9",2800697,2841129,"CLB_Ma",-0.662964682241863,-0.025798865281401,0.662964682241863,"24h",NA,NA,NA,NA,NA
"SE_4","1",36231047,36302301,"CLB_Ma",0.655553300159495,0.447575544657551,0.655553300159495,"24h",NA,NA,NA,NA,NA
"SE_330","9",115664947,115693701,"SK_N_SH",-0.462288069197998,-0.63593273354631,0.63593273354631,"48h",NA,NA,NA,NA,NA
"SE_322","9",35507297,35534101,"CLB_Ma",-0.628280670366498,-0.222957798174822,0.628280670366498,"24h",NA,NA,NA,NA,NA
"SE_89","12",68613836,68658601,"SK_N_SH",-0.369278721801003,-0.591986006642841,0.591986006642841,"48h",NA,NA,NA,NA,NA
"SE_36","1",219293047,219342601,"SK_N_SH",-0.579537112272037,-0.53001775549999,0.579537112272037,"24h",NA,NA,NA,NA,NA
"SE_60","11",13207347,13236401,"SK_N_SH",-0.538527361589196,-0.441455194203009,0.538527361589196,"24h",NA,NA,NA,NA,NA
"SE_153","17",75673497,75708901,"SK_N_SH",-0.538219181701036,-0.301019089385417,0.538219181701036,"24h",NA,NA,NA,NA,NA
"SE_296","7",101092897,101141301,"SK_N_SH",-0.530165537530397,-0.349143629916468,0.530165537530397,"24h",NA,NA,NA,NA,NA
"SE_149","17",50026997,50084801,"SK_N_SH",-0.505140235723479,-0.236062997293084,0.505140235723479,"24h",NA,NA,NA,NA,NA
"SE_309","8",66505597,66563401,"SK_N_SH",-0.504718621066768,-0.404235160069211,0.504718621066768,"24h",NA,NA,NA,NA,NA
"SE_101","12",120224447,120262770,"SK_N_SH",-0.503180816268715,-0.33588511089717,0.503180816268715,"24h",NA,NA,NA,NA,NA
"SE_324","9",37921497,37979401,"SK_N_SH",-0.496737807749064,-0.375123900305172,0.496737807749064,"24h",NA,NA,NA,NA,NA
"SE_329","9",112010897,112082301,"SK_N_SH",-0.488497578156228,-0.261335166449555,0.488497578156228,"24h",NA,NA,NA,NA,NA
"SE_169","2",108537352,108599501,"SK_N_SH",-0.487063992251187,-0.311777984569242,0.487063992251187,"24h",NA,NA,NA,NA,NA
"SE_199","22",36295897,36399251,"SK_N_SH",-0.481765244506641,-0.243680827788709,0.481765244506641,"24h",NA,NA,NA,NA,NA
"SE_187","20",35854497,35904351,"SK_N_SH",-0.4791604615046,0.0240461505368157,0.4791604615046,"24h",NA,NA,NA,NA,NA
"SE_138","16",69431847,69497251,"SK_N_SH",0.010728677515108,0.47915904634078,0.47915904634078,"48h",NA,NA,NA,NA,NA
"SE_31","1",203504597,203560001,"SK_N_SH",-0.470552289656577,-0.261117694134815,0.470552289656577,"24h",NA,NA,NA,NA,NA
"SE_102","12",121921554,121965951,"SK_N_SH",-0.469314973326346,-0.211787264362362,0.469314973326346,"24h",NA,NA,NA,NA,NA
"SE_139","16",75231497,75262947,"SK_N_SH",-0.464396875289329,-0.270709583008135,0.464396875289329,"24h",NA,NA,NA,NA,NA
"SE_67","11",74120547,74164051,"SK_N_SH",-0.464274816992273,-0.0303876399669585,0.464274816992273,"24h",NA,NA,NA,NA,NA
"SE_157","18",77063747,77109201,"SK_N_SH",-0.459188294818018,-0.300354928637161,0.459188294818018,"24h",NA,NA,NA,NA,NA
"SE_84","12",49480847,49519451,"SK_N_SH",-0.454674259594149,-0.275293141967579,0.454674259594149,"24h",NA,NA,NA,NA,NA
"SE_130","15",90391238,90424151,"CLB_Ma",0.369182574096677,0.453125931170996,0.453125931170996,"48h",NA,NA,NA,NA,NA
"SE_304","8",38891897,38939851,"CLB_Ma",0.0887653808324081,0.447008956652337,0.447008956652337,"48h",NA,NA,NA,NA,NA
"SE_274","5",169548297,169606201,"SK_N_SH",-0.444010719535131,-0.0692687199130823,0.444010719535131,"24h",NA,NA,NA,NA,NA
"SE_186","20",35301597,35345051,"SK_N_SH",-0.442833597866324,-0.171276476924535,0.442833597866324,"24h",NA,NA,NA,NA,NA
"SE_248","4",114316247,114367701,"SK_N_SH",0.107813903030601,0.441706327352421,0.441706327352421,"48h",NA,NA,NA,NA,NA
"SE_8","1",59115547,59166001,"SK_N_SH",-0.438687302871492,-0.295290135031656,0.438687302871492,"24h",NA,NA,NA,NA,NA
"SE_283","6",56795347,56840664,"CLB_Ma",-0.430231017008726,0.0530916254044087,0.430231017008726,"24h",NA,NA,NA,NA,NA
"SE_76","11",118906947,118930051,"SK_N_SH",-0.41835611828515,-0.313185011389436,0.41835611828515,"24h",NA,NA,NA,NA,NA
"SE_323","9",36089347,36114801,"SK_N_SH",-0.418330685580694,-0.155001281824279,0.418330685580694,"24h",NA,NA,NA,NA,NA
"SE_304","8",38891897,38939851,"SK_N_SH",-0.418210401934488,-0.0133142629290765,0.418210401934488,"24h",NA,NA,NA,NA,NA
"SE_279","6",37101147,37145951,"SK_N_SH",-0.41781759637342,-0.0114880060498782,0.41781759637342,"24h",NA,NA,NA,NA,NA
"SE_59","11",12113573,12239701,"SK_N_SH",-0.413638057193353,-0.24137862109935,0.413638057193353,"24h",NA,NA,NA,NA,NA
"SE_259","5",61350847,61505451,"CLB_Ma",-0.41140585051218,0.0892307085526995,0.41140585051218,"24h",NA,NA,NA,NA,NA
"SE_16","1",150560047,150583051,"SK_N_SH",-0.406711788023119,0.0392140803933572,0.406711788023119,"24h",NA,NA,NA,NA,NA
"SE_70","11",86717797,86786451,"SK_N_SH",-0.40107742345457,-0.269194604812713,0.40107742345457,"24h",NA,NA,NA,NA,NA
"SE_31","1",203504597,203560001,"CLB_Ma",0.305997724699783,0.396418230954533,0.396418230954533,"48h",NA,NA,NA,NA,NA
"SE_222","3",160394797,160446837,"SK_N_SH",0.395786140052792,0.120223439792445,0.395786140052792,"24h",NA,NA,NA,NA,NA
"SE_244","4",112883597,112910451,"SK_N_SH",0.137919270985801,0.395147929852729,0.395147929852729,"48h",NA,NA,NA,NA,NA
