PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_A_u_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-172	chr15	58222848	58269801	+	0	NA	Intergenic	Intergenic	107943	NM_001320635	366		NM_020980	ENSG00000103569	AQP9	AQP-9|HsT17287|SSC1|T17287	aquaporin 9	protein-coding
*-57	chr1	213991499	214043751	+	0	NA	intron (NM_001270616, intron 4 of 4)	intron (NM_001270616, intron 4 of 4)	29092	NM_002763	5629		NM_002763	ENSG00000117707	PROX1	-	prospero homeobox 1	protein-coding
*-48	chr1	50326748	50348201	+	0	NA	Intergenic	AluY|SINE|Alu	85969	NM_032110	63950		NM_032110	ENSG00000142700	DMRTA2	-	DMRT like family A2	protein-coding
*-183	chr8	79285748	79303301	+	0	NA	Intergenic	Intergenic	-37664	NR_162137	113219456		NR_162137		MIR12123	-	microRNA 12123	ncRNA
*-109	chr3	128192798	128288201	+	0	NA	intron (NM_021937, intron 1 of 6)	intron (NM_021937, intron 1 of 6)	-86585	NM_001319086	8607		NM_003707	ENSG00000175792	RUVBL1	ECP-54|ECP54|INO80H|NMP 238|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	RuvB like AAA ATPase 1	protein-coding
*-73	chr2	174659648	174679898	+	0	NA	intron (NM_001077269, intron 1 of 7)	AluJr|SINE|Alu	13126	NM_001077269	7456		NM_003387	ENSG00000115935	WIPF1	PRPL-2|WAS2|WASPIP|WIP	WAS/WASL interacting protein family member 1	protein-coding
*-125	chr7	133532598	133578001	+	0	NA	intron (NM_021807, intron 9 of 17)	intron (NM_021807, intron 9 of 17)	264418	NR_106749	102465139		NR_106749	ENSG00000276137	MIR6133	hsa-mir-6133	microRNA 6133	ncRNA
*-24	chr11	112994798	113049651	+	0	NA	intron (NM_001076682, intron 1 of 18)	intron (NM_001076682, intron 1 of 18)	-58764	NR_120563	101928847		NR_120563	ENSG00000247416	LOC101928847	-	uncharacterized LOC101928847	ncRNA
*-62	chr2	21255998	21289901	+	0	NA	Intergenic	Intergenic	148981	NM_001306137	100129278		NM_001306137	ENSG00000218819	TDRD15	-	tudor domain containing 15	protein-coding
*-98	chr3	8605398	8664301	+	0	NA	intron (NR_046358, intron 3 of 12)	intron (NR_046358, intron 3 of 12)	9949	NM_001256748	51066		NM_015931	ENSG00000125046	SSUH2	C3orf32|SSU-2|fls485	ssu-2 homolog	protein-coding
*-151	chr20	63435448	63469639	+	0	NA	intron (NM_001382235, intron 1 of 16)	MLT2C2|LTR|ERVL	20112	NM_001382235	3785		NM_004518	ENSG00000075043	KCNQ2	BFNC|DEE7|EBN|EBN1|ENB1|HNSPC|KCNA11|KV7.2	potassium voltage-gated channel subfamily Q member 2	protein-coding
*-15	chr11	19686048	19792651	+	0	NA	intron (NM_145117, intron 1 of 37)	MIRb|SINE|MIR	20734	NR_039843	100616426		NR_039843	ENSG00000264309	MIR4694	-	microRNA 4694	ncRNA
*-154	chr10	9283498	9302601	+	0	NA	intron (NR_120635, intron 2 of 4)	L1MA8|LINE|L1	2544	NR_120635	101928272		NR_120635		LOC101928272	-	uncharacterized LOC101928272	ncRNA
*-102	chr3	18346398	18448901	+	0	NA	intron (NM_001322873, intron 5 of 10)	intron (NM_001322873, intron 5 of 10)	27690	NM_001195470	6304		NM_002971	ENSG00000182568	SATB1	DEFDA|DHDBV|KTZSL	SATB homeobox 1	protein-coding
*-50	chr1	89682548	89732701	+	0	NA	intron (NM_032270, intron 2 of 2)	intron (NM_032270, intron 2 of 2)	74504	NM_032270	84230		NM_032270	ENSG00000171488	LRRC8C	AD158|FAD158	leucine rich repeat containing 8 VRAC subunit C	protein-coding
*-16	chr11	27644998	27677201	+	0	NA	intron (NM_001143811, intron 2 of 3)	intron (NM_001143811, intron 2 of 3)	-1450	NM_001143816	627		NM_001709	ENSG00000176697	BDNF	ANON2|BULN2	brain derived neurotrophic factor	protein-coding
