Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	-1	-1	-1
1	25001	-1	-1	-1
1	50001	-1	-1	-1
1	75001	-1	-1	-1
1	100001	-1	-1	-1
1	125001	-1	-1	-1
1	150001	-1	-1	-1
1	175001	-1	-1	-1
1	200001	-1	-1	-1
1	225001	-1	-1	-1
1	250001	-1	-1	-1
1	275001	-1	-1	-1
1	300001	-1	-1	-1
1	325001	-1	-1	-1
1	350001	-1	-1	-1
1	375001	-1	-1	-1
1	400001	-1	-1	-1
1	425001	-1	-1	-1
1	450001	-1	-1	-1
1	475001	-1	-1	-1
1	500001	-1	-1	-1
1	525001	-1	-1	-1
1	550001	-1	-1	-1
1	575001	-1	-1	-1
1	600001	-1	-1	-1
1	625001	-1	-1	-1
1	650001	-1	-1	-1
1	675001	-1	-1	-1
1	700001	-1	-1	-1
1	725001	-1	-1	-1
1	750001	-1	-1	-1
1	775001	-1	-1	-1
1	800001	-1	-1	-1
1	825001	-1	-1	-1
1	850001	-1	-1	-1
1	875001	1.1674	1.11965	-1
1	900001	1.07269	1.11965	-1
1	925001	1.08904	1.11965	-1
1	950001	1.26932	1.11965	-1
1	975001	0.974982	1.11965	-1
1	1000001	1.48407	1.11965	-1
1	1025001	1.1636	1.11965	-1
1	1050001	1.22545	1.11965	-1
1	1075001	1.01395	1.11965	-1
1	1100001	0.864036	1.11965	-1
1	1125001	0.833571	1.11965	-1
1	1150001	0.945235	1.11965	-1
1	1175001	1.48292	1.11965	-1
1	1200001	0.705577	1.11965	-1
1	1225001	0.771858	1.11965	-1
1	1250001	1.08245	1.11965	-1
1	1275001	0.817187	1.11965	-1
1	1300001	1.57741	1.11965	-1
1	1325001	0.921982	1.11965	-1
1	1350001	1.57792	1.11965	-1
1	1375001	1.49181	1.11965	-1
1	1400001	1.28867	1.11965	-1
1	1425001	1.22886	1.11965	-1
1	1450001	1.53204	1.11965	-1
1	1475001	1.06086	1.11965	-1
1	1500001	1.21141	1.11965	-1
1	1525001	1.01332	1.11965	-1
1	1550001	1.32782	1.11965	-1
1	1575001	1.56877	1.11965	-1
1	1600001	1.02729	1.11965	-1
1	1625001	-1	1.11965	-1
1	1650001	1.49918	1.11965	-1
1	1675001	-1	1.11965	-1
1	1700001	-1	1.11965	-1
1	1725001	-1	1.11965	-1
1	1750001	0.885654	1.11965	-1
1	1775001	1.22796	1.11965	-1
1	1800001	0.864125	1.11965	-1
1	1825001	1.38855	1.11965	-1
1	1850001	1.45209	1.11965	-1
1	1875001	1.61499	1.11965	-1
1	1900001	1.22802	1.11965	-1
1	1925001	1.29494	1.11965	-1
1	1950001	1.11965	1.11965	-1
1	1975001	0.937257	1.11965	-1
1	2000001	0.941499	1.11965	-1
1	2025001	0.971033	1.11965	-1
1	2050001	0.95972	1.11965	-1
1	2075001	1.18197	1.11965	-1
1	2100001	0.868211	1.11965	-1
1	2125001	0.848951	1.11965	-1
1	2150001	1.09616	1.11965	-1
1	2175001	1.25819	1.11965	-1
1	2200001	1.62012	1.11965	-1
1	2225001	1.0651	1.11965	-1
1	2250001	0.998517	0.970079	-1
1	2275001	0.852763	0.970079	-1
1	2300001	0.971174	0.970079	-1
1	2325001	0.997712	0.970079	-1
1	2350001	0.929509	0.970079	-1
1	2375001	0.980293	0.970079	-1
1	2400001	1.34705	0.970079	-1
1	2425001	0.957738	0.970079	-1
1	2450001	-1	0.970079	-1
1	2475001	-1	0.970079	-1
1	2500001	-1	0.970079	-1
1	2525001	-1	0.970079	-1
1	2550001	-1	0.970079	-1
1	2575001	-1	0.970079	-1
1	2600001	-1	0.970079	-1
1	2625001	-1	0.970079	-1
1	2650001	-1	0.970079	-1
1	2675001	-1	0.970079	-1
1	2700001	-1	0.970079	-1
1	2725001	-1	0.970079	-1
1	2750001	-1	0.970079	-1
1	2775001	-1	0.970079	-1
1	2800001	1.07126	0.970079	-1
1	2825001	1.06903	0.970079	-1
1	2850001	1.1104	0.970079	-1
1	2875001	1.02511	0.970079	-1
1	2900001	1.00092	0.970079	-1
1	2925001	1.03836	0.970079	-1
1	2950001	1.03755	0.970079	-1
1	2975001	0.646946	0.970079	-1
1	3000001	0.743407	0.970079	-1
1	3025001	0.786367	0.970079	-1
