"","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.peaks1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.seqnames","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.start","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.end","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.width","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.strand","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.PeakId","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Gene.Name","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Gene.Type","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Annotation","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Detailed.Annotation","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Distance.to.TSS","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Nearest.PromoterID","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Entrez.ID","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.Nearest.Unigene","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.baseMean","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.MeanExpr_control","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.MeanExpr_24h","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.log2FoldChange","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.lfcSE","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.FoldChange","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.pvalue","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.padj","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_DMSO_ctrl_rep1_REP1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_control_ATAC_S165169_REP1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.CM_DMSO_ctrl_rep2_REP1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_DMSO_ctrl_rep1_REP1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_control_ATAC_S165166_REP1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.control.SH_DMSO_ctrl_rep2_REP1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.24h.CM_24h_ATAC_S165170_REP1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.mcols.24h.CM_24h_rep2_REP1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.peaks2","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.seqnames.1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.start.1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.end.1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.width.1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.strand.1","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.overlapFeature","ATAC_dds_results_24h_grange...CLB_SKN_M_SEs_annot_grange.shortestDistance"
"X012_370","012","chr3",170745216,170746620,1405,"*","Interval_322130","AC026316.2","lncRNA","intron (ENSG00000285051, intron 5 of 5)","lncRNA-intron (ENSG00000285051, intron 5 of 5)",-4553,"ENSG00000239739","ENSG00000239739","ENST00000473110",46.6655376535046,75.112878369966,30.4106919650461,-1.28092908962975,0.238355187590454,-2.42995414541318,3.3570135144588e-09,2.49269443493614e-05,129.228013608764,35.5272692510058,71.8552069433176,98.1297038838949,31.3419723554785,84.5951041773351,13.9236539399867,48.6255155743299,"370","chr3",170688548,170768951,80404,"*","inside",22331
"X015_031","015","chr10",90920757,90921770,1014,"*","Interval_62365","ANKRD1","protein_coding","promoter-TSS (ENSG00000148677)","protein_coding-promoter-TSS (ENSG00000148677)",-176,"ENSG00000148677","ENSG00000148677","ENST00000371697",138.289014120003,215.087325865646,102.559358275565,-1.05822518476124,0.207187397639067,-2.08236819890571,9.75837081175996e-09,4.94633836159344e-05,270.013004044329,240.919294608383,223.291987167944,245.324259709737,89.4168034847476,221.558606178735,110.123444798076,152.312276725475,"031","chr10",90910748,90944298,33551,"*","inside",10009
"X029_107","029","chr13",33235072,33235428,357,"*","Interval_121645","STARD13-AS","lncRNA","intron (ENSG00000236581, intron 2 of 5)","protein_coding-intron (ENSG00000133121, intron 1 of 13)",-40824,"ENSG00000236581","ENSG00000236581","ENST00000590434",28.5461806924891,44.0937764900819,18.7831789984795,-1.09942572086704,0.233674797760245,-2.14269383466717,1.20207038805654e-07,0.000267773199643474,44.1266387932366,26.6454519382543,30.9054653519645,73.9634335244283,25.8110360574529,63.1106332751547,8.86050705271879,19.3071900074545,"107","chr13",33190598,33298251,107654,"*","inside",44474
"X057_416","057","chr9",112041468,112042538,1071,"*","Interval_485481","AL138756.1","lncRNA","intron (ENSG00000106868, intron 14 of 15)","protein_coding-intron (ENSG00000106868, intron 14 of 15)",-2860,"ENSG00000259953","ENSG00000259953","ENST00000563249",380.634022728643,536.289930943418,308.964391691466,-1.13251613660925,0.271821084785042,-2.19240774541104,8.7794941019782e-07,0.00103843545459646,1176.71036781964,455.193137278511,699.236153588198,424.008198125188,170.537202522457,292.054526326514,239.233690423407,696.489002491138,"416","chr9",112010898,112082301,71404,"*","inside",30570
"X063_263","063","chr3",112647103,112647596,494,"*","Interval_312243","CCDC80","protein_coding","intron (ENSG00000091986, intron 1 of 2)","protein_coding-intron (ENSG00000091986, intron 1 of 3)",2181,"ENSG00000091986","ENSG00000091986","ENST00000480275",55.5255415177804,79.6351456605485,37.951357514551,-1.06455347899314,0.265770523118211,-2.09152244321059,1.94158348914601e-06,0.00193659912556194,159.696407061237,95.479536112078,105.851218830479,50.5294743879758,31.3419723554785,34.912265216043,22.7841609927055,61.4969755792996,"263","chr3",112604968,112699901,94934,"*","inside",42135
"X064_258","064","chr18",57813116,57813903,788,"*","Interval_205269","ATP8B1","protein_coding","Intergenic","Intergenic",-10194,"ENSG00000081923","ENSG00000081923","ENST00000585322",55.3301848737836,87.7915400214695,41.235525645562,-1.05900091481147,0.263817419302765,-2.08348817915378,2.09454672577016e-06,0.00202861403753287,119.772305295928,74.3852199942933,76.4910267461122,114.240550790206,37.7947313698417,104.065405932436,34.1762414890582,57.9215700223636,"258","chr18",57727848,57849851,122004,"*","inside",35948
"X074_220","074","chr1",97999289,98000153,865,"*","Interval_19070","DPYD","protein_coding","intron (ENSG00000225206, intron 3 of 4)","lncRNA-intron (ENSG00000225206, intron 3 of 4)",-4721,"ENSG00000188641","ENSG00000188641","ENST00000646851",25.4116158621282,43.0097495357087,15.6039724798689,-1.2938775484648,0.339253744314692,-2.4518616047729,5.2921758394592e-06,0.00374249234919978,35.721564737382,31.08636059463,40.1771049575539,76.1603671934707,21.2019224757649,53.7111772554508,5.06314688726788,24.312757787165,"220","chr1",97996898,98068751,71854,"*","inside",2391
"X080_059","080","chr12",50201801,50202589,789,"*","Interval_103639","AC008147.2","lncRNA","promoter-TSS (ENSG00000050405)","protein_coding-promoter-TSS (ENSG00000050405)",-10832,"ENSG00000257298","ENSG00000257298","ENST00000552061",65.5584258914322,105.998455148819,46.8992490323968,-1.02439560201317,0.277130564366708,-2.03410704346409,7.35777735218815e-06,0.00458299721533799,86.1520090725095,73.2749928301994,71.0825703095184,192.597851652719,79.2767536050339,133.606553422934,37.9736016545091,59.351732245138,"059","chr12",50150598,50219704,69107,"*","inside",17115
"X085_085","085","chr20",31704417,31705191,775,"*","Interval_272067","ABALON","lncRNA","intron (ENSG00000236559, intron 1 of 1)","protein_coding-intron (ENSG00000171552, intron 2 of 2)",-16703,"ENSG00000281376","ENSG00000281376","ENST00000629058",22.5401892658075,37.1706225066801,15.6175099293833,-1.13832097419802,0.321749736669533,-2.20124690286396,1.37811872649047e-05,0.00699618491011618,43.0760045362548,22.2045432818786,36.3139217885583,46.8679182729051,32.2637950718161,42.2975520886675,6.32893360908485,27.1730822327138,"085","chr20",31652098,31718505,66408,"*","inside",13314
"X097_266","097","chr5",172951714,172952723,1010,"*","Interval_380173","AC008429.3","lncRNA","exon (ENSG00000113719, exon 10 of 10)","protein_coding-exon (ENSG00000113719, exon 10 of 10)",-2689,"ENSG00000254295","ENSG00000254295","ENST00000519755",52.3510590064159,84.7837089393661,36.0995274165599,-1.06996372043988,0.332043235105328,-2.099380573302,3.59494128302024e-05,0.0141233638421433,75.6456665026913,91.0386274557023,55.6298376335362,146.462244602828,40.5601995188546,99.365677922584,60.7577626472146,32.1786500124242,"266","chr5",172854698,172955727,101030,"*","inside",3004
