"se_id","chr","start","end","cell_line","log2fc_24h","log2fc_48h","max_abs_change","primary_effect","peak_id","annotation","gene_name","distance_to_tss","gene_description"
"SE_27",2,62710647,62744101,"SK_N_SH",1.23733886838198,1.74334158080273,1.74334158080273,"48h",NA,NA,NA,NA,NA
"SE_53",3,134308647,134335151,"SK_N_SH",-1.03077816846979,-0.828597998237487,1.03077816846979,"24h",NA,NA,NA,NA,NA
"SE_113",9,35510497,35534101,"SK_N_SH",-0.894310433234786,-0.141917218120842,0.894310433234786,"24h",NA,NA,NA,NA,NA
"SE_65",4,48345947,48381151,"CLB_Ma",-0.835926723571231,0.00815546359194272,0.835926723571231,"24h",NA,NA,NA,NA,NA
"SE_147",12,12816343,12845951,"SK_N_SH",-0.822474431973188,-0.393088913229205,0.822474431973188,"24h",NA,NA,NA,NA,NA
"SE_130",10,90913547,90937551,"SK_N_SH",-0.817034657035954,-0.667772004601883,0.817034657035954,"24h",NA,NA,NA,NA,NA
"SE_92",6,44655047,44669401,"SK_N_SH",-0.805886037131604,-0.713074509923342,0.805886037131604,"24h",NA,NA,NA,NA,NA
"SE_130",10,90913547,90937551,"CLB_Ma",-0.746992119908094,-0.196403397792251,0.746992119908094,"24h",NA,NA,NA,NA,NA
"SE_113",9,35510497,35534101,"CLB_Ma",-0.73671595650629,0.0437967479283956,0.73671595650629,"24h",NA,NA,NA,NA,NA
"SE_125",10,52516047,52542901,"SK_N_SH",-0.702307479393999,-0.260143228267708,0.702307479393999,"24h",NA,NA,NA,NA,NA
"SE_6",1,85313097,85385301,"SK_N_SH",-0.67042952431001,-0.555843012309042,0.67042952431001,"24h",NA,NA,NA,NA,NA
"SE_74",4,122758547,122785001,"SK_N_SH",-0.662908461363532,-0.120238906828933,0.662908461363532,"24h",NA,NA,NA,NA,NA
"SE_27",2,62710647,62744101,"CLB_Ma",-0.471817336029655,0.647390277427576,0.647390277427576,"48h",NA,NA,NA,NA,NA
"SE_117",9,112031947,112082301,"SK_N_SH",-0.613290175737962,-0.197778665588639,0.613290175737962,"24h",NA,NA,NA,NA,NA
"SE_17",1,203506147,203560001,"CLB_Ma",0.272008134686762,0.612110687512508,0.612110687512508,"48h",NA,NA,NA,NA,NA
"SE_150",12,67651729,67681601,"CLB_Ma",-0.606335996853011,0.155846784123188,0.606335996853011,"24h",NA,NA,NA,NA,NA
"SE_126",10,62224097,62264501,"CLB_Ma",-0.603252591860759,-0.135580442626963,0.603252591860759,"24h",NA,NA,NA,NA,NA
"SE_115",9,37929397,37979101,"SK_N_SH",-0.599796118590588,-0.445139971505348,0.599796118590588,"24h",NA,NA,NA,NA,NA
"SE_105",8,66505747,66560201,"SK_N_SH",-0.598182552965932,-0.461592734136956,0.598182552965932,"24h",NA,NA,NA,NA,NA
"SE_60",3,178168947,178207101,"CLB_Ma",0.0618783341548666,0.589046080225893,0.589046080225893,"48h",NA,NA,NA,NA,NA
"SE_133",10,126198347,126264901,"SK_N_SH",-0.576344186609336,0.101120758757716,0.576344186609336,"24h",NA,NA,NA,NA,NA
"SE_188",22,36307297,36398351,"SK_N_SH",-0.575496070952207,-0.161653162448727,0.575496070952207,"24h",NA,NA,NA,NA,NA
"SE_75",4,122873447,122913301,"SK_N_SH",-0.570766482497512,-0.413999283884519,0.570766482497512,"24h",NA,NA,NA,NA,NA
"SE_184",20,53735247,53753451,"CLB_Ma",-0.566284752508358,0.13214327355262,0.566284752508358,"24h",NA,NA,NA,NA,NA
"SE_136",11,12156847,12238251,"SK_N_SH",-0.559492029187131,-0.26022280911722,0.559492029187131,"24h",NA,NA,NA,NA,NA
"SE_67",4,76579597,76591951,"SK_N_SH",-0.55926041782685,-0.248343127623684,0.55926041782685,"24h",NA,NA,NA,NA,NA
"SE_162",15,33126697,33165451,"CLB_Ma",0.0652207584218691,0.55458153702449,0.55458153702449,"48h",NA,NA,NA,NA,NA
"SE_189",22,40484997,40529101,"SK_N_SH",-0.549169316447979,-0.343348256422098,0.549169316447979,"24h",NA,NA,NA,NA,NA
"SE_53",3,134308647,134335151,"CLB_Ma",-0.538934595589695,-0.209556325314309,0.538934595589695,"24h",NA,NA,NA,NA,NA
"SE_140",11,74121747,74163301,"CLB_Ma",-0.530394157525579,0.241247586528167,0.530394157525579,"24h",NA,NA,NA,NA,NA
"SE_140",11,74121747,74163301,"SK_N_SH",-0.529088705558166,0.051548741722219,0.529088705558166,"24h",NA,NA,NA,NA,NA
"SE_91",6,37126147,37146201,"SK_N_SH",-0.519088606108359,-0.128728024272026,0.519088606108359,"24h",NA,NA,NA,NA,NA
"SE_174",16,75242947,75261051,"SK_N_SH",-0.517744529723981,-0.372257428123871,0.517744529723981,"24h",NA,NA,NA,NA,NA
"SE_67",4,76579597,76591951,"CLB_Ma",-0.510782261507808,-0.205453291170981,0.510782261507808,"24h",NA,NA,NA,NA,NA
"SE_141",11,86717847,86763301,"SK_N_SH",-0.507907924351725,-0.154818361163423,0.507907924351725,"24h",NA,NA,NA,NA,NA
"SE_71",4,79996597,80039451,"SK_N_SH",0.149720166554749,0.501011118368745,0.501011118368745,"48h",NA,NA,NA,NA,NA
"SE_85",5,140280247,140335801,"SK_N_SH",-0.500567378951998,-0.275615159283362,0.500567378951998,"24h",NA,NA,NA,NA,NA
"SE_54",3,134457747,134482731,"SK_N_SH",-0.408661037431959,-0.499802337028507,0.499802337028507,"48h",NA,NA,NA,NA,NA
"SE_86",5,147471147,147506901,"SK_N_SH",-0.112606502962047,0.499661981858179,0.499661981858179,"48h",NA,NA,NA,NA,NA
"SE_152",12,121923247,121950951,"SK_N_SH",-0.496924781074056,-0.184239882518852,0.496924781074056,"24h",NA,NA,NA,NA,NA
"SE_181",20,35304047,35339601,"CLB_Ma",-0.491480735094774,-0.0100625900689231,0.491480735094774,"24h",NA,NA,NA,NA,NA
"SE_116",9,38008247,38049251,"SK_N_SH",-0.491180776396041,-0.197274746159112,0.491180776396041,"24h",NA,NA,NA,NA,NA
"SE_37",2,207219797,207260201,"SK_N_SH",-0.4899345728849,-0.240742615993042,0.4899345728849,"24h",NA,NA,NA,NA,NA
"SE_17",1,203506147,203560001,"SK_N_SH",-0.489109572887628,-0.251440168151142,0.489109572887628,"24h",NA,NA,NA,NA,NA
"SE_159",14,52852497,52948096,"CLB_Ma",-0.489009120704115,0.0548368408149092,0.489009120704115,"24h",NA,NA,NA,NA,NA
"SE_46",3,98954747,98983151,"SK_N_SH",-0.488898646329005,-0.457119504256711,0.488898646329005,"24h",NA,NA,NA,NA,NA
"SE_73",4,114242047,114284101,"SK_N_SH",-0.488283595736538,-0.138412911636035,0.488283595736538,"24h",NA,NA,NA,NA,NA
"SE_155",13,45189747,45243251,"CLB_Ma",-0.260824922108716,0.485252052969051,0.485252052969051,"48h",NA,NA,NA,NA,NA
"SE_35",2,189247497,189288951,"SK_N_SH",-0.337691418107347,-0.483663509629887,0.483663509629887,"48h",NA,NA,NA,NA,NA
"SE_108",8,127798959,127929451,"SK_N_SH",-0.483318942624075,-0.138806349751592,0.483318942624075,"24h",NA,NA,NA,NA,NA
