"se_id","chr","start","end","cell_line","log2fc_24h","log2fc_48h","max_abs_change","primary_effect","peak_id","annotation","gene_name","distance_to_tss","gene_description"
"SE_243","4",102787947,102822859,"SK_N_SH",0.130471679771685,1.2290085107783,1.2290085107783,"48h",NA,NA,NA,NA,NA
"SE_118","14",77562347,77613766,"CLB_Ma",0.696865153746984,1.19237329370698,1.19237329370698,"48h",NA,NA,NA,NA,NA
"SE_134","16",9094677,9130401,"CLB_Ma",-0.929009393001204,-0.471803737834666,0.929009393001204,"24h",NA,NA,NA,NA,NA
"SE_142","17",16002690,16048251,"CLB_Ma",0.234784375821021,0.886210123595719,0.886210123595719,"48h",NA,NA,NA,NA,NA
"SE_51","10",90910747,90944298,"SK_N_SH",-0.880848667317388,-0.581996124841841,0.880848667317388,"24h",NA,NA,NA,NA,NA
"SE_317","9",2800697,2841129,"CLB_Ma",-0.875827743857042,0.23270110751741,0.875827743857042,"24h",NA,NA,NA,NA,NA
"SE_322","9",35507297,35534101,"SK_N_SH",-0.864685995580989,-0.175683291859485,0.864685995580989,"24h",NA,NA,NA,NA,NA
"SE_298","7",130352297,130375251,"SK_N_SH",-0.80823280803226,-0.21207968366702,0.80823280803226,"24h",NA,NA,NA,NA,NA
"SE_281","6",44654997,44669401,"SK_N_SH",-0.805523907255043,-0.713205630036046,0.805523907255043,"24h",NA,NA,NA,NA,NA
"SE_51","10",90910747,90944298,"CLB_Ma",-0.787401650329137,-0.248108037509081,0.787401650329137,"24h",NA,NA,NA,NA,NA
"SE_36","1",219293047,219342601,"SK_N_SH",-0.781507211937752,-0.606998391440399,0.781507211937752,"24h",NA,NA,NA,NA,NA
"SE_243","4",102787947,102822859,"CLB_Ma",-0.764935269798901,-0.225686533992775,0.764935269798901,"24h",NA,NA,NA,NA,NA
"SE_102","12",121921554,121965951,"SK_N_SH",-0.717225146303845,-0.163932192905483,0.717225146303845,"24h",NA,NA,NA,NA,NA
"SE_157","18",77063747,77109201,"SK_N_SH",-0.708883256953118,-0.335008149575716,0.708883256953118,"24h",NA,NA,NA,NA,NA
"SE_304","8",38891897,38939851,"CLB_Ma",0.0345076705331602,0.708624453909007,0.708624453909007,"48h",NA,NA,NA,NA,NA
"SE_330","9",115664947,115693701,"SK_N_SH",-0.7044527797958,-0.573577023790329,0.7044527797958,"24h",NA,NA,NA,NA,NA
"SE_228","3",172753682,172817751,"CLB_Ma",-0.0467532329741476,0.683044953632665,0.683044953632665,"48h",NA,NA,NA,NA,NA
"SE_161","2",62709894,62829051,"SK_N_SH",0.386558610927064,0.669888740735309,0.669888740735309,"48h",NA,NA,NA,NA,NA
"SE_25","1",178096991,178139351,"SK_N_SH",-0.668135393976065,0.463160701169598,0.668135393976065,"24h",NA,NA,NA,NA,NA
"SE_322","9",35507297,35534101,"CLB_Ma",-0.651731547182463,0.0286704726097886,0.651731547182463,"24h",NA,NA,NA,NA,NA
"SE_67","11",74120547,74164051,"CLB_Ma",-0.647738571309352,0.120467924264144,0.647738571309352,"24h",NA,NA,NA,NA,NA
"SE_204","3",48011697,48086278,"CLB_Ma",0.641961311217109,0.364020870670262,0.641961311217109,"24h",NA,NA,NA,NA,NA
"SE_259","5",61350847,61505451,"CLB_Ma",-0.641379076282344,0.209479948226288,0.641379076282344,"24h",NA,NA,NA,NA,NA
"SE_60","11",13207347,13236401,"SK_N_SH",-0.629095641004801,-0.409061512800241,0.629095641004801,"24h",NA,NA,NA,NA,NA
"SE_31","1",203504597,203560001,"CLB_Ma",0.269341307285009,0.620279291168428,0.620279291168428,"48h",NA,NA,NA,NA,NA
"SE_130","15",90391238,90424151,"CLB_Ma",-0.0190784663749605,0.611594070543243,0.611594070543243,"48h",NA,NA,NA,NA,NA
