PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_M_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-225	chr12	122071348	122131051	+	0	NA	intron (NM_014938, intron 1 of 16)	intron (NM_014938, intron 1 of 16)	22443	NM_014938	22877		NM_014938	ENSG00000175727	MLXIP	MIR|MONDOA|bHLHe36	MLX interacting protein	protein-coding
*-110	chr3	120403648	120448070	+	0	NA	intron (NM_007085, intron 2 of 10)	intron (NM_007085, intron 2 of 10)	25133	NM_007085	11167		NM_007085	ENSG00000163430	FSTL1	FRP|FSL1|MIR198|OCC-1|OCC1|tsc36	follistatin like 1	protein-coding
*-254	chr1	36231048	36302301	+	0	NA	intron (NM_001321471, intron 3 of 12)	intron (NM_001321471, intron 3 of 12)	-39694	NM_001162530	79729		NM_024676	ENSG00000214193	SH3D21	C1orf113	SH3 domain containing 21	protein-coding
*-256	chr1	42922448	42968101	+	0	NA	intron (NM_006516, intron 1 of 9)	intron (NM_006516, intron 1 of 9)	13594	NM_006516	6513		NM_006516	ENSG00000117394	SLC2A1	CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN	solute carrier family 2 member 1	protein-coding
*-12	chr2	69754598	69803851	+	0	NA	intron (NM_001365496, intron 2 of 13)	intron (NM_001365496, intron 2 of 13)	19774	NR_164155	107985770		NR_164153	ENSG00000288869	SMANTIS	ANXA4-AS|n342419	SMARCA4 interacting SWI/SNF chromatin remodeling complex scaffold lncRNA	ncRNA
*-160	chr11	35141868	35186351	+	0	NA	intron (NM_001202557, intron 1 of 8)	intron (NM_001202557, intron 1 of 8)	1159	NR_145794	109623487		NR_145794		SNORD164	-	small nucleolar RNA, C/D box 164	snoRNA
*-52	chr4	102787948	102822859	+	0	NA	intron (NM_003340, intron 4 of 7)	intron (NM_003340, intron 4 of 7)	20457	NM_001300795	7323		NM_003340	ENSG00000109332	UBE2D3	E2(17)KB3|UBC4/5|UBCH5C	ubiquitin conjugating enzyme E2 D3	protein-coding
*-347	chr6	152704948	152760451	+	0	NA	Intergenic	Intergenic	-18098	NM_194435	7432		NM_003381	ENSG00000146469	VIP	PHM27	vasoactive intestinal peptide	protein-coding
*-242	chr13	45177148	45292701	+	0	NA	intron (NM_004128, intron 5 of 7)	AluSp|SINE|Alu	-33879	NM_198404	386618		NM_198404	ENSG00000180332	KCTD4	bA321C24.3	potassium channel tetramerization domain containing 4	protein-coding
*-349	chr6	166534948	166624276	+	0	NA	intron (NM_001006932, intron 2 of 21)	intron (NM_001006932, intron 2 of 21)	-34922	NM_001318938	6196		NM_021135	ENSG00000071242	RPS6KA2	HU-2|MAPKAPK1C|RSK|RSK3|S6K-alpha|S6K-alpha2|p90-RSK3|p90RSK2|pp90RSK3	ribosomal protein S6 kinase A2	protein-coding
