Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	-1	-1	-1
1	25001	-1	-1	-1
1	50001	-1	-1	-1
1	75001	-1	-1	-1
1	100001	-1	-1	-1
1	125001	-1	-1	-1
1	150001	-1	-1	-1
1	175001	-1	-1	-1
1	200001	-1	-1	-1
1	225001	-1	-1	-1
1	250001	-1	-1	-1
1	275001	-1	-1	-1
1	300001	-1	-1	-1
1	325001	-1	-1	-1
1	350001	-1	-1	-1
1	375001	-1	-1	-1
1	400001	-1	-1	-1
1	425001	-1	-1	-1
1	450001	-1	-1	-1
1	475001	-1	-1	-1
1	500001	-1	-1	-1
1	525001	-1	-1	-1
1	550001	-1	-1	-1
1	575001	-1	-1	-1
1	600001	-1	-1	-1
1	625001	-1	-1	-1
1	650001	-1	-1	-1
1	675001	-1	-1	-1
1	700001	-1	-1	-1
1	725001	-1	-1	-1
1	750001	-1	-1	-1
1	775001	-1	-1	-1
1	800001	-1	-1	-1
1	825001	-1	-1	-1
1	850001	-1	-1	-1
1	875001	0.65154	0.518772	-1
1	900001	0.720195	0.518772	-1
1	925001	0.633715	0.518772	-1
1	950001	0.530936	0.518772	-1
1	975001	0.697692	0.518772	-1
1	1000001	0.988943	0.518772	-1
1	1025001	0.45846	0.518772	-1
1	1050001	0.43185	0.518772	-1
1	1075001	0.615844	0.518772	-1
1	1100001	0.635548	0.518772	-1
1	1125001	0.500457	0.518772	-1
1	1150001	0.462402	0.518772	-1
1	1175001	0.388289	0.518772	-1
1	1200001	0.431365	0.518772	-1
1	1225001	0.665475	0.518772	-1
1	1250001	0.535269	0.518772	-1
1	1275001	0.614294	0.518772	-1
1	1300001	0.681373	0.518772	-1
1	1325001	0.569453	0.518772	-1
1	1350001	0.631862	0.518772	-1
1	1375001	0.629745	0.518772	-1
1	1400001	0.591538	0.518772	-1
1	1425001	0.561998	0.518772	-1
1	1450001	0.699107	0.518772	-1
1	1475001	0.398742	0.518772	-1
1	1500001	0.684002	0.518772	-1
1	1525001	0.495151	0.518772	-1
1	1550001	0.585788	0.518772	-1
1	1575001	0.561118	0.518772	-1
1	1600001	0.529737	0.518772	-1
1	1625001	-1	0.518772	-1
1	1650001	0.714219	0.518772	-1
1	1675001	-1	0.518772	-1
1	1700001	-1	0.518772	-1
1	1725001	-1	0.518772	-1
1	1750001	0.411417	0.518772	-1
1	1775001	0.608931	0.518772	-1
1	1800001	0.434504	0.518772	-1
1	1825001	0.324537	0.518772	-1
1	1850001	0.544914	0.518772	-1
1	1875001	0.6772	0.518772	-1
1	1900001	0.873209	0.518772	-1
1	1925001	0.603399	0.518772	-1
1	1950001	0.532064	0.518772	-1
1	1975001	0.511695	0.518772	-1
1	2000001	0.590948	0.518772	-1
1	2025001	0.512203	0.518772	-1
1	2050001	0.576845	0.518772	-1
1	2075001	0.442091	0.518772	-1
1	2100001	0.435105	0.518772	-1
1	2125001	0.610281	0.518772	-1
1	2150001	0.445443	0.518772	-1
1	2175001	0.779429	0.518772	-1
1	2200001	0.709925	0.518772	-1
1	2225001	0.819039	0.518772	-1
1	2250001	0.547504	0.518772	-1
1	2275001	0.471364	0.518772	-1
1	2300001	0.560215	0.518772	-1
1	2325001	0.492201	0.518772	-1
1	2350001	0.55671	0.518772	-1
1	2375001	0.514378	0.518772	-1
1	2400001	0.726847	0.518772	-1
1	2425001	0.539585	0.518772	-1
1	2450001	-1	0.518772	-1
1	2475001	-1	0.518772	-1
1	2500001	-1	0.518772	-1
1	2525001	-1	0.518772	-1
1	2550001	-1	0.518772	-1
1	2575001	-1	0.518772	-1
1	2600001	-1	0.518772	-1
1	2625001	-1	0.518772	-1
1	2650001	-1	0.518772	-1
1	2675001	-1	0.518772	-1
1	2700001	-1	0.518772	-1
1	2725001	-1	0.518772	-1
1	2750001	-1	0.518772	-1
1	2775001	-1	0.518772	-1
1	2800001	0.449617	0.518772	-1
1	2825001	0.449533	0.518772	-1
1	2850001	0.489897	0.518772	-1
1	2875001	0.473119	0.518772	-1
1	2900001	0.467604	0.518772	-1
1	2925001	0.365836	0.518772	-1
1	2950001	0.370782	0.518772	-1
1	2975001	0.395927	0.518772	-1
1	3000001	0.438547	0.518772	-1
1	3025001	0.424336	0.518772	-1
