"se_id","chr","start","end","cell_line","log2fc_24h","log2fc_48h","max_abs_change","primary_effect","peak_id","annotation","gene_name","distance_to_tss","gene_description"
"SE_243","4",102787947,102822859,"CLB_Ma",1.78103897981188,0.0649754301824016,1.78103897981188,"24h",NA,NA,NA,NA,NA
"SE_243","4",102787947,102822859,"SK_N_SH",-0.057006461656569,-1.65860340888281,1.65860340888281,"48h",NA,NA,NA,NA,NA
"SE_134","16",9094677,9130401,"CLB_Ma",0.50535267158328,-1.12626947387972,1.12626947387972,"48h",NA,NA,NA,NA,NA
"SE_51","10",90910747,90944298,"CLB_Ma",-0.672220631133991,-1.07091917585284,1.07091917585284,"48h",NA,NA,NA,NA,NA
"SE_240","4",88010644,88041951,"CLB_Ma",1.05328004546057,0.449132177006691,1.05328004546057,"24h",NA,NA,NA,NA,NA
"SE_4","1",36231047,36302301,"CLB_Ma",0.964622381591838,0.266256693958122,0.964622381591838,"24h",NA,NA,NA,NA,NA
"SE_118","14",77562347,77613766,"CLB_Ma",0.939366095249238,0.825312538044687,0.939366095249238,"24h",NA,NA,NA,NA,NA
"SE_120","14",103388361,103457151,"CLB_Ma",0.922599710358325,0.0595261843224161,0.922599710358325,"24h",NA,NA,NA,NA,NA
"SE_130","15",90391238,90424151,"CLB_Ma",0.879819623985774,0.114935007216996,0.879819623985774,"24h",NA,NA,NA,NA,NA
"SE_169","2",108537352,108599501,"CLB_Ma",-0.373433636541873,-0.871065509953418,0.871065509953418,"48h",NA,NA,NA,NA,NA
"SE_25","1",178096991,178139351,"CLB_Ma",0.870237640848814,-0.530030226879939,0.870237640848814,"24h",NA,NA,NA,NA,NA
"SE_89","12",68613836,68658601,"SK_N_SH",-0.507732222070618,-0.86664932518879,0.86664932518879,"48h",NA,NA,NA,NA,NA
"SE_161","2",62709894,62829051,"SK_N_SH",-0.357621764360186,-0.854116963906263,0.854116963906263,"48h",NA,NA,NA,NA,NA
"SE_239","4",79996847,80070322,"CLB_Ma",0.853797998841662,0.125707431396125,0.853797998841662,"24h",NA,NA,NA,NA,NA
"SE_322","9",35507297,35534101,"CLB_Ma",-0.586261503774208,-0.84282847082795,0.84282847082795,"48h",NA,NA,NA,NA,NA
