Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	-1	-1	-1
1	25001	-1	-1	-1
1	50001	-1	-1	-1
1	75001	-1	-1	-1
1	100001	-1	-1	-1
1	125001	-1	-1	-1
1	150001	-1	-1	-1
1	175001	-1	-1	-1
1	200001	-1	-1	-1
1	225001	-1	-1	-1
1	250001	-1	-1	-1
1	275001	-1	-1	-1
1	300001	-1	-1	-1
1	325001	-1	-1	-1
1	350001	-1	-1	-1
1	375001	-1	-1	-1
1	400001	-1	-1	-1
1	425001	-1	-1	-1
1	450001	-1	-1	-1
1	475001	-1	-1	-1
1	500001	-1	-1	-1
1	525001	-1	-1	-1
1	550001	-1	-1	-1
1	575001	-1	-1	-1
1	600001	-1	-1	-1
1	625001	-1	-1	-1
1	650001	-1	-1	-1
1	675001	-1	-1	-1
1	700001	-1	-1	-1
1	725001	-1	-1	-1
1	750001	-1	-1	-1
1	775001	-1	-1	-1
1	800001	-1	-1	-1
1	825001	-1	-1	-1
1	850001	-1	-1	-1
1	875001	0.806467	0.574174	-1
1	900001	0.963298	0.574174	-1
1	925001	0.958054	0.574174	-1
1	950001	0.61749	0.574174	-1
1	975001	0.742277	0.574174	-1
1	1000001	1.17549	0.574174	-1
1	1025001	0.722213	0.574174	-1
1	1050001	0.538493	0.574174	-1
1	1075001	0.643824	0.574174	-1
1	1100001	0.949076	0.574174	-1
1	1125001	0.350791	0.574174	-1
1	1150001	0.540998	0.574174	-1
1	1175001	0.505979	0.574174	-1
1	1200001	0.42993	0.574174	-1
1	1225001	0.52068	0.574174	-1
1	1250001	0.842772	0.574174	-1
1	1275001	0.634413	0.574174	-1
1	1300001	1.08947	0.574174	-1
1	1325001	0.555075	0.574174	-1
1	1350001	0.625467	0.574174	-1
1	1375001	1.04121	0.574174	-1
1	1400001	0.748068	0.574174	-1
1	1425001	0.703086	0.574174	-1
1	1450001	0.75262	0.574174	-1
1	1475001	0.637946	0.574174	-1
1	1500001	0.930458	0.574174	-1
1	1525001	0.674115	0.574174	-1
1	1550001	0.619839	0.574174	-1
1	1575001	0.569603	0.574174	-1
1	1600001	0.651658	0.574174	-1
1	1625001	-1	0.574174	-1
1	1650001	0.758547	0.574174	-1
1	1675001	-1	0.574174	-1
1	1700001	-1	0.574174	-1
1	1725001	-1	0.574174	-1
1	1750001	0.510385	0.574174	-1
1	1775001	0.6137	0.574174	-1
1	1800001	0.621092	0.574174	-1
1	1825001	0.85016	0.574174	-1
1	1850001	0.649818	0.574174	-1
1	1875001	0.823437	0.574174	-1
1	1900001	1.05573	0.574174	-1
1	1925001	0.567831	0.574174	-1
1	1950001	0.44739	0.574174	-1
1	1975001	0.424258	0.574174	-1
1	2000001	0.531752	0.574174	-1
1	2025001	0.555397	0.574174	-1
1	2050001	0.605527	0.574174	-1
1	2075001	0.45584	0.574174	-1
1	2100001	0.465802	0.574174	-1
1	2125001	0.657439	0.574174	-1
1	2150001	0.505548	0.574174	-1
1	2175001	1.19787	0.574174	-1
1	2200001	1.14928	0.574174	-1
1	2225001	0.8412	0.574174	-1
1	2250001	0.513395	0.574174	-1
1	2275001	0.593462	0.574174	-1
1	2300001	0.502128	0.574174	-1
1	2325001	0.487782	0.574174	-1
1	2350001	0.565062	0.574174	-1
1	2375001	0.714656	0.574174	-1
1	2400001	0.659803	0.574174	-1
1	2425001	0.503239	0.574174	-1
1	2450001	-1	0.574174	-1
1	2475001	-1	0.574174	-1
1	2500001	-1	0.574174	-1
1	2525001	-1	0.574174	-1
1	2550001	-1	0.574174	-1
1	2575001	-1	0.574174	-1
1	2600001	-1	0.574174	-1
1	2625001	-1	0.574174	-1
1	2650001	-1	0.574174	-1
1	2675001	-1	0.574174	-1
1	2700001	-1	0.574174	-1
1	2725001	-1	0.574174	-1
1	2750001	-1	0.574174	-1
1	2775001	-1	0.574174	-1
1	2800001	0.440966	0.574174	-1
1	2825001	0.46525	0.574174	-1
1	2850001	0.518883	0.574174	-1
1	2875001	0.601734	0.574174	-1
1	2900001	0.529935	0.574174	-1
1	2925001	0.453293	0.574174	-1
1	2950001	0.613218	0.574174	-1
1	2975001	0.49809	0.574174	-1
1	3000001	0.531393	0.574174	-1
1	3025001	0.58219	0.574174	-1
