#'chr'	'start'	'end'	'CM_control_ATAC_S165169_REP1.mLb.clN.bigWig'	'CM_24h_ATAC_S165170_REP1.mLb.clN.bigWig'	'CM_48h_ATAC_S165167_REP1.mLb.clN.bigWig'	'SH_control_ATAC_S165166_REP1.mLb.clN.bigWig'	'SH_24h_ATAC_S165164_REP1.mLb.clN.bigWig'	'SH_48h_ATAC_S165165_REP1.mLb.clN.bigWig'
7	18492447	18592001	0.1341095117686181	0.17558257226241758	0.11667154867132976	0.2894905261667862	0.3097182090812629	0.22688895127633063
7	23449697	23478301	0.41371451954771526	0.5130708935621705	0.47745047761685194	0.6776579179165231	0.7018614605360398	0.5877704396341848
7	130355747	130375151	0.5586726336297518	0.48268213190382836	0.42030274853443805	0.48678574938662533	0.36750334138143026	0.3308372581598302
7	130880747	130926401	0.23886883230675804	0.2938057354334484	0.21431626191616593	0.4266403215981167	0.28293532066402943	0.3627827384585878
7	134809197	134848151	0.13422604418605127	0.1479472812712341	0.12779250881935073	0.15190189459682804	0.14617754584540057	0.1532255542111958
7	134879597	134946501	0.14079016255498197	0.18396346991351978	0.1366704427649648	0.1943204940317021	0.18391312751757488	0.1766783200013972
4	15676347	15693351	0.367121646601317	0.39694712234961865	0.284322593778772	0.33345867295692144	0.27643915151025533	0.2972252130705626
4	41142347	41206251	0.13348840345410348	0.16398896755522696	0.11063021706024945	0.14838845224419417	0.11797604465020933	0.11194520246310281
4	48345947	48381151	0.17485352462859866	0.10197017037369852	0.17765517877311202	0.11481846754365731	0.2295200477177112	0.14640899752302924
4	69763710	69800501	0.17118241394444567	0.1552095257055415	0.12799126874990696	0.17398870767095279	0.22564815480917985	0.18549278079222611
4	76579597	76591951	0.39120677743967186	0.4875681036379295	0.4002752715332198	0.24446506103026158	0.23911928224040463	0.24229149560999474
4	76687447	76709901	0.2051840694047003	0.23919388039127318	0.18843926501082436	0.191711498461582	0.23810143283910767	0.2155140087187654
4	76722897	76784501	0.16765702280018738	0.17874505915169667	0.14057437858340438	0.10716644748654623	0.10540412291880218	0.0887268642312793
4	76952711	77066251	0.171686397322025	0.24913893281035787	0.14175898594678554	0.11764032276506951	0.12683939642079017	0.15437713589968016
4	79996597	80039451	0.08505819764958746	0.12574183558915233	0.08491594328643232	0.09524018798093796	0.09732895820062264	0.08006620026782951
4	113890697	113976721	0.09702392060911938	0.09720599117255038	0.07273921758102944	0.12342353288559964	0.14234376925943798	0.09661332927372575
4	114242047	114284101	0.14230036894898004	0.1373958992303039	0.10203322291482517	0.13596580309531048	0.12067339249418933	0.10447544556994379
4	122758547	122785001	0.1717459720784208	0.21819925593540943	0.1363287727510767	0.14775663493372512	0.15680640092601464	0.11529902796777074
4	122873447	122913301	0.06982076045554021	0.08035929907065026	0.07092136438201155	0.07107556868749952	0.07920639442570791	0.05768822584919331
