"se_id","chr","start","end","control_accessibility","h24_accessibility","h48_accessibility","log2fc_24h","log2fc_48h","cell_line","change_24h","change_48h"
"SE_1",1,15876747,15919451,0.106044750528781,0.116560791816669,0.121012784545154,0.135192933496255,0.188818274095319,"CLB_Ma","No change","No change"
"SE_2",1,36342397,36377001,0.271988774899388,0.273260239892439,0.273380305255636,0.00670385689584134,0.00733530022740987,"CLB_Ma","No change","No change"
"SE_3",1,39102947,39272851,0.1271008119379,0.119890015197285,0.150519333768634,-0.0835845285026812,0.24222227249128,"CLB_Ma","No change","No change"
"SE_4",1,39375747,39427701,0.167140980974971,0.170417269313468,0.182780150482533,0.0278410648111378,0.128309558807505,"CLB_Ma","No change","No change"
"SE_5",1,51619871,51673751,0.151826787618188,0.144593843913425,0.141891247226153,-0.0699480865102553,-0.0969798952826975,"CLB_Ma","No change","No change"
"SE_6",1,85313097,85385301,0.123602696804088,0.105972711432927,0.123092798118194,-0.220092478902051,-0.00591590399750032,"CLB_Ma","No change","No change"
"SE_7",1,85427447,85462205,0.0615146761658389,0.0679012485554508,0.0657488253140224,0.140335204445172,0.0945475258956884,"CLB_Ma","No change","No change"
"SE_8",1,85548747,85585701,0.25933268508518,0.246967961564556,0.275760581450264,-0.0702027244481315,0.0882820217185904,"CLB_Ma","No change","No change"
"SE_9",1,115298747,115335151,0.170977681869332,0.138551536549659,0.153534504585149,-0.301423344150084,-0.154292353440515,"CLB_Ma","No change","No change"
"SE_10",1,156086247,156141351,0.515407407348231,0.531434570111542,0.553910723497369,0.0440945513235919,0.103745988131725,"CLB_Ma","No change","No change"
"SE_11",1,157996270,158050551,0.208463894118203,0.233996849502572,0.241279641142767,0.165939831409444,0.209971595684035,"CLB_Ma","No change","No change"
"SE_12",1,162653747,162723901,0.129503743707476,0.137822049364827,0.1525973568748,0.0891455386672015,0.235062196779996,"CLB_Ma","No change","No change"
"SE_13",1,163033097,163057701,0.257241119650318,0.261135558887304,0.299644433609879,0.021594330814319,0.219339508679129,"CLB_Ma","No change","No change"
"SE_14",1,181092697,181117901,0.34092826225551,0.337848810102617,0.326080066217912,-0.013051969086135,-0.0640498368497206,"CLB_Ma","No change","No change"
"SE_15",1,183026457,183071551,0.149659391864761,0.161352362323535,0.194897744110617,0.107837765818737,0.378810173103703,"CLB_Ma","No change","No change"
"SE_16",1,198254597,198295951,0.0845022564388696,0.079805637734592,0.0992090472886675,-0.0815065418152541,0.228978367994153,"CLB_Ma","No change","No change"
"SE_17",1,203506147,203560001,0.262113472895513,0.324522564367782,0.34268140172012,0.307072426154195,0.385386658017158,"CLB_Ma","No change","No change"
"SE_18",1,203663097,203697401,0.215234928657005,0.214977518004227,0.225264903339959,-0.00171843786087658,0.0654132390443418,"CLB_Ma","No change","No change"
"SE_19",1,204408247,204440051,0.327435833305656,0.336605514628007,0.394258629038916,0.0397269320533179,0.267185421010067,"CLB_Ma","No change","No change"
"SE_20",1,218449847,218501301,0.268249381433662,0.214148153188598,0.24864346906576,-0.323612573982663,-0.109073865613656,"CLB_Ma","No change","No change"
"SE_21",1,223704647,223734151,0.380248884663084,0.401932638924387,0.380763175282515,0.0798055564715278,0.00194483069807338,"CLB_Ma","No change","No change"
"SE_22",1,223747397,223789651,0.127938210088837,0.123808799349183,0.13287745949391,-0.0469602097601499,0.0542332179573233,"CLB_Ma","No change","No change"
"SE_23",1,234956997,235001201,0.302372966234736,0.305484663341884,0.352028740358563,0.0147223506778383,0.218693107455876,"CLB_Ma","No change","No change"
"SE_24",1,243246597,243291601,0.312177270041013,0.330474844474686,0.318426358451662,0.0819198811204766,0.0285038584115132,"CLB_Ma","No change","No change"
"SE_25",2,36339747,36515551,0.16300556645127,0.153890882472807,0.162612723456021,-0.0824925581004667,-0.00345983682951379,"CLB_Ma","No change","No change"
"SE_26",2,55096397,55115801,0.231486008164647,0.23288232827694,0.268319438933663,0.00863896608530409,0.212174472103251,"CLB_Ma","No change","No change"
"SE_27",2,62710647,62744101,0.105414028678529,0.134399209906414,0.123320312154017,0.34753096494226,0.224373675852255,"CLB_Ma","No change","No change"
"SE_28",2,68028247,68060026,0.118395768588842,0.116864951027742,0.139397754424269,-0.0186169337605062,0.23376815271421,"CLB_Ma","No change","No change"
"SE_29",2,69116247,69192151,0.225540871179379,0.211023036863832,0.261287210145167,-0.0955503304198903,0.211376103132571,"CLB_Ma","No change","No change"
"SE_30",2,117936997,117987701,0.158277635863103,0.17982001405367,0.179384485030858,0.183010658617049,0.179531544334283,"CLB_Ma","No change","No change"
"SE_31",2,160204847,160243551,0.358915468676377,0.33976891106876,0.406512747626278,-0.0788643866334982,0.17918708111011,"CLB_Ma","No change","No change"
"SE_32",2,160313747,160455451,0.10302973866432,0.0981452347345823,0.108528213594231,-0.0693806678773539,0.0743065382741659,"CLB_Ma","No change","No change"
"SE_33",2,177215997,177261130,0.187375438369914,0.205923530611068,0.175627715153189,0.135486843563746,-0.0928991310347745,"CLB_Ma","No change","No change"
"SE_34",2,189080997,189129951,0.0903496740204414,0.0970697040270653,0.104513387446619,0.102407943167956,0.207954572690027,"CLB_Ma","No change","No change"
"SE_35",2,189247497,189288951,0.145456178761478,0.135687706183296,0.166046276439726,-0.0995855681177193,0.189778764914286,"CLB_Ma","No change","No change"
"SE_36",2,189366697,189413251,0.125174361504188,0.131575350076345,0.136213311779105,0.0713937720353986,0.121001665666033,"CLB_Ma","No change","No change"
"SE_37",2,207219797,207260201,0.321654947499888,0.28650450324826,0.27143563548433,-0.166407594036543,-0.24407672254297,"CLB_Ma","No change","No change"
"SE_38",2,223034497,223094701,0.264282852575025,0.229543383165301,0.248467046071524,-0.202493165770018,-0.0886821732682705,"CLB_Ma","No change","No change"
"SE_39",2,233402847,233443401,0.197923652759605,0.171565850928734,0.217204940768873,-0.205067830444316,0.13346894051515,"CLB_Ma","No change","No change"
"SE_40",3,8442247,8465001,0.252040546592892,0.209070534702363,0.216108703503486,-0.268494759066589,-0.220951015134982,"CLB_Ma","No change","No change"
"SE_41",3,8504804,8566501,0.137136819270707,0.11554045895094,0.127894297598928,-0.245267012420717,-0.0999094707744107,"CLB_Ma","No change","No change"
"SE_42",3,8928147,8957701,0.142972325625622,0.122126838000399,0.149310521825811,-0.225646262489076,0.0621544789625049,"CLB_Ma","No change","No change"
"SE_43",3,15766847,15817451,0.12761622894237,0.128906308119893,0.141024106693292,0.0143987932528566,0.143063133652911,"CLB_Ma","No change","No change"
"SE_44",3,57998447,58082501,0.179412201779275,0.172723553437021,0.196480692478458,-0.0545035474901558,0.130414693727821,"CLB_Ma","No change","No change"
