PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_AM_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-45	chr5	168650098	168920151	+	0	NA	intron (NM_003062, intron 12 of 35)	intron (NM_003062, intron 12 of 35)	-16869	NR_029632	407001		NR_029632	ENSG00000207739	MIR218-2	MIRN218-2|mir-218-2	microRNA 218-2	ncRNA
*-112	chr14	68871448	68982701	+	0	NA	intron (NM_001130004, intron 1 of 21)	intron (NM_001130004, intron 1 of 21)	52228	NM_001130004	87		NM_001102	ENSG00000072110	ACTN1	BDPLT15	actinin alpha 1	protein-coding
*-114	chr14	88817148	88947751	+	0	NA	Intergenic	AluJb|SINE|Alu	57798	NM_001366536	123016		NM_144596	ENSG00000165533	TTC8	BBS8|RP51	tetratricopeptide repeat domain 8	protein-coding
*-100	chr12	78867667	78972101	+	0	NA	intron (NM_001291901, intron 1 of 9)	intron (NM_001291901, intron 1 of 9)	55110	NM_001291901	6857		NM_005639	ENSG00000067715	SYT1	BAGOS|P65|SVP65|SYT	synaptotagmin 1	protein-coding
*-13	chr11	12677420	12903751	+	0	NA	intron (NM_021961, intron 3 of 12)	intron (NM_021961, intron 3 of 12)	116164	NM_021961	7003		NM_021961	ENSG00000187079	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	TEA domain transcription factor 1	protein-coding
*-49	chr2	29190348	29463551	+	0	NA	intron (NM_004304, intron 6 of 28)	intron (NM_004304, intron 6 of 28)	-103049	NM_001353765	238		NM_004304	ENSG00000171094	ALK	ALK1|CD246|NBLST3	ALK receptor tyrosine kinase	protein-coding
*-129	chr1	66436098	66647101	+	0	NA	intron (NM_001376546, intron 1 of 23)	intron (NM_001376546, intron 1 of 23)	7446	NM_001376538	84251		NM_032291	ENSG00000118473	SGIP1	-	SH3GL interacting endocytic adaptor 1	protein-coding
*-137	chr18	55224948	55356551	+	0	NA	intron (NM_001243228, intron 8 of 19)	intron (NM_001243228, intron 8 of 19)	11911	NM_001243236	6925		NM_003199	ENSG00000196628	TCF4	CDG2T|E2-2|FCD2|FECD3|ITF-2|ITF2|PTHS|SEF-2|SEF2|SEF2-1|SEF2-1A|SEF2-1B|SEF2-1D|TCF-4|bHLHb19	transcription factor 4	protein-coding
*-80	chr3	42012848	42082401	+	0	NA	Intergenic	Intergenic	-39576	NR_146089	22906		NM_014965	ENSG00000182606	TRAK1	DEE68|EIEE68|MILT1|OIP106	trafficking kinesin protein 1	protein-coding
*-101	chr12	108627198	108734551	+	0	NA	intron (NM_014325, intron 2 of 10)	intron (NM_014325, intron 2 of 10)	22124	NM_001105237	23603		NM_014325	ENSG00000110880	CORO1C	HCRNN4	coronin 1C	protein-coding
*-17	chr11	73311698	73365401	+	0	NA	intron (NM_014786, intron 1 of 20)	intron (NM_014786, intron 1 of 20)	-29188	NR_147696	100287837		NR_147696	ENSG00000257038	ARHGEF17-AS1	-	ARHGEF17 antisense RNA 1	ncRNA
*-135	chr1	234494148	234632601	+	0	NA	Intergenic	AluSq2|SINE|Alu	-31595	NR_038426	100506795		NR_038426	ENSG00000231768	LINC01354	-	long intergenic non-protein coding RNA 1354	ncRNA
*-156	chr15	38860498	38898601	+	0	NA	Intergenic	Intergenic	182951	NR_160786	400359		NM_207444	ENSG00000175779	LINC02694	C15orf53	long intergenic non-protein coding RNA 2694	ncRNA
*-11	chr4	174191498	174229651	+	0	NA	intron (NR_125896, intron 1 of 4)	intron (NR_125896, intron 1 of 4)	9824	NR_125896	101928509		NR_125896	ENSG00000248174	LINC02268	-	long intergenic non-protein coding RNA 2268	ncRNA
*-117	chr22	27835398	27893001	+	0	NA	intron (NM_001284278, intron 8 of 11)	intron (NM_001284278, intron 8 of 11)	55015	NM_001284278	23760		NM_012399	ENSG00000180957	PITPNB	PI-TP-beta|PtdInsTP|VIB1B	phosphatidylinositol transfer protein beta	protein-coding
*-99	chr12	39294548	39440389	+	0	NA	intron (NM_001378440, intron 4 of 36)	intron (NM_001378440, intron 4 of 36)	75652	NM_001173465	55605		NM_017641	ENSG00000139116	KIF21A	CFEOM1|FEOM1|FEOM3A	kinesin family member 21A	protein-coding
*-115	chr14	99505598	99601389	+	0	NA	intron (NM_001144995, intron 1 of 5)	AluSx4|SINE|Alu	50714	NM_001144995	317762		NM_022747	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
*-7	chr4	140923398	140953651	+	0	NA	intron (NM_020724, intron 4 of 6)	intron (NM_020724, intron 4 of 6)	-182139	NM_015130	23158		NM_015130	ENSG00000109436	TBC1D9	GRAMD9|MDR1	TBC1 domain family member 9	protein-coding
*-18	chr11	78194748	78460801	+	0	NA	intron (NM_080491, intron 1 of 9)	MIRc|SINE|MIR	14106	NM_012296	9846		NM_012296	ENSG00000033327	GAB2	-	GRB2 associated binding protein 2	protein-coding
*-6	chr4	139711648	139988751	+	0	NA	intron (NM_018717, intron 2 of 4)	intron (NM_018717, intron 2 of 4)	184380	NM_002413	4258		NM_002413	ENSG00000085871	MGST2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
