ensembl_id	gene_symbol	baseMean	MeanExpr_DMSO	MeanExpr_TDI	log2FoldChange	lfcSE	FoldChange	pvalue	padj	gene_biotype	location	DMSO-OE_mCherry_DMSO_RNA_S165187_R1	DMSO-OE_mCherry_DMSO_RNA_S165187_R2	DMSO-OE_WWTR1_DMSO_RNA_S165191_R1	DMSO-OE_WWTR1_DMSO_RNA_S165191_R2	TDI-OE_mCherrry_TDI_RNA_S165184_R1	TDI-OE_mCherrry_TDI_RNA_S165184_R2	TDI-OE_WWTR1_TDI_RNA_S165188_R1	TDI-OE_WWTR1_TDI_RNA_S165188_R2
ENSG00000102241	HTATSF1	5045.29955762879	1502.04113737035	8588.55797788723	2.51268837030325	0.0596458242815712	5.70682518555038	0	0	protein_coding	chrX:136497079-136512346:+	1458.28728515483	1357.83703071594	1562.71943984897	1629.32079376166	8510.04538072355	8490.92549443262	8692.52128666694	8660.73974972583
ENSG00000130600	H19	5374.31531704728	10271.5198622304	477.110771864118	-4.44649870228926	0.0652451138485167	-21.8036642134245	0	0	lncRNA	chr11:1995176-2001470:-	6272.23199107652	6191.47061750965	14342.7544954763	14279.6223448592	260.047961764698	278.50235621739	710.536039556987	659.356729917399
ENSG00000132872	SYT4	5002.29586577725	2405.84034084114	7598.75139071337	1.65955788984308	0.0545728437897734	3.15919697137257	1.53486593924568e-204	7.40470491290093e-201	protein_coding	chr18:43267892-43277535:-	2092.96158717933	2215.13805795228	2679.62370333885	2635.63801489409	7167.26984581215	7207.09755967441	8024.92528142754	7995.71287593936
ENSG00000143153	ATP1B1	3474.94158013255	2021.20813914942	4928.67502111568	1.28188059437366	0.047009139010143	2.43155730856002	8.07434030219973e-165	2.92149817984342e-161	protein_coding	chr1:169105697-169132722:+	1861.44517512008	1875.67880027329	2142.94173944159	2204.76684176272	4476.8851707521	4495.82375036644	5369.93485767811	5372.05630566608
ENSG00000167244	IGF2	3596.67570381183	6181.51371132596	1011.83769629771	-2.62014361058024	0.0972306713795259	-6.14811269792751	5.53121878414212e-162	1.60106658925778e-158	protein_coding	chr11:2129112-2141238:-	6096.59885089364	6037.04993558509	6208.28395273737	6384.12210608773	809.145516717665	884.026642906071	1242.83042722967	1111.34819833743
ENSG00000147256	ARHGAP36	8676.31696615674	14994.5937432589	2358.04018905458	-2.68689109805842	0.0999474847815266	-6.4392430158891	2.09914250447117e-161	5.06348157786854e-158	protein_coding	chrX:131058346-131089885:+	15004.6584988057	14193.3906093072	15165.2882285041	15615.0376364187	1922.80816338284	1905.84887669322	2839.71359024771	2763.79012589455
ENSG00000080644	CHRNA3	2912.96342068437	4598.3956227455	1227.53121862324	-1.89980220988866	0.0712042127683855	-3.7316203346678	4.47096013839418e-158	9.24402944042556e-155	protein_coding	chr15:78593052-78621295:-	4730.11979810713	4850.93935287146	4457.20523455409	4355.3181054493	1130.09690447186	1226.57483713861	1288.20102952749	1265.25210335501
ENSG00000183654	MARCHF11	1020.66813006422	401.107146374436	1640.22911375399	2.02604583758379	0.0790836066495836	4.07287020101666	6.45522399623394e-146	1.16783071121867e-142	protein_coding	chr5:16067139-16180762:-	385.86068676542	367.414725958431	415.526247179708	435.626925594187	1574.78858629997	1495.37327850522	1805.10181999198	1685.6527702188
ENSG00000189060	H1-0	2031.20098610621	2955.64904783056	1106.75292438186	-1.41247010338837	0.0574596046680518	-2.66192533145729	1.48400783056559e-134	2.38644948130842e-131	protein_coding	chr22:37805093-37807436:+	2724.97478101924	2851.45776450348	3125.43887969794	3120.72476610159	1060.49298905529	1057.72671873504	1120.49183889089	1188.30015084622
ENSG00000165731	RET	2695.19178458226	4212.68536522594	1177.69820393857	-1.84489729757611	0.0757139514877713	-3.59227375602426	3.73246932751304e-132	5.40200285770963e-129	protein_coding	chr10:43077064-43130351:+	3770.79029756276	4084.16079434952	4519.67615098657	4476.1142180049	1048.89233648586	967.48031062278	1400.8173459453	1293.60282270035
ENSG00000066583	ISOC1	2096.77155668308	1155.82801145461	3037.71510191155	1.389308182296	0.0598698350904758	2.61953035918866	3.01299795560917e-120	3.63392661762763e-117	protein_coding	chr5:129094749-129114028:+	1150.92928983479	1099.58175232487	1234.27386406	1138.52713959878	2962.03328939418	2912.14484671912	3086.82133490549	3189.86093662741
ENSG00000106366	SERPINE1	1221.51234461656	318.413614519342	2124.61107471377	2.73102714901249	0.120064332327123	6.63928162328182	7.63127820611098e-116	8.4959607290034e-113	protein_coding	chr7:101127104-101139247:+	638.665964301385	634.988493775984	0	0	4282.57424021417	4213.43982820874	0.810189326746849	1.62004110544815
ENSG00000066382	MPPED2	438.733335473866	67.855820605283	809.610850342448	3.58152025307015	0.164095008085926	11.9714023193259	5.58056872384711e-107	5.76911222430281e-104	protein_coding	chr11:30384493-30586872:-	73.1804750762004	82.5351920631258	68.1500906536195	47.5575246281863	837.180427093785	751.083009450383	806.948569439862	843.231395385764
