Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	1	-1	-1	-1
1	25001	-1	-1	-1
1	50001	-1	-1	-1
1	75001	-1	-1	-1
1	100001	-1	-1	-1
1	125001	-1	-1	-1
1	150001	-1	-1	-1
1	175001	-1	-1	-1
1	200001	-1	-1	-1
1	225001	-1	-1	-1
1	250001	-1	-1	-1
1	275001	-1	-1	-1
1	300001	-1	-1	-1
1	325001	-1	-1	-1
1	350001	-1	-1	-1
1	375001	-1	-1	-1
1	400001	-1	-1	-1
1	425001	-1	-1	-1
1	450001	-1	-1	-1
1	475001	-1	-1	-1
1	500001	-1	-1	-1
1	525001	-1	-1	-1
1	550001	-1	-1	-1
1	575001	-1	-1	-1
1	600001	-1	-1	-1
1	625001	-1	-1	-1
1	650001	-1	-1	-1
1	675001	-1	-1	-1
1	700001	-1	-1	-1
1	725001	-1	-1	-1
1	750001	-1	-1	-1
1	775001	-1	-1	-1
1	800001	-1	-1	-1
1	825001	-1	-1	-1
1	850001	-1	-1	-1
1	875001	1.31859	0.938935	-1
1	900001	1.22344	0.938935	-1
1	925001	0.940108	0.938935	-1
1	950001	0.846848	0.938935	-1
1	975001	1.89438	0.938935	-1
1	1000001	2.47707	0.938935	-1
1	1025001	0.785658	0.938935	-1
1	1050001	0.770483	0.938935	-1
1	1075001	1.10851	0.938935	-1
1	1100001	1.89103	0.938935	-1
1	1125001	0.504411	0.938935	-1
1	1150001	0.392702	0.938935	-1
1	1175001	0.803018	0.938935	-1
1	1200001	0.427968	0.938935	-1
1	1225001	0.682539	0.938935	-1
1	1250001	1.07864	0.938935	-1
1	1275001	0.617819	0.938935	-1
1	1300001	1.96964	0.938935	-1
1	1325001	0.614782	0.938935	-1
1	1350001	1.24439	0.938935	-1
1	1375001	2.1441	0.938935	-1
1	1400001	1.20986	0.938935	-1
1	1425001	0.844993	0.938935	-1
1	1450001	1.26561	0.938935	-1
1	1475001	0.75031	0.938935	-1
1	1500001	1.55615	0.938935	-1
1	1525001	0.79283	0.938935	-1
1	1550001	1.46011	0.938935	-1
1	1575001	1.2239	0.938935	-1
1	1600001	1.20453	0.938935	-1
1	1625001	-1	0.938935	-1
1	1650001	2.28741	0.938935	-1
1	1675001	-1	0.938935	-1
1	1700001	-1	0.938935	-1
1	1725001	-1	0.938935	-1
1	1750001	0.697887	0.938935	-1
1	1775001	1.3526	0.938935	-1
1	1800001	2.07944	0.938935	-1
1	1825001	2.71902	0.938935	-1
1	1850001	2.35668	0.938935	-1
1	1875001	2.70517	0.938935	-1
1	1900001	2.04764	0.938935	-1
1	1925001	0.893836	0.938935	-1
1	1950001	0.911921	0.938935	-1
1	1975001	0.975818	0.938935	-1
1	2000001	0.803783	0.938935	-1
1	2025001	0.995944	0.938935	-1
1	2050001	1.48639	0.938935	-1
1	2075001	0.668028	0.938935	-1
1	2100001	0.570914	0.938935	-1
1	2125001	2.1142	0.938935	-1
1	2150001	0.749475	0.938935	-1
1	2175001	2.00095	0.938935	-1
1	2200001	2.44649	0.938935	-1
1	2225001	1.51544	0.938935	-1
1	2250001	1.41854	0.938935	-1
1	2275001	0.702199	0.938935	-1
1	2300001	0.688548	0.938935	-1
1	2325001	0.669689	0.938935	-1
1	2350001	0.779347	0.938935	-1
1	2375001	1.38323	0.938935	-1
1	2400001	1.18293	0.938935	-1
1	2425001	0.41672	0.938935	-1
1	2450001	-1	0.938935	-1
1	2475001	-1	0.938935	-1
1	2500001	-1	0.938935	-1
1	2525001	-1	0.938935	-1
1	2550001	-1	0.938935	-1
1	2575001	-1	0.938935	-1
1	2600001	-1	0.938935	-1
1	2625001	-1	0.938935	-1
1	2650001	-1	0.938935	-1
1	2675001	-1	0.938935	-1
1	2700001	-1	0.938935	-1
1	2725001	-1	0.938935	-1
1	2750001	-1	0.938935	-1
1	2775001	-1	0.938935	-1
1	2800001	0.476175	0.938935	-1
1	2825001	0.730676	0.938935	-1
1	2850001	0.599994	0.938935	-1
1	2875001	0.642968	0.938935	-1
1	2900001	0.496846	0.938935	-1
1	2925001	0.443974	0.938935	-1
1	2950001	0.85878	0.938935	-1
1	2975001	0.726054	0.938935	-1
1	3000001	0.557146	0.938935	-1
1	3025001	1.15483	0.938935	-1
