PeakID (cmd=annotatePeaks.pl /home/abykov/neuroblastoma/temp_results/BEDs/CLB_SKN_M_u_chr.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
*-102	chr1	97091248	97148351	+	0	NA	intron (NM_000110, intron 20 of 22)	intron (NM_000110, intron 20 of 22)	23876	NR_046590	100873932		NR_046590	ENSG00000232878	DPYD-AS1	-	DPYD antisense RNA 1	ncRNA
*-7	chr4	88010645	88041951	+	0	NA	intron (NR_156488, intron 2 of 13)	THE1D-int|LTR|ERVL-MaLR	18663	NM_000297	5311		NM_000297	ENSG00000118762	PKD2	APKD2|PC2|PKD4|Pc-2|TRPP2	polycystin 2, transient receptor potential cation channel	protein-coding
*-22	chr12	27541148	27624851	+	0	NA	intron (NM_001198915, intron 2 of 26)	intron (NM_001198915, intron 2 of 26)	58793	NM_001198915	8496		NM_003622	ENSG00000110841	PPFIBP1	L2|NEDSMBA|SGT2|hSGT2|hSgt2p	PPFIA binding protein 1	protein-coding
*-190	chr9	115664948	115693701	+	0	NA	Intergenic	ERVL-B4-int|LTR|ERVL	64915	NR_109805	101928775		NR_109805		LOC101928775	-	uncharacterized LOC101928775	ncRNA
*-19	chr4	159262098	159310151	+	0	NA	intron (NM_001351728, intron 1 of 24)	L2a|LINE|L2	18315	NM_014247	9693		NM_014247	ENSG00000109756	RAPGEF2	CNrasGEF|NRAPGEP|PDZ-GEF1|PDZGEF1|RA-GEF|RA-GEF-1|RAGEF|Rap-GEP|nRap GEP	Rap guanine nucleotide exchange factor 2	protein-coding
*-98	chr1	85269398	85527851	+	0	NA	intron (NM_001134445, intron 2 of 6)	MER65-int|LTR|ERV1	5882	NM_001330655	23576		NM_012137	ENSG00000153904	DDAH1	DDAH|DDAH-1|DDAHI|HEL-S-16	dimethylarginine dimethylaminohydrolase 1	protein-coding
*-46	chr12	122071348	122131051	+	0	NA	intron (NM_014938, intron 1 of 16)	intron (NM_014938, intron 1 of 16)	22443	NM_014938	22877		NM_014938	ENSG00000175727	MLXIP	MIR|MONDOA|bHLHe36	MLX interacting protein	protein-coding
*-88	chr5	169548298	169606201	+	0	NA	Intergenic	Intergenic	-6524	NM_001329639	54908		NM_017785	ENSG00000040275	SPDL1	CCDC99	spindle apparatus coiled-coil protein 1	protein-coding
*-152	chr2	216443448	216512801	+	0	NA	intron (NM_014140, intron 16 of 17)	intron (NM_014140, intron 16 of 17)	-20720	NM_000998	6168		NM_000998	ENSG00000197756	RPL37A	L37A|eL43	ribosomal protein L37a	protein-coding
*-220	chr3	156531798	156559251	+	0	NA	intron (NM_001308204, intron 3 of 4)	intron (NM_001308204, intron 3 of 4)	8601	NM_001308205	6747		NM_007107	ENSG00000114850	SSR3	TRAPG	signal sequence receptor subunit 3	protein-coding
