source	type	score	phase	gene_id	gene_version	gene_name	gene_source	gene_biotype	location
havana	gene	NA	NA	ENSG00000223972	5	DDX11L1	havana	transcribed_unprocessed_pseudogene	chr1:11869-14409:+
havana	gene	NA	NA	ENSG00000227232	5	WASH7P	havana	unprocessed_pseudogene	chr1:14404-29570:-
mirbase	gene	NA	NA	ENSG00000278267	1	MIR6859-1	mirbase	miRNA	chr1:17369-17436:-
havana	gene	NA	NA	ENSG00000243485	5	MIR1302-2HG	havana	lncRNA	chr1:29554-31109:+
mirbase	gene	NA	NA	ENSG00000284332	1	MIR1302-2	mirbase	miRNA	chr1:30366-30503:+
havana	gene	NA	NA	ENSG00000237613	2	FAM138A	havana	lncRNA	chr1:34554-36081:-
havana	gene	NA	NA	ENSG00000268020	3	OR4G4P	havana	unprocessed_pseudogene	chr1:52473-53312:+
havana	gene	NA	NA	ENSG00000240361	2	OR4G11P	havana	transcribed_unprocessed_pseudogene	chr1:57598-64116:+
ensembl_havana	gene	NA	NA	ENSG00000186092	6	OR4F5	ensembl_havana	protein_coding	chr1:65419-71585:+
ensembl_havana	gene	NA	NA	ENSG00000238009	6	AL627309.1	ensembl_havana	lncRNA	chr1:89295-133723:-
havana	gene	NA	NA	ENSG00000239945	1	AL627309.3	havana	lncRNA	chr1:89551-91105:-
havana	gene	NA	NA	ENSG00000233750	3	CICP27	havana	processed_pseudogene	chr1:131025-134836:+
havana	gene	NA	NA	ENSG00000268903	1	AL627309.6	havana	processed_pseudogene	chr1:135141-135895:-
havana	gene	NA	NA	ENSG00000269981	1	AL627309.7	havana	processed_pseudogene	chr1:137682-137965:-
havana	gene	NA	NA	ENSG00000239906	1	AL627309.2	havana	lncRNA	chr1:139790-140339:-
havana	gene	NA	NA	ENSG00000241860	7	AL627309.5	havana	lncRNA	chr1:141474-173862:-
ensembl	gene	NA	NA	ENSG00000222623	1	RNU6-1100P	ensembl	snRNA	chr1:157784-157887:-
havana	gene	NA	NA	ENSG00000241599	1	AL627309.4	havana	lncRNA	chr1:160446-161525:+
havana	gene	NA	NA	ENSG00000279928	2	FO538757.1	havana	unprocessed_pseudogene	chr1:182696-184174:+
havana	gene	NA	NA	ENSG00000279457	4	WASH9P	havana	unprocessed_pseudogene	chr1:185217-195411:-
mirbase	gene	NA	NA	ENSG00000273874	1	MIR6859-2	mirbase	miRNA	chr1:187891-187958:-
havana	gene	NA	NA	ENSG00000228463	10	AP006222.1	havana	transcribed_processed_pseudogene	chr1:257864-359681:-
havana_tagene	gene	NA	NA	ENSG00000286448	1	AP006222.2	havana_tagene	lncRNA	chr1:266855-268655:+
havana	gene	NA	NA	ENSG00000236679	2	RPL23AP24	havana	processed_pseudogene	chr1:347982-348366:-
havana	gene	NA	NA	ENSG00000236601	2	AL732372.1	havana	lncRNA	chr1:358857-366052:+
havana	gene	NA	NA	ENSG00000237094	12	AL732372.2	havana	transcribed_unprocessed_pseudogene	chr1:365389-522928:-
havana	gene	NA	NA	ENSG00000269732	1	WBP1LP7	havana	processed_pseudogene	chr1:439870-440232:+
ensembl_havana	gene	NA	NA	ENSG00000284733	1	OR4F29	ensembl_havana	protein_coding	chr1:450703-451697:-
havana	gene	NA	NA	ENSG00000233653	3	CICP7	havana	processed_pseudogene	chr1:487101-489906:+
havana	gene	NA	NA	ENSG00000250575	1	AL732372.3	havana	unprocessed_pseudogene	chr1:491225-493241:-
ensembl	gene	NA	NA	ENSG00000278757	1	FO681485.1	ensembl	snRNA	chr1:516376-516479:-
havana	gene	NA	NA	ENSG00000230021	10	AL669831.3	havana	transcribed_processed_pseudogene	chr1:586071-827796:-
havana	gene	NA	NA	ENSG00000235146	2	AC114498.1	havana	lncRNA	chr1:587629-594768:+
havana	gene	NA	NA	ENSG00000225972	1	MTND1P23	havana	unprocessed_pseudogene	chr1:629062-629433:+
havana	gene	NA	NA	ENSG00000225630	1	MTND2P28	havana	unprocessed_pseudogene	chr1:629640-630683:+
havana	gene	NA	NA	ENSG00000237973	1	MTCO1P12	havana	unprocessed_pseudogene	chr1:631074-632616:+
mirbase	gene	NA	NA	ENSG00000278791	1	AC114498.2	mirbase	miRNA	chr1:632325-632413:-
havana	gene	NA	NA	ENSG00000229344	1	MTCO2P12	havana	unprocessed_pseudogene	chr1:632757-633438:+
havana	gene	NA	NA	ENSG00000240409	1	MTATP8P1	havana	unprocessed_pseudogene	chr1:633535-633741:+
havana	gene	NA	NA	ENSG00000248527	1	MTATP6P1	havana	unprocessed_pseudogene	chr1:633696-634376:+
havana	gene	NA	NA	ENSG00000198744	5	MTCO3P12	havana	unprocessed_pseudogene	chr1:634376-634922:+
havana	gene	NA	NA	ENSG00000268663	1	WBP1LP6	havana	processed_pseudogene	chr1:674842-675265:+
ensembl_havana	gene	NA	NA	ENSG00000284662	1	OR4F16	ensembl_havana	protein_coding	chr1:685679-686673:-
havana	gene	NA	NA	ENSG00000229376	3	CICP3	havana	processed_pseudogene	chr1:722092-724903:+
havana	gene	NA	NA	ENSG00000228327	3	AL669831.1	havana	transcribed_unprocessed_pseudogene	chr1:725885-778626:-
ensembl	gene	NA	NA	ENSG00000223181	1	RNU6-1199P	ensembl	snRNA	chr1:758233-758336:-
havana	gene	NA	NA	ENSG00000229905	1	AL669831.2	havana	lncRNA	chr1:760911-761989:+
havana	gene	NA	NA	ENSG00000237491	10	LINC01409	havana	lncRNA	chr1:778747-810065:+
havana	gene	NA	NA	ENSG00000285268	1	AL669831.6	havana	transcribed_processed_pseudogene	chr1:781937-782050:+
havana	gene	NA	NA	ENSG00000230092	7	AL669831.4	havana	transcribed_unprocessed_pseudogene	chr1:800879-817712:-
havana	gene	NA	NA	ENSG00000177757	2	FAM87B	havana	lncRNA	chr1:817371-819837:+
havana	gene	NA	NA	ENSG00000228794	10	LINC01128	havana	lncRNA	chr1:825138-859446:+
havana	gene	NA	NA	ENSG00000225880	5	LINC00115	havana	lncRNA	chr1:826206-827522:-
havana_tagene	gene	NA	NA	ENSG00000288531	1	AL669831.7	havana_tagene	lncRNA	chr1:860226-868202:+
havana	gene	NA	NA	ENSG00000230368	2	FAM41C	havana	lncRNA	chr1:868071-876903:-
havana	gene	NA	NA	ENSG00000234711	1	TUBB8P11	havana	unprocessed_pseudogene	chr1:873292-874349:+
havana	gene	NA	NA	ENSG00000283040	1	AL669831.5	havana	transcribed_unprocessed_pseudogene	chr1:874529-877234:-
havana	gene	NA	NA	ENSG00000272438	1	AL645608.6	havana	lncRNA	chr1:904834-915976:+
havana	gene	NA	NA	ENSG00000230699	2	AL645608.2	havana	lncRNA	chr1:911435-914948:+
havana	gene	NA	NA	ENSG00000241180	1	AL645608.4	havana	lncRNA	chr1:914171-914971:+
havana	gene	NA	NA	ENSG00000223764	2	LINC02593	havana	lncRNA	chr1:916865-921016:-
ensembl_havana	gene	NA	NA	ENSG00000187634	12	SAMD11	ensembl_havana	protein_coding	chr1:923928-944581:+
ensembl_havana	gene	NA	NA	ENSG00000188976	11	NOC2L	ensembl_havana	protein_coding	chr1:944203-959309:-
ensembl_havana	gene	NA	NA	ENSG00000187961	14	KLHL17	ensembl_havana	protein_coding	chr1:960584-965719:+
ensembl_havana	gene	NA	NA	ENSG00000187583	11	PLEKHN1	ensembl_havana	protein_coding	chr1:966482-975865:+
ensembl_havana	gene	NA	NA	ENSG00000187642	9	PERM1	ensembl_havana	protein_coding	chr1:975204-982093:-
havana	gene	NA	NA	ENSG00000272512	1	AL645608.7	havana	lncRNA	chr1:995966-998051:-
ensembl_havana	gene	NA	NA	ENSG00000188290	11	HES4	ensembl_havana	protein_coding	chr1:998962-1000172:-
ensembl_havana	gene	NA	NA	ENSG00000187608	10	ISG15	ensembl_havana	protein_coding	chr1:1001138-1014540:+
havana	gene	NA	NA	ENSG00000231702	2	AL645608.3	havana	processed_pseudogene	chr1:1008076-1008229:-
havana	gene	NA	NA	ENSG00000224969	1	AL645608.1	havana	lncRNA	chr1:1011997-1013193:-
ensembl_havana	gene	NA	NA	ENSG00000188157	15	AGRN	ensembl_havana	protein_coding	chr1:1020120-1056118:+
havana	gene	NA	NA	ENSG00000242590	1	AL645608.5	havana	lncRNA	chr1:1055033-1056116:+
havana	gene	NA	NA	ENSG00000217801	10	AL390719.1	havana	transcribed_unprocessed_pseudogene	chr1:1059708-1069355:+
havana	gene	NA	NA	ENSG00000273443	1	AL645608.8	havana	lncRNA	chr1:1062208-1063288:-
ensembl_havana	gene	NA	NA	ENSG00000237330	3	RNF223	ensembl_havana	protein_coding	chr1:1070967-1074306:-
ensembl_havana	gene	NA	NA	ENSG00000131591	17	C1orf159	ensembl_havana	protein_coding	chr1:1081818-1116361:-
havana	gene	NA	NA	ENSG00000285812	1	AL390719.3	havana	lncRNA	chr1:1097585-1104598:+
havana	gene	NA	NA	ENSG00000223823	1	LINC01342	havana	lncRNA	chr1:1137017-1144056:+
mirbase	gene	NA	NA	ENSG00000207730	3	MIR200B	mirbase	miRNA	chr1:1167104-1167198:+
mirbase	gene	NA	NA	ENSG00000207607	3	MIR200A	mirbase	miRNA	chr1:1167863-1167952:+
mirbase	gene	NA	NA	ENSG00000198976	1	MIR429	mirbase	miRNA	chr1:1169005-1169087:+
havana	gene	NA	NA	ENSG00000272141	1	AL390719.2	havana	lncRNA	chr1:1169357-1170343:+
havana	gene	NA	NA	ENSG00000205231	1	TTLL10-AS1	havana	lncRNA	chr1:1173056-1179555:-
ensembl_havana	gene	NA	NA	ENSG00000162571	14	TTLL10	ensembl_havana	protein_coding	chr1:1173880-1197936:+
ensembl_havana	gene	NA	NA	ENSG00000186891	14	TNFRSF18	ensembl_havana	protein_coding	chr1:1203508-1206592:-
ensembl_havana	gene	NA	NA	ENSG00000186827	11	TNFRSF4	ensembl_havana	protein_coding	chr1:1211340-1214153:-
ensembl_havana	gene	NA	NA	ENSG00000078808	18	SDF4	ensembl_havana	protein_coding	chr1:1216908-1232067:-
ensembl_havana	gene	NA	NA	ENSG00000176022	7	B3GALT6	ensembl_havana	protein_coding	chr1:1232237-1235041:+
ensembl_havana	gene	NA	NA	ENSG00000184163	3	C1QTNF12	ensembl_havana	protein_coding	chr1:1242446-1246722:-
havana	gene	NA	NA	ENSG00000260179	1	AL162741.1	havana	lncRNA	chr1:1249777-1251334:-
ensembl_havana	gene	NA	NA	ENSG00000160087	21	UBE2J2	ensembl_havana	protein_coding	chr1:1253909-1273864:-
havana	gene	NA	NA	ENSG00000230415	1	LINC01786	havana	lncRNA	chr1:1275223-1280420:+
ensembl_havana	gene	NA	NA	ENSG00000162572	21	SCNN1D	ensembl_havana	protein_coding	chr1:1280436-1292029:+
ensembl_havana	gene	NA	NA	ENSG00000131584	19	ACAP3	ensembl_havana	protein_coding	chr1:1292390-1309609:-
mirbase	gene	NA	NA	ENSG00000278073	1	MIR6726	mirbase	miRNA	chr1:1296110-1296170:-
ensembl_havana	gene	NA	NA	ENSG00000169972	12	PUSL1	ensembl_havana	protein_coding	chr1:1308597-1311677:+
ensembl_havana	gene	NA	NA	ENSG00000127054	21	INTS11	ensembl_havana	protein_coding	chr1:1311585-1324687:-
mirbase	gene	NA	NA	ENSG00000283712	1	MIR6727	mirbase	miRNA	chr1:1312502-1312566:-
havana	gene	NA	NA	ENSG00000240731	1	AL139287.1	havana	lncRNA	chr1:1317581-1318689:-
ensembl_havana	gene	NA	NA	ENSG00000224051	7	CPTP	ensembl_havana	protein_coding	chr1:1324756-1328896:+
ensembl_havana	gene	NA	NA	ENSG00000169962	5	TAS1R3	ensembl_havana	protein_coding	chr1:1331280-1335314:+
ensembl_havana	gene	NA	NA	ENSG00000107404	20	DVL1	ensembl_havana	protein_coding	chr1:1335276-1349418:-
mirbase	gene	NA	NA	ENSG00000284372	1	MIR6808	mirbase	miRNA	chr1:1339650-1339708:-
ensembl_havana	gene	NA	NA	ENSG00000162576	16	MXRA8	ensembl_havana	protein_coding	chr1:1352689-1361777:-
ensembl_havana	gene	NA	NA	ENSG00000175756	13	AURKAIP1	ensembl_havana	protein_coding	chr1:1373730-1375495:-
havana	gene	NA	NA	ENSG00000223663	2	NDUFB4P8	havana	processed_pseudogene	chr1:1378666-1379032:+
ensembl_havana	gene	NA	NA	ENSG00000221978	12	CCNL2	ensembl_havana	protein_coding	chr1:1385711-1399335:-
havana	gene	NA	NA	ENSG00000224870	7	MRPL20-AS1	havana	lncRNA	chr1:1399520-1402046:+
ensembl_havana	gene	NA	NA	ENSG00000242485	6	MRPL20	ensembl_havana	protein_coding	chr1:1401909-1407293:-
ensembl	gene	NA	NA	ENSG00000264293	2	RN7SL657P	ensembl	misc_RNA	chr1:1405460-1405752:-
